Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
593,P522616.3.1,bēl[owner]N,[EN,bēl,bēlu,owner,N,['𒂗'],𒂗,[EN],['missing'],1.0,,,P522616,3,1,seal identification
594,P522616.3.2,eqli[field]N,A.ŠA₃],eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,[A].[ŠA₃],"['missing', 'missing']",1.0,,,P522616,3,2,seal identification
595,P522616.3.3,tadāni[giving]'N,⸢SUM⸣-[a-ni],tadāni,tadānu,giving,V,"['𒋧', '𒀀', '𒉌']",𒋧𒀀𒉌,⸢SUM⸣-[a-ni],"['damaged', 'missing', 'missing']",0.83,,,P522616,3,3,seal identification
596,P522616.5.1,bētu[house]N,[E₂,bētu,bītu,house,N,['𒂍'],𒂍,[E₂],['missing'],1.0,,,P522616,5,1,object sold
597,P522616.5.2,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P522616,5,2,object sold
598,P522616.5.3,imār[a unit of capacity]N,ANŠE,imār,imēru,a unit of capacity,N,['𒀲'],𒀲,[ANŠE],['missing'],1.0,,,P522616,5,3,object sold
599,P522616.5.4,ša[of]DET,ša₂,ša,ša,of,DET,['𒃻'],𒃻,[ša₂],['missing'],1.0,,,P522616,5,4,object sold
600,P522616.5.5,amēlē[man]N,LU₂].⸢MEŠ⸣-e,amēlē,awīlu,man,N,"['𒇽', '𒈨𒌍', '𒂊']",𒇽𒈨𒌍𒂊,[LU₂].⸢MEŠ⸣-e,"['missing', 'damaged', 'complete']",0.5,,,P522616,5,5,object sold
601,P522616.5.6,annūte[this]DP,[an-nu-te],annūte,annû,this,DP,"['𒀭', '𒉡', '𒋼']",𒀭𒉡𒋼,[an-nu-te],"['missing', 'missing', 'missing']",1.0,,,P522616,5,6,object sold
602,P522616.6.1,ṭēhi[adjacent to]PRP,[SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,[SUHUR],['missing'],1.0,,,P522616,6,1,object sold
603,P522616.6.2,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P522616,6,2,object sold
604,P522616.6.3,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P522616,6,3,object sold
605,P522616.6.4,u,(x),,,,u,['X'],X,[x],['missing'],1.0,,,P522616,6,4,object sold
606,P522616.6.5,ṭēhi[adjacent to]PRP,SUHUR],ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,[SUHUR],['missing'],1.0,,,P522616,6,5,object sold
607,P522616.6.6,+nāru[river]N$nāri,ID₂,nāri,nāru,river,N,['𒀀𒇉'],𒀀𒇉,ID₂,['complete'],0.0,,,P522616,6,6,object sold
608,P522616.6.7,ṭēhi[adjacent to]PRP,[SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,[SUHUR],['missing'],1.0,,,P522616,6,7,object sold
609,P522616.6.8,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P522616,6,8,object sold
610,P522616.6.9,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P522616,6,9,object sold
611,P522616.6.10,u,(x)],,,,u,['X'],X,[x],['missing'],1.0,,,P522616,6,10,object sold
612,P522616.8.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,P522616,8,1,object sold
613,P522616.8.2,u,NI,,,,u,['𒉌'],𒉌,NI,['complete'],0.0,,,P522616,8,2,object sold
614,P522616.8.3,u,[x],,,,u,['X'],X,[x],['missing'],1.0,,,P522616,8,3,object sold
615,P522616.8.4,u,⸢GI⸣,,,,u,['𒄀'],𒄀,⸢GI⸣,['damaged'],0.5,,,P522616,8,4,object sold
616,P522616.8.5,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,P522616,8,5,object sold
617,P522616.9.1,uppišma[contract]V,[u₂]-⸢piš⸣-[ma],uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂]-⸢piš⸣-[ma],"['missing', 'damaged', 'missing']",0.83,,,P522616,9,1,initiation of transaction
618,P522616.9.2,+Kubaba-gamil[]PN$,{⸢m⸣}KU₆-[ga-mil],Kubaba-gamil,Kubaba-gamil,1,PN,"['𒁹', '𒄩', '𒂵', '𒅖']",𒁹𒄩𒂵𒅖,{⸢m⸣}KU₆-[ga-mil],"['damaged', 'complete', 'missing', 'missing']",0.62,PN,,P522616,9,2,initiation of transaction
619,P522616.10.1,ina[in]PRP,[ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P522616,10,1,price
620,P522616.10.2,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,[ŠA₃],['missing'],1.0,,,P522616,10,2,price
621,P522616.10.3,u,x],,,,u,['X'],X,[x],['missing'],1.0,,,P522616,10,3,price
622,P522616.10.4,manā[a unit of weight]N,MA,manā,manû,a unit of weight,N,['𒈠'],𒈠,MA,['complete'],0.0,,,P522616,10,4,price
623,P522616.10.5,hanšê[fifty]NU,50,hanšê,hamšā,fifty,NU,['𒐐'],𒐐,50,['complete'],0.0,,,P522616,10,5,price
624,P522616.10.6,šiqil[a unit of weight]N,⸢GIN₂⸣,šiqil,šiqlu,a unit of weight,N,['𒂆'],𒂆,⸢GIN₂⸣,['damaged'],0.5,,,P522616,10,6,price
625,P522616.10.7,ṣarpi[silver]N,[KUG.UD],ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,[KUG].[UD],"['missing', 'missing']",1.0,,,P522616,10,7,price
626,P522616.10.8,ilqe[purchase]V,il-[qe],ilqe,leqû,purchase,V,"['𒅋', '𒆥']",𒅋𒆥,il-[qe],"['complete', 'missing']",0.5,,,P522616,10,8,completion of transaction
627,P522616.11.1,+kaspu[silver//money]N'N$kaspi,⸢kas⸣-pi₂,kaspi,kaspu,money,N,"['𒆜', '𒁉']",𒆜𒁉,⸢kas⸣-pi₂,"['damaged', 'complete']",0.25,,,P522616,11,1,confirmation of transfer 1
628,P522616.11.2,gammur[completed]AJ,[gam]-⸢mur,gammur,gammuru,completed,AJ,"['𒃵', '𒄯']",𒃵𒄯,[gam]-⸢mur⸣,"['missing', 'damaged']",0.75,,,P522616,11,2,confirmation of transfer 1
629,P522616.11.3,tadin[paid]AJ,ta⸣-[din],tadin,tadnu,paid,AJ,"['𒋫', '𒁷']",𒋫𒁷,⸢ta⸣-[din],"['damaged', 'missing']",0.75,,,P522616,11,3,confirmation of transfer 1
630,P522616.12.1,eqlu[field]N,[A.ŠA₃,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,[A].[ŠA₃],"['missing', 'missing']",1.0,,,P522616,12,1,confirmation of transfer 2
631,P522616.12.2,šuātu[that]'DP,šu₂-a]-⸢tu₂⸣,šuātu,šuāti,that,IP,"['𒋙', '𒀀', '𒌓']",𒋙𒀀𒌓,[šu₂-a]-⸢tu₂⸣,"['missing', 'missing', 'damaged']",0.83,,,P522616,12,2,confirmation of transfer 2
632,P522616.12.3,zarpu[purchased]AJ,za-<ar₂>-⸢pu⸣,zarpu,zarpu,purchased,AJ,"['𒍝', '𒌒', '𒁍']",𒍝𒌒𒁍,za-ar₂-⸢pu⸣,"['complete', 'complete', 'damaged']",0.17,,,P522616,12,3,confirmation of transfer 2
633,P522616.12.4,laqi[acquired]AJ,[la-qi],laqi,leqû,acquired,AJ,"['𒆷', '𒆥']",𒆷𒆥,[la-qi],"['missing', 'missing']",1.0,,,P522616,12,4,confirmation of transfer 2
634,P522616.13.1,tuāru[revocation]'N,[tu-a-ru],tuāru,târu,revocation,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,[tu-a-ru],"['missing', 'missing', 'missing']",1.0,,,P522616,13,1,exclusion of litigation
635,P522616.13.2,dēnu[lawsuit]N,de-e-[nu],dēnu,dīnu,lawsuit,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-[nu],"['complete', 'complete', 'missing']",0.33,,,P522616,13,2,exclusion of litigation
636,P522616.13.3,dabābu[litigation]'N,⸢DUG₄.DUG₄⸣,dabābu,dabābu,litigation,V,"['𒅗', '𒅗']",𒅗𒅗,⸢DUG₄⸣.⸢DUG₄⸣,"['damaged', 'damaged']",0.5,,,P522616,13,3,exclusion of litigation
637,P522616.14.1,laššu[(there) is not]V,la-aš₂-šu₂,laššu,laššu,(there) is not,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,la-aš₂-šu₂,"['complete', 'complete', 'complete']",0.0,,,P522616,14,1,exclusion of litigation
638,P522616.14.2,mannu[whoever]'XP,⸢man⸣-nu,mannu,mannu,whoever,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,⸢man⸣-nu,"['damaged', 'complete']",0.25,,,P522616,14,2,penalties for litigation: contravention
639,P522616.14.3,ša[whoever]REL,ša,ša,ša,whoever,REL,['𒊭'],𒊭,ša,['complete'],0.0,,,P522616,14,3,penalties for litigation: contravention
640,P522616.14.4,ina[in]PRP,[ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P522616,14,4,penalties for litigation: contravention
641,P522616.14.5,urkiš[later]AV,ur]-kiš,urkiš,urkiš,later,AV,"['𒌨', '𒆧']",𒌨𒆧,[ur]-kiš,"['missing', 'complete']",0.5,,,P522616,14,5,penalties for litigation: contravention
642,P522616.15.1,ina[in]PRP,[ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P522616,15,1,penalties for litigation: contravention
643,P522616.15.2,matēma[ever]AV,ma]-te-ma,matēma,matīma,ever,AV,"['𒈠', '𒋼', '𒈠']",𒈠𒋼𒈠,[ma]-te-ma,"['missing', 'complete', 'complete']",0.33,,,P522616,15,2,penalties for litigation: contravention
644,P522616.15.3,iparrakūni[contravene]V,⸢GIL-u⸣-[ni],iparrakūni,parāku,contravene,V,"['𒄃', '𒌋', '𒉌']",𒄃𒌋𒉌,⸢GIL-u⸣-[ni],"['damaged', 'damaged', 'missing']",0.67,,,P522616,15,3,penalties for litigation: contravention
645,P522616.16.1,lū[or]CNJ,[lu]-u,lū,lū,or,CNJ,"['𒇻', '𒌋']",𒇻𒌋,[lu]-u,"['missing', 'complete']",0.5,,,P522616,16,1,penalties for litigation: contravention
646,P522616.16.2,amēlē[man]N,LU₂.MEŠ-⸢e,amēlē,awīlu,man,N,"['𒇽', '𒈨𒌍', '𒂊']",𒇽𒈨𒌍𒂊,LU₂.MEŠ-⸢e⸣,"['complete', 'complete', 'damaged']",0.17,,,P522616,16,2,penalties for litigation: contravention
647,P522616.16.3,annūte[this]DP,an⸣-nu-⸢te⸣,annūte,annû,this,DP,"['𒀭', '𒉡', '𒋼']",𒀭𒉡𒋼,⸢an⸣-nu-⸢te⸣,"['damaged', 'complete', 'damaged']",0.33,,,P522616,16,3,penalties for litigation: contravention
648,P522616.16.4,lū[or]CNJ,[lu-u,lū,lū,or,CNJ,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,,,P522616,16,4,penalties for litigation: contravention
649,P522616.16.5,marʾēšunu[son]N,DUMU.MEŠ-šu₂-nu],marʾēšunu,māru,son,N,"['𒌉', '𒈨𒌍', '𒋙', '𒉡']",𒌉𒈨𒌍𒋙𒉡,[DUMU].[MEŠ-šu₂-nu],"['missing', 'missing', 'missing', 'missing']",1.0,,,P522616,16,5,penalties for litigation: contravention
650,P522616.17.1,lū[or]CNJ,[lu-u,lū,lū,or,CNJ,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,,,P522616,17,1,penalties for litigation: contravention
651,P522616.17.2,mār[son]N&marʾēšunu[son]N,DUMU]-⸢DUMU.MEŠ⸣-[šu₂]-nu,mār,māru,son,N,"['𒌉', '𒌉', '𒈨𒌍', '𒋙', '𒉡']",𒌉𒌉𒈨𒌍𒋙𒉡,[DUMU]-⸢DUMU⸣.⸢MEŠ⸣-[šu₂]-nu,"['missing', 'damaged', 'damaged', 'missing', 'complete']",0.6,,,P522616,17,2,penalties for litigation: contravention
653,P522616.17.3,lū[or]CNJ,lu-u,lū,lū,or,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,,P522616,17,3,penalties for litigation: contravention
