Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
7424,P224523.2.1,kūmu[instead of]PRP,GIM,,PRP,['𒁶'],𒁶,GIM,['complete'],0.0,kūmu,kūm,instead of,P224523,2,1,seal identification
7425,P224523.2.2,kunukkīšu[seal]N,{na₄}KIŠIB-šu₂,,N,"['𒉌𒌓', '𒈩', '𒋙']",𒉌𒌓𒈩𒋙,{NA₄}KIŠIB-šu₂,"['complete', 'complete', 'complete']",0.0,kunukkīšu,kunukku,seal,P224523,2,2,seal identification
7426,P224523.2.3,ṣubaršu[fingernail]N,ṣu-bar-šu₂,,N,"['𒍮', '𒁇', '𒋙']",𒍮𒁇𒋙,ṣu-bar-šu₂,"['complete', 'complete', 'complete']",0.0,ṣubaršu,ṣupru,fingernail,P224523,2,3,seal identification
7427,P224523.2.4,iškunu[place]V,iš-ku-nu,,V,"['𒅖', '𒆪', '𒉡']",𒅖𒆪𒉡,iš-ku-nu,"['complete', 'complete', 'complete']",0.0,iškunu,šakānu,place,P224523,2,4,seal identification
7428,P224523.6.1,ṣupur[fingernail]N,ṣu-pur,,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,ṣupur,ṣupru,fingernail,P224523,6,1,seal identification
7429,P224523.6.2,+Yamaqu[]PN$Yamaqi,{1}ia-ma-qi,PN,PN,"['𒁹', '𒅀', '𒈠', '𒆥']",𒁹𒅀𒈠𒆥,{1}ia-ma-qi,"['complete', 'complete', 'complete', 'complete']",0.0,Yamaqi,Yamaqu,1,P224523,6,2,seal identification
7430,P224523.6.3,bēl[owner]N,EN,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,P224523,6,3,seal identification
7431,P224523.6.4,eqli[land]N,A.ŠA₃,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,land,P224523,6,4,seal identification
7432,P224523.7.1,bētu[estate]N,E₂,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,estate,P224523,7,1,object sold
7433,P224523.7.2,n,08,NUMBER,n,['0₈'],0₈,08,['complete'],0.0,,,,P224523,7,2,object sold
7434,P224523.7.3,imār[a unit of capacity]N,ANŠE,,N,['𒀲'],𒀲,ANŠE,['complete'],0.0,imār,imēru,a unit of capacity,P224523,7,3,object sold
7435,P224523.7.4,eqli[land]N,A.ŠA₃,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,land,P224523,7,4,object sold
7436,P224523.7.5,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P224523,7,5,object sold
7437,P224523.7.6,mazarūte[(area or state of) cultivation]N,ma-za-ru-te,,N,"['𒈠', '𒍝', '𒊒', '𒋼']",𒈠𒍝𒊒𒋼,ma-za-ru-te,"['complete', 'complete', 'complete', 'complete']",0.0,mazarūte,mazrūtu,(area or state of) cultivation,P224523,7,6,object sold
7438,P224523.8.1,sūti[a unit of capacity]N,{giš}BAN₂,,N,"['𒄑', '𒑏']",𒄑𒑏,{GIŠ}BAN₂,"['complete', 'complete']",0.0,sūti,sūtu,a unit of capacity,P224523,8,1,object sold
7439,P224523.8.2,ša[of]DET,ša,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,P224523,8,2,object sold
7440,P224523.8.3,n,10,NUMBER,n,['𒌋'],𒌋,10,['complete'],0.0,,,,P224523,8,3,object sold
7441,P224523.8.4,qa[a unit of capacity]N,qa,,N,['𒋡'],𒋡,qa,['complete'],0.0,qa,qû,a unit of capacity,P224523,8,4,object sold
7442,P224523.8.5,+Kupruna[]GN$,{uru}ku-up-ru-na,GN,GN,"['𒌷', '𒆪', '𒌒', '𒊒', '𒈾']",𒌷𒆪𒌒𒊒𒈾,{URU}ku-up-ru-na,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kupruna,Kupruna,1,P224523,8,5,object sold
7443,P224523.9.1,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P224523,9,1,price
7444,P224523.9.2,libbi[interior]N,ŠA₃-bi,,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,libbi,libbu,interior,P224523,9,2,price
7445,P224523.9.3,n,08,NUMBER,n,['0₈'],0₈,08,['complete'],0.0,,,,P224523,9,3,price
7446,P224523.9.4,manā[a unit of weight]N,MA.NA,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,manā,manû,a unit of weight,P224523,9,4,price
7447,P224523.9.5,erî[copper]N,URUDU-MEŠ,,N,"['𒍏', '𒈨𒌍']",𒍏𒈨𒌍,URUDU-MEŠ,"['complete', 'complete']",0.0,erî,erû,copper,P224523,9,5,price
7448,P224523.10.1,Bel-isseʾa[1]PN,{1}EN-KI-a,PN,PN,"['𒁹', '𒂗', '𒆠', '𒀀']",𒁹𒂗𒆠𒀀,{1}EN-KI-a,"['complete', 'complete', 'complete', 'complete']",0.0,Bel-isseʾa,Bel-isseʾa,1,P224523,10,1,initiation of transaction
7449,P224523.10.2,ša-rēši[eunuch]N,{lu₂}SAG,,N,"['𒇽', '𒊕']",𒇽𒊕,{LU₂}SAG,"['complete', 'complete']",0.0,ša-rēši,ša-rēši,eunuch,P224523,10,2,initiation of transaction
7450,P224523.10.3,ša[of]DET,ša,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,P224523,10,3,initiation of transaction
7451,P224523.10.4,+Bel-tarṣi-ilumma[]PN$,{1}EN-tar-ṣi-DINGIR-[ma],PN,PN,"['𒁹', '𒂗', '𒋻', '𒍢', '𒀭', '𒈠']",𒁹𒂗𒋻𒍢𒀭𒈠,{1}EN-tar-ṣi-DINGIR-[ma],"['complete', 'complete', 'complete', 'complete', 'complete', 'missing']",0.17,Bel-tarṣi-ilumma,Bel-tarṣi-ilumma,1,P224523,10,4,initiation of transaction
7452,P224523.11.1,šakin[appointee]N&māt[land]N,{lu₂}GAR.KUR,,N,"['𒇽', '𒃻', '𒆳']",𒇽𒃻𒆳,{LU₂}GAR.KUR,"['complete', 'complete', 'complete']",0.0,šakin,šaknu,appointee,P224523,11,1,initiation of transaction
7454,P224523.11.2,Kalhi[1]GN,{uru}kal-hi,GN,GN,"['𒌷', '𒆗', '𒄭']",𒌷𒆗𒄭,{URU}kal-hi,"['complete', 'complete', 'complete']",0.0,Kalhi,Kalhu,1,P224523,11,2,initiation of transaction
7455,P224523.12.1,issu[from]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issu,ištu,from,P224523,12,1,initiation of transaction
7456,P224523.12.2,pān[front]N,IGI,,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,front,P224523,12,2,initiation of transaction
7457,P224523.12.3,Yamaqi[1]PN,{1}ia-ma-qi,PN,PN,"['𒁹', '𒅀', '𒈠', '𒆥']",𒁹𒅀𒈠𒆥,{1}ia-ma-qi,"['complete', 'complete', 'complete', 'complete']",0.0,Yamaqi,Yamaqu,1,P224523,12,3,initiation of transaction
7458,P224523.12.4,ūtappiš[contract]V,u₂-tap-piš,,V,"['𒌑', '𒋰', '𒄫']",𒌑𒋰𒄫,u₂-tap-piš,"['complete', 'complete', 'complete']",0.0,ūtappiš,epēšu,contract,P224523,12,4,initiation of transaction
7459,P224523.13.1,issiqi[purchase]V,i-si-qi,,V,"['𒄿', '𒋛', '𒆥']",𒄿𒋛𒆥,i-si-qi,"['complete', 'complete', 'complete']",0.0,issiqi,leqû,purchase,P224523,13,1,completion of transaction
7460,P224523.13.2,kaspu[money]N,kas-pu,,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,P224523,13,2,confirmation of transfer 1
7461,P224523.13.3,gammur[completed]AJ,gam-mur,,AJ,"['𒃵', '𒄯']",𒃵𒄯,gam-mur,"['complete', 'complete']",0.0,gammur,gammuru,completed,P224523,13,3,confirmation of transfer 1
7462,P224523.13.4,tadin[paid]AJ,ta-din,,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,tadin,tadnu,paid,P224523,13,4,confirmation of transfer 1
7463,P224523.14.1,eqlu[land]N,A.ŠA₃,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqlu,eqlu,land,P224523,14,1,confirmation of transfer 2
7464,P224523.14.2,šuātu[that]'DP,šu₂-a-tu₂,,IP,"['𒋙', '𒀀', '𒌓']",𒋙𒀀𒌓,šu₂-a-tu₂,"['complete', 'complete', 'complete']",0.0,šuātu,šuāti,that,P224523,14,2,confirmation of transfer 2
7465,P224523.14.3,zarip[purchased]AJ,za-rip,,AJ,"['𒍝', '𒆗']",𒍝𒆗,za-rip,"['complete', 'complete']",0.0,zarip,zarpu,purchased,P224523,14,3,confirmation of transfer 2
7466,P224523.14.4,laqqi[acquired]AJ,laq-qi,,AJ,"['𒋃', '𒆥']",𒋃𒆥,laq-qi,"['complete', 'complete']",0.0,laqqi,leqû,acquired,P224523,14,4,confirmation of transfer 2
7467,P224523.15.1,tuāru[revocation]'N,tu₂-a-ru,,V,"['𒌓', '𒀀', '𒊒']",𒌓𒀀𒊒,tu₂-a-ru,"['complete', 'complete', 'complete']",0.0,tuāru,târu,revocation,P224523,15,1,exclusion of litigation
7468,P224523.15.2,dabābu[litigation]'N,da-ba-bu,,V,"['𒁕', '𒁀', '𒁍']",𒁕𒁀𒁍,da-ba-bu,"['complete', 'complete', 'complete']",0.0,dabābu,dabābu,litigation,P224523,15,2,exclusion of litigation
7469,P224523.15.3,laššu[(there) is not]V,la-aš₂-šu₂,,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,la-aš₂-šu₂,"['complete', 'complete', 'complete']",0.0,laššu,laššu,(there) is not,P224523,15,3,exclusion of litigation
