Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
5345,P225199.2.1,kunuk[seal]N,{na₄}KIŠIB,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,,P225199,2,1,seal identification
5346,P225199.2.2,Šep-Inurta[1]PN,{1}GIR₃.2-{d}MAŠ,PN,"['𒁹', '𒄊', '𒈫', '𒀭', '𒈦']",𒁹𒄊𒈫𒀭𒈦,{[1]}GIR₃.2-{d}MAŠ,"['missing', 'complete', 'complete', 'complete', 'complete']",0.2,Šep-Inurta,Šep-Inurta,1,PN,P225199,2,2,seal identification
5347,P225199.3.1,kunuk[seal]N,{na₄}KIŠIB,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,,P225199,3,1,seal identification
5348,P225199.3.2,Mannu-ki-Adad[1]PN,{1}⸢man-nu⸣-ki-{d}IM,PN,"['𒁹', '𒌋𒌋', '𒉡', '𒆠', '𒀭', '𒅎']",𒁹𒌋𒌋𒉡𒆠𒀭𒅎,{1}⸢man-nu⸣-ki-{d}IM,"['complete', 'damaged', 'damaged', 'complete', 'complete', 'complete']",0.17,Mannu-ki-Adad,Mannu-ki-Adad,1,PN,P225199,3,2,seal identification
5349,P225199.4.1,kunuk[seal]N,{na₄}KIŠIB,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,,P225199,4,1,seal identification
5350,P225199.4.2,Inurti[1]PN,{1}{d}MAŠ-ti-i,PN,"['𒁹', '𒀭', '𒈦', '𒋾', '𒄿']",𒁹𒀭𒈦𒋾𒄿,{1}{d}MAŠ-ti-i,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Inurti,Inurti,1,PN,P225199,4,2,seal identification
5351,P225199.5.1,bēl[owner]N,EN,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,,P225199,5,1,seal identification
5352,P225199.5.2,kirie[garden]N,{giš}SAR,N,"['𒄑', '𒊬']",𒄑𒊬,{GIŠ}SAR,"['complete', 'complete']",0.0,kirie,kirû,garden,,P225199,5,2,seal identification
5353,P225199.5.3,būrti[well]N,⸢PU₂⸣,N,['𒇥'],𒇥,⸢PU₂⸣,['damaged'],0.5,būrti,būrtu,well,,P225199,5,3,seal identification
5354,P225199.5.4,+tadnu[given//sold]AJ'AJ$tadnūni,SUM-u-⸢ni⸣,AJ,"['𒋧', '𒌋', '𒉌']",𒋧𒌋𒉌,SUM-u-⸢ni⸣,"['complete', 'complete', 'damaged']",0.17,tadnūni,tadnu,sold,,P225199,5,4,seal identification
5355,P225199.10.1,mannu[whoever]'XP,[man]-⸢nu⸣,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,[man]-⸢nu⸣,"['missing', 'damaged']",0.75,mannu,mannu,whoever,,P225199,10,1,penalties for litigation: contravention
5356,P225199.10.2,ša[who]REL,ša₂,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,ša,ša,who,,P225199,10,2,penalties for litigation: contravention
5357,P225199.10.3,iparrakūni[contravene]V,GIL-u-⸢ni⸣,V,"['𒄃', '𒌋', '𒉌']",𒄃𒌋𒉌,GIL-u-⸢ni⸣,"['complete', 'complete', 'damaged']",0.17,iparrakūni,parāku,contravene,,P225199,10,3,penalties for litigation: contravention
5358,P225199.10.4,u,[(x)],u,['X'],X,[x],['missing'],1.0,,,,,P225199,10,4,penalties for litigation: contravention
5359,P225199.11.1,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P225199,11,1,penalties for litigation: penalty
5360,P225199.11.2,manā[a unit of weight]N,MA].⸢NA⸣,N,"['𒈠', '𒈾']",𒈠𒈾,[MA].⸢NA⸣,"['missing', 'damaged']",0.75,manā,manû,a unit of weight,,P225199,11,2,penalties for litigation: penalty
5361,P225199.11.3,ṣarpi[silver]N,KUG.UD,N,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,ṣarpi,ṣarpu,silver,,P225199,11,3,penalties for litigation: penalty
5362,P225199.11.4,iddan[give]V,SUM-[an],V,"['𒋧', '𒀭']",𒋧𒀭,SUM-[an],"['complete', 'missing']",0.5,iddan,tadānu,give,,P225199,11,4,penalties for litigation: penalty
5363,P225199.12.1,Aššur[1]DN,aš-šur,DN,"['𒀸', '𒋩']",𒀸𒋩,aš-šur,"['complete', 'complete']",0.0,Aššur,Aššur,1,DN,P225199,12,1,penalties for litigation: penalty
5364,P225199.12.2,Šamaš[1]DN,{d}UTU,DN,"['𒀭', '𒌓']",𒀭𒌓,{d}UTU,"['complete', 'complete']",0.0,Šamaš,Šamaš,1,DN,P225199,12,2,penalties for litigation: penalty
5365,P225199.12.3,+Bel[]DN$,EN,DN,['𒂗'],𒂗,EN,['complete'],0.0,Bel,Bel,1,DN,P225199,12,3,penalties for litigation: penalty
5366,P225199.12.4,Nergal[1]DN,{d}⸢MAŠ⸣.MAŠ,DN,"['𒀭', '𒈦', '𒈦']",𒀭𒈦𒈦,{d}⸢MAŠ⸣.MAŠ,"['complete', 'damaged', 'complete']",0.17,Nergal,Nergal,1,DN,P225199,12,4,penalties for litigation: penalty
5367,P225199.13.1,lū[may]MOD,⸢lu⸣-u,MOD,"['𒇻', '𒌋']",𒇻𒌋,⸢lu⸣-u,"['damaged', 'complete']",0.25,lū,lū,may,,P225199,13,1,penalties for litigation: penalty
5368,P225199.13.2,+bēlu[lord]N$bēl&+dīnu[legal decision]N$dēnīšu,EN-de-ni-šu₂,N,"['𒂗', '𒁲', '𒉌', '𒋙']",𒂗𒁲𒉌𒋙,EN-de-ni-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,bēl,bēlu,lord,,P225199,13,2,penalties for litigation: penalty
5370,P225199.15.1,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P225199,15,1,witness
5371,P225199.15.2,+Mannu-ki-Ninua[]PN$,{1}⸢man-nu⸣-GIM-{⸢uru}NINA⸣,PN,"['𒁹', '𒌋𒌋', '𒉡', '𒁶', '𒌷', '𒀏']",𒁹𒌋𒌋𒉡𒁶𒌷𒀏,{1}⸢man-nu⸣-GIM-{⸢URU⸣}⸢NINA⸣,"['complete', 'damaged', 'damaged', 'complete', 'damaged', 'damaged']",0.33,Mannu-ki-Ninua,Mannu-ki-Ninua,1,PN,P225199,15,2,witness
5372,P225199.16.1,šību[witness]N,⸢IGI⸣,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,šību,šību,witness,,P225199,16,1,witness
5373,P225199.16.2,u,{1}x-x]-15,u,"['𒁹', 'X', 'X', '𒌋𒐊']",𒁹XX𒌋𒐊,{[1]}[x-x]-15,"['missing', 'missing', 'missing', 'complete']",0.75,,,,,P225199,16,2,witness
5374,P225199.17.1,u,[x],u,['X'],X,[x],['missing'],1.0,,,,,P225199,17,1,witness
5375,P225199.17.2,u,x+[x,u,"['X', 'X']",XX,x+[x],"['complete', 'missing']",0.5,,,,,P225199,17,2,witness
5376,P225199.17.3,u,x]+x,u,"['X', 'X']",XX,[x]+x,"['missing', 'complete']",0.5,,,,,P225199,17,3,witness
5377,P225199.18.1,šību[witness]N,⸢IGI⸣,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,šību,šību,witness,,P225199,18,1,witness
5378,P225199.18.2,Ahuni[1]PN,{1}a-hu-ni-i,PN,"['𒁹', '𒀀', '𒄷', '𒉌', '𒄿']",𒁹𒀀𒄷𒉌𒄿,{1}a-hu-ni-i,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Ahuni,Ahuni,1,PN,P225199,18,2,witness
5379,P225199.19.1,šību[witness]N,⸢IGI⸣,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,šību,šību,witness,,P225199,19,1,witness
