Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
10654,P527294.4.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P527294,4,1,seal identification
10655,P527294.4.2,x[1]PN,{m}x-[x-x-x-x],x,x,1,PN,"['𒁹', 'X', 'X', 'X', 'X', 'X']",𒁹XXXXX,{m}x-[x-x-x-x],"['complete', 'complete', 'missing', 'missing', 'missing', 'missing']",0.67,PN,,P527294,4,2,seal identification
10656,P527294.5.1,X,{lu₂}A-⸢KIN⸣,,,,X,"['𒇽', '𒀀', '𒆥']",𒇽𒀀𒆥,{LU₂}A-⸢KIN⸣,"['complete', 'complete', 'damaged']",0.17,,,P527294,5,1,seal identification
10657,P527294.5.2,ša[of]DET,[ša,ša,ša,of,DET,['𒊭'],𒊭,[ša],['missing'],1.0,,,P527294,5,2,seal identification
10658,P527294.5.3,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P527294,5,3,seal identification
10659,P527294.5.4,u,x],,,,u,['X'],X,[x],['missing'],1.0,,,P527294,5,4,seal identification
10660,P527294.6.1,X,E₂,,,,X,['𒂍'],𒂍,E₂,['complete'],0.0,,,P527294,6,1,object sold
10661,P527294.6.2,n,10,,,,n,['𒌋'],𒌋,10,['complete'],0.0,NUMBER,,P527294,6,2,object sold
10662,P527294.6.3,X,ANŠE,,,,X,['𒀲'],𒀲,ANŠE,['complete'],0.0,,,P527294,6,3,object sold
10663,P527294.6.4,X,⸢A⸣.[ŠA₃.GA],,,,X,"['𒀀', '𒊮', '𒂵']",𒀀𒊮𒂵,⸢A⸣.[ŠA₃].[GA],"['damaged', 'missing', 'missing']",0.83,,,P527294,6,4,object sold
10664,P527294.7.1,ina[at]PRP,ina,ina,ina,at,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P527294,7,1,object sold
10665,P527294.7.2,pān[at the disposal of]'PRP,IGI,pān,pānu,at the disposal of,N,['𒅆'],𒅆,IGI,['complete'],0.0,,,P527294,7,2,object sold
10666,P527294.7.3,X,E₂-⸢tal⸣-[pi-te,,,,X,"['𒂍', '𒊑', '𒉿', '𒋼']",𒂍𒊑𒉿𒋼,E₂-⸢tal⸣-[pi-te],"['complete', 'damaged', 'missing', 'missing']",0.62,,,P527294,7,3,object sold
10667,P527294.7.4,ina[at]PRP,ina,ina,ina,at,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P527294,7,4,object sold
10668,P527294.7.5,pān[at the disposal of]'PRP,IGI],pān,pānu,at the disposal of,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,,P527294,7,5,object sold
10669,P527294.8.1,X,{giš}SAR,,,,X,"['𒄑', '𒊬']",𒄑𒊬,{GIŠ}SAR,"['complete', 'complete']",0.0,,,P527294,8,1,object sold
10670,P527294.8.2,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P527294,8,2,object sold
10671,P527294.8.3,u,[x,,,,u,['X'],X,[x],['missing'],1.0,,,P527294,8,3,object sold
10672,P527294.8.4,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P527294,8,4,object sold
10673,P527294.8.5,u,x],,,,u,['X'],X,[x],['missing'],1.0,,,P527294,8,5,object sold
10674,P527294.9.1,ina[at]PRP,ina,ina,ina,at,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P527294,9,1,object sold
10675,P527294.9.2,pān[at the disposal of]'PRP,IGI,pān,pānu,at the disposal of,N,['𒅆'],𒅆,IGI,['complete'],0.0,,,P527294,9,2,object sold
10676,P527294.9.3,X,mu-ša₂-[ab,,,,X,"['𒈬', '𒃻', '𒀊']",𒈬𒃻𒀊,mu-ša₂-[ab],"['complete', 'complete', 'missing']",0.33,,,P527294,9,3,object sold
10677,P527294.9.4,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P527294,9,4,object sold
10678,P527294.9.5,u,x],,,,u,['X'],X,[x],['missing'],1.0,,,P527294,9,5,object sold
10679,P527294.10.1,u,[x,,,,u,['X'],X,[x],['missing'],1.0,,,P527294,10,1,none
