Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
922,P522826.2.1,ṣupur[fingernail]N,ṣu-pur,,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,ṣupur,ṣupru,fingernail,P522826,2,1,seal identification
923,P522826.2.2,+Kaššudu[]PN$Kaššudi,{m}ka-šu-di,PN,PN,"['𒁹', '𒅗', '𒋗', '𒁲']",𒁹𒅗𒋗𒁲,{m}ka-šu-di,"['complete', 'complete', 'complete', 'complete']",0.0,Kaššudi,Kaššudu,1,P522826,2,2,seal identification
924,P522826.2.3,bēl[owner]N,EN,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,P522826,2,3,seal identification
925,P522826.2.4,eqli[field]N,A.ŠA₃,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,P522826,2,4,seal identification
926,P522826.4.1,bētu[house]N,E₂,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,house,P522826,4,1,object sold
927,P522826.4.2,n,05,NUMBER,n,['0₅'],0₅,05,['complete'],0.0,,,,P522826,4,2,object sold
928,P522826.4.3,sūt[a unit of capacity]N,BAN₂,,N,['𒑏'],𒑏,BAN₂,['complete'],0.0,sūt,sūtu,a unit of capacity,P522826,4,3,object sold
929,P522826.4.4,eqli[field]N,A.ŠA₃,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,P522826,4,4,object sold
930,P522826.4.5,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P522826,4,5,object sold
931,P522826.4.6,+kāru[quay]N$kārāni,{uru}KAR.MEŠ,,N,"['𒌷', '𒋼𒀀', '𒈨𒌍']",𒌷𒋼𒀀𒈨𒌍,{URU}KAR.MEŠ,"['complete', 'complete', 'complete']",0.0,kārāni,kāru,quay,P522826,4,6,object sold
932,P522826.5.1,ṭēhi[adjacent to]PRP,SUHUR,,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,ṭēhi,ṭāhu,adjacent to,P522826,5,1,object sold
933,P522826.5.2,nahli[wadi]N,na-ah-li,,N,"['𒈾', '𒄴', '𒇷']",𒈾𒄴𒇷,na-ah-li,"['complete', 'complete', 'complete']",0.0,nahli,nahallu,wadi,P522826,5,2,object sold
934,P522826.6.1,ša[of]DET,⸢ša⸣,,DET,['𒊭'],𒊭,⸢ša⸣,['damaged'],0.5,ša,ša,of,P522826,6,1,object sold
935,P522826.6.2,šapli[under]'PRP,šap-⸢li⸣,,N,"['𒉺𒅁', '𒇷']",𒉺𒅁𒇷,šap-⸢li⸣,"['complete', 'damaged']",0.25,šapli,šaplu,under,P522826,6,2,object sold
936,P522826.6.3,yarhi[pool]N,ia-⸢ar-hi⸣,,N,"['𒅀', '𒅈', '𒄭']",𒅀𒅈𒄭,ia-⸢ar-hi⸣,"['complete', 'damaged', 'damaged']",0.33,yarhi,yarhu,pool,P522826,6,3,object sold
937,P522826.7.1,rēš[head]N,re-eš,,N,"['𒊑', '𒌍']",𒊑𒌍,re-eš,"['complete', 'complete']",0.0,rēš,rēšu,head,P522826,7,1,object sold
938,P522826.7.2,+qubūru[grave]N$qabūrāni,qa-bu-ra-ni,,N,"['𒋡', '𒁍', '𒊏', '𒉌']",𒋡𒁍𒊏𒉌,qa-bu-ra-ni,"['complete', 'complete', 'complete', 'complete']",0.0,qabūrāni,qubūru,grave,P522826,7,2,object sold
939,P522826.8.1,uppišma[contract]V,u₂-piš-⸢ma⸣,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-⸢ma⸣,"['complete', 'complete', 'damaged']",0.17,uppišma,epēšu,contract,P522826,8,1,initiation of transaction
940,P522826.8.2,+Nazi[]PN$,{m}na-zi-i,PN,PN,"['𒁹', '𒈾', '𒍣', '𒄿']",𒁹𒈾𒍣𒄿,{m}na-zi-i,"['complete', 'complete', 'complete', 'complete']",0.0,Nazi,Nazi,1,P522826,8,2,initiation of transaction
941,P522826.9.1,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P522826,9,1,price
942,P522826.9.2,libbi[interior]N,ŠA₃,,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,libbi,libbu,interior,P522826,9,2,price
943,P522826.9.3,n,13,NUMBER,n,['𒌋𒐈'],𒌋𒐈,13,['complete'],0.0,,,,P522826,9,3,price
944,P522826.9.4,manā[a unit of weight]N,MA.⸢NA⸣,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.⸢NA⸣,"['complete', 'damaged']",0.25,manā,manû,a unit of weight,P522826,9,4,price
945,P522826.9.5,erî[copper]N,URUDU.⸢MEŠ⸣,,N,"['𒍏', '𒈨𒌍']",𒍏𒈨𒌍,URUDU.⸢MEŠ⸣,"['complete', 'damaged']",0.25,erî,erû,copper,P522826,9,5,price
946,P522826.10.1,issu[from]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issu,ištu,from,P522826,10,1,completion of transaction
947,P522826.10.2,pān[presence]N,IGI,,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,presence,P522826,10,2,completion of transaction
948,P522826.10.3,+Kaššudu[]PN$Kaššudi,{⸢m⸣}ka-šu-di,PN,PN,"['𒁹', '𒅗', '𒋗', '𒁲']",𒁹𒅗𒋗𒁲,{⸢m⸣}ka-šu-di,"['damaged', 'complete', 'complete', 'complete']",0.12,Kaššudi,Kaššudu,1,P522826,10,3,completion of transaction
949,P522826.10.4,mār[son]N,⸢DUMU⸣,,N,['𒌉'],𒌉,⸢DUMU⸣,['damaged'],0.5,mār,māru,son,P522826,10,4,completion of transaction
950,P522826.10.5,Ilu-eriba[1]PN,{m}DINGIR-SU,PN,PN,"['𒁹', '𒀭', '𒋢']",𒁹𒀭𒋢,{m}DINGIR-SU,"['complete', 'complete', 'complete']",0.0,Ilu-eriba,Ilu-eriba,1,P522826,10,5,completion of transaction
951,P522826.11.1,ilqi[purchase]V,il-qi,,V,"['𒅋', '𒆥']",𒅋𒆥,il-qi,"['complete', 'complete']",0.0,ilqi,leqû,purchase,P522826,11,1,completion of transaction
952,P522826.11.2,kaspu[money]N,kas₂-pu,,N,"['𒁉', '𒁍']",𒁉𒁍,kas₂-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,P522826,11,2,confirmation of transfer 1
953,P522826.11.3,gammur[completed]AJ,ga-mur,,AJ,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,gammur,gammuru,completed,P522826,11,3,confirmation of transfer 1
954,P522826.12.1,tadin[paid]AJ,⸢ta⸣-din,,AJ,"['𒋫', '𒁷']",𒋫𒁷,⸢ta⸣-din,"['damaged', 'complete']",0.25,tadin,tadnu,paid,P522826,12,1,confirmation of transfer 1
955,P522826.12.2,eqli[field]N,A.ŠA₃,,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,eqli,eqlu,field,P522826,12,2,confirmation of transfer 2
956,P522826.12.3,zarip[purchased]AJ,za-rip,,AJ,"['𒍝', '𒆗']",𒍝𒆗,za-rip,"['complete', 'complete']",0.0,zarip,zarpu,purchased,P522826,12,3,confirmation of transfer 2
957,P522826.12.4,laqqi[acquired]AJ,laq-⸢qi⸣,,AJ,"['𒋃', '𒆥']",𒋃𒆥,laq-⸢qi⸣,"['complete', 'damaged']",0.25,laqqi,leqû,acquired,P522826,12,4,confirmation of transfer 2
958,P522826.13.1,tuāru[revocation]'N,[tu-a]-ru,,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,[tu-a]-ru,"['missing', 'missing', 'complete']",0.67,tuāru,târu,revocation,P522826,13,1,exclusion of litigation
959,P522826.13.2,dabābu[litigation]'N,DUG₄.DUG₄,,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,dabābu,dabābu,litigation,P522826,13,2,exclusion of litigation
960,P522826.13.3,laššu[(there) is not]V,⸢la⸣-[aš₂-šu],,V,"['𒆷', '𒀾', '𒋗']",𒆷𒀾𒋗,⸢la⸣-[aš₂-šu],"['damaged', 'missing', 'missing']",0.83,laššu,laššu,(there) is not,P522826,13,3,exclusion of litigation
961,P522826.14.1,mannu[whoever]'XP,[man-nu,,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,[man-nu],"['missing', 'missing']",1.0,mannu,mannu,whoever,P522826,14,1,penalties for litigation: contravention
962,P522826.14.2,ša[whoever]REL,ša],,REL,['𒊭'],𒊭,[ša],['missing'],1.0,ša,ša,whoever,P522826,14,2,penalties for litigation: contravention
963,P522826.14.3,+parāku[lie across//contravene]V'V$iparrikūni,⸢i⸣-pa-ri-[ku-ni],,V,"['𒄿', '𒉺', '𒊑', '𒆪', '𒉌']",𒄿𒉺𒊑𒆪𒉌,⸢i⸣-pa-ri-[ku-ni],"['damaged', 'complete', 'complete', 'missing', 'missing']",0.5,iparrikūni,parāku,contravene,P522826,14,3,penalties for litigation: contravention
964,P522826.16.1,u,[x,,u,['X'],X,[x],['missing'],1.0,,,,P522826,16,1,penalties for litigation: penalty
965,P522826.16.2,u,x,,u,['X'],X,[x],['missing'],1.0,,,,P522826,16,2,penalties for litigation: penalty
966,P522826.16.3,u,x,,u,['X'],X,[x],['missing'],1.0,,,,P522826,16,3,penalties for litigation: penalty
967,P522826.16.4,u,x],,u,['X'],X,[x],['missing'],1.0,,,,P522826,16,4,penalties for litigation: penalty
968,P522826.16.5,manā[a unit of weight]N,⸢MA⸣.NA,,N,"['𒈠', '𒈾']",𒈠𒈾,⸢MA⸣.NA,"['damaged', 'complete']",0.25,manā,manû,a unit of weight,P522826,16,5,penalties for litigation: penalty
969,P522826.16.6,hurāṣi[gold]N,KUG.⸢GI⸣,,N,"['𒆬', '𒄀']",𒆬𒄀,KUG.⸢GI⸣,"['complete', 'damaged']",0.25,hurāṣi,hurāṣu,gold,P522826,16,6,penalties for litigation: penalty
970,P522826.17.1,u,[x,,u,['X'],X,[x],['missing'],1.0,,,,P522826,17,1,penalties for litigation: penalty
971,P522826.17.2,u,x],,u,['X'],X,[x],['missing'],1.0,,,,P522826,17,2,penalties for litigation: penalty
972,P522826.17.3,u,IGI,,u,['𒅆'],𒅆,IGI,['complete'],0.0,,,,P522826,17,3,penalties for litigation: penalty
973,P522826.17.4,u,⸢x,,u,['X'],X,⸢x⸣,['damaged'],0.5,,,,P522826,17,4,penalties for litigation: penalty
974,P522826.17.5,u,x,,u,['X'],X,⸢x⸣,['damaged'],0.5,,,,P522826,17,5,penalties for litigation: penalty
975,P522826.17.6,u,x⸣,,u,['X'],X,⸢x⸣,['damaged'],0.5,,,,P522826,17,6,penalties for litigation: penalty
976,P522826.17.7,u,[x],,u,['X'],X,[x],['missing'],1.0,,,,P522826,17,7,penalties for litigation: penalty
977,P522826.18.1,ina[in]PRP,⸢ina,,PRP,['𒀸'],𒀸,⸢ina⸣,['damaged'],0.5,ina,ina,in,P522826,18,1,penalties for litigation: penalty
