Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
3034,P522869.2.1,kunuk[seal]N,{[na₄}KIŠIB],kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,,P522869,2,1,seal identification
3035,P522869.2.2,+Qarhaia[]PN$,{m}qar-ha-a,Qarhaia,Qarhaia,1,PN,"['𒁹', '𒃼', '𒄩', '𒀀']",𒁹𒃼𒄩𒀀,{m}qar-ha-a,"['complete', 'complete', 'complete', 'complete']",0.0,PN,,P522869,2,2,seal identification
3036,P522869.2.3,mār[son]N,DUMU,mār,māru,son,N,['𒌉'],𒌉,DUMU,['complete'],0.0,,,P522869,2,3,seal identification
3037,P522869.2.4,Adda-rahime[1]PN,{m}10-ra-⸢hi⸣-[me],Adda-rahime,Adda-rahimu,1,PN,"['𒁹', '𒌋', '𒊏', '𒄭', '𒈨']",𒁹𒌋𒊏𒄭𒈨,{m}10-ra-⸢hi⸣-[me],"['complete', 'complete', 'complete', 'damaged', 'missing']",0.3,PN,,P522869,2,4,seal identification
3038,P522869.3.1,issi[with]PRP,[TA,issi,išti,with,PRP,['𒋫'],𒋫,[TA],['missing'],1.0,,,P522869,3,1,seal identification
3039,P522869.3.2,libbi[interior]N,ŠA₃],libbi,libbu,interior,N,['𒊮'],𒊮,[ŠA₃],['missing'],1.0,,,P522869,3,2,seal identification
3040,P522869.3.3,āli[city]N,⸢URU⸣,āli,ālu,city,N,['𒌷'],𒌷,⸢URU⸣,['damaged'],0.5,,,P522869,3,3,seal identification
3041,P522869.3.4,+Asihu[]SN$,a-si-hi,Asihu,Asihu,1,SN,"['𒀀', '𒋛', '𒄭']",𒀀𒋛𒄭,a-si-hi,"['complete', 'complete', 'complete']",0.0,SN,,P522869,3,4,seal identification
3042,P522869.4.1,bēl[owner]N,[EN,bēl,bēlu,owner,N,['𒂗'],𒂗,[EN],['missing'],1.0,,,P522869,4,1,seal identification
3043,P522869.4.2,eqli[field]N,A].ŠA₃,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,[A].ŠA₃,"['missing', 'complete']",0.5,,,P522869,4,2,seal identification
3044,P522869.4.3,tadāni[giving]'N,ta-da-a-ni,tadāni,tadānu,giving,V,"['𒋫', '𒁕', '𒀀', '𒉌']",𒋫𒁕𒀀𒉌,ta-da-a-ni,"['complete', 'complete', 'complete', 'complete']",0.0,,,P522869,4,3,seal identification
3045,P522869.5.1,bētu[house]N,⸢E₂,bētu,bītu,house,N,['𒂍'],𒂍,⸢E₂⸣,['damaged'],0.5,,,P522869,5,1,object sold
3046,P522869.5.2,Šamaš[1]DN,20,Šamaš,Šamaš,1,DN,['𒌋𒌋'],𒌋𒌋,⸢20⸣,['damaged'],0.5,DN,,P522869,5,2,object sold
3047,P522869.5.3,imār[a unit of capacity]N,ANŠE⸣,imār,imēru,a unit of capacity,N,['𒀲'],𒀲,⸢ANŠE⸣,['damaged'],0.5,,,P522869,5,3,object sold
3048,P522869.5.4,eqli[field]N,A.ŠA₃,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,A.ŠA₃,"['complete', 'complete']",0.0,,,P522869,5,4,object sold
3049,P522869.5.5,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522869,5,5,object sold
3050,P522869.5.6,sūti[a unit of capacity]N,{giš}BAN₂,sūti,sūtu,a unit of capacity,N,"['𒄑', '𒑏']",𒄑𒑏,{GIŠ}BAN₂,"['complete', 'complete']",0.0,,,P522869,5,6,object sold
3051,P522869.5.7,n,9,,,,n,['𒑆'],𒑆,9,['complete'],0.0,NUMBER,,P522869,5,7,object sold
3052,P522869.5.8,qa[a unit of capacity]N,qa,qa,qû,a unit of capacity,N,['𒋡'],𒋡,qa,['complete'],0.0,,,P522869,5,8,object sold
3053,P522869.6.1,ṭēhi[adjacent to]PRP,⸢SUHUR⸣,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,⸢SUHUR⸣,['damaged'],0.5,,,P522869,6,1,object sold
3054,P522869.6.2,hūli[road]N,[KASKAL,hūli,hūlu,road,N,['𒆜'],𒆜,[KASKAL],['missing'],1.0,,,P522869,6,2,object sold
3055,P522869.6.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,[ša],['missing'],1.0,,,P522869,6,3,object sold
3056,P522869.6.4,āli[city]N,URU,āli,ālu,city,N,['𒌷'],𒌷,[URU],['missing'],1.0,,,P522869,6,4,object sold
3057,P522869.6.5,+Mallanate[]SN$,ma]-⸢al⸣-la-na-a-te,Mallanate,Mallanate,1,SN,"['𒈠', '𒀠', '𒆷', '𒈾', '𒀀', '𒋼']",𒈠𒀠𒆷𒈾𒀀𒋼,[ma]-⸢al⸣-la-na-a-te,"['missing', 'damaged', 'complete', 'complete', 'complete', 'complete']",0.25,SN,,P522869,6,5,object sold
3058,P522869.6.6,adi[with]PRP,a-di,adi,adi,with,PRP,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,,,P522869,6,6,object sold
3059,P522869.6.7,libbi[interior]N,lib₃-bi,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,lib₃-bi,"['complete', 'complete']",0.0,,,P522869,6,7,object sold
3060,P522869.7.1,ṭēhi[adjacent to]PRP,⸢SUHUR⸣,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,⸢SUHUR⸣,['damaged'],0.5,,,P522869,7,1,object sold
3061,P522869.7.2,u,[x,,,,u,['X'],X,[x],['missing'],1.0,,,P522869,7,2,object sold
3062,P522869.7.3,u,x,,,,u,['X'],X,[x],['missing'],1.0,,,P522869,7,3,object sold
3063,P522869.7.4,u,(x)],,,,u,['X'],X,[x],['missing'],1.0,,,P522869,7,4,object sold
3064,P522869.7.5,eqli[field]N,⸢A⸣.ŠA₃,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,⸢A⸣.ŠA₃,"['damaged', 'complete']",0.25,,,P522869,7,5,object sold
3065,P522869.7.6,ša[whoever]REL,ša₂,ša,ša,whoever,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,,,P522869,7,6,object sold
3066,P522869.7.7,+Nuranu[]PN$,{m}ZALAG₂-a-ni,Nuranu,Nuranu,1,PN,"['𒁹', '𒂟', '𒀀', '𒉌']",𒁹𒂟𒀀𒉌,{m}ZALAG₂-a-ni,"['complete', 'complete', 'complete', 'complete']",0.0,PN,,P522869,7,7,object sold
3067,P522869.8.1,ṭēhi[adjacent to]PRP,SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,,,P522869,8,1,object sold
3068,P522869.8.2,hūli[road]N,KASKAL,hūli,hūlu,road,N,['𒆜'],𒆜,KASKAL,['complete'],0.0,,,P522869,8,2,object sold
3069,P522869.8.3,ša[that]REL,⸢ša⸣,ša,ša,that,REL,['𒊭'],𒊭,⸢ša⸣,['damaged'],0.5,,,P522869,8,3,object sold
3070,P522869.8.4,issi[with]PRP,[TA,issi,išti,with,PRP,['𒋫'],𒋫,[TA],['missing'],1.0,,,P522869,8,4,object sold
3071,P522869.8.5,āli[city]N,URU,āli,ālu,city,N,['𒌷'],𒌷,[URU],['missing'],1.0,,,P522869,8,5,object sold
3072,P522869.8.6,+Mallanate[]SN$Maʾalanate,ma]-ʾa-la-na-te,Maʾalanate,Mallanate,1,SN,"['𒈠', '𒀪', '𒆷', '𒈾', '𒋼']",𒈠𒀪𒆷𒈾𒋼,[ma]-ʾa-la-na-te,"['missing', 'complete', 'complete', 'complete', 'complete']",0.2,SN,,P522869,8,6,object sold
3073,P522869.8.7,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P522869,8,7,object sold
3074,P522869.8.8,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,,P522869,8,8,object sold
3075,P522869.9.1,āli[city]N,URU,āli,ālu,city,N,['𒌷'],𒌷,URU,['complete'],0.0,,,P522869,9,1,object sold
3076,P522869.9.2,+Asihu[]SN$,⸢a⸣-si-hi,Asihu,Asihu,1,SN,"['𒀀', '𒋛', '𒄭']",𒀀𒋛𒄭,⸢a⸣-si-hi,"['damaged', 'complete', 'complete']",0.17,SN,,P522869,9,2,object sold
3077,P522869.9.3,illakūni[come]V,⸢il⸣-lak-u-ni,illakūni,alāku,come,V,"['𒅋', '𒋃', '𒌋', '𒉌']",𒅋𒋃𒌋𒉌,⸢il⸣-lak-u-ni,"['damaged', 'complete', 'complete', 'complete']",0.12,,,P522869,9,3,object sold
3078,P522869.10.1,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P522869,10,1,object sold
3079,P522869.10.2,+Qarhaia[]PN$,{m}qar-ha-a,Qarhaia,Qarhaia,1,PN,"['𒁹', '𒃼', '𒄩', '𒀀']",𒁹𒃼𒄩𒀀,{m}qar-ha-a,"['complete', 'complete', 'complete', 'complete']",0.0,PN,,P522869,10,2,object sold
3080,P522869.10.3,uppišma[contract]V,u₂-piš-⸢ma⸣,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-⸢ma⸣,"['complete', 'complete', 'damaged']",0.17,,,P522869,10,3,initiation of transaction
3081,P522869.10.4,+Harranaia[]PN$,{m}URU-KASKAL-a-⸢a⸣,Harranaia,Harranaia,1,PN,"['𒁹', '𒌷', '𒆜', '𒀀', '𒀀']",𒁹𒌷𒆜𒀀𒀀,{m}URU-KASKAL-a-⸢a⸣,"['complete', 'complete', 'complete', 'complete', 'damaged']",0.1,PN,,P522869,10,4,initiation of transaction
3082,P522869.11.1,mār[son]N,A,mār,māru,son,N,['𒀀'],𒀀,A,['complete'],0.0,,,P522869,11,1,initiation of transaction
3083,P522869.11.2,+Handi[]PN$,{m}ha-an-di-i,Handi,Handi,1,PN,"['𒁹', '𒄩', '𒀭', '𒁲', '𒄿']",𒁹𒄩𒀭𒁲𒄿,{m}ha-an-di-i,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,,P522869,11,2,initiation of transaction
3084,P522869.11.3,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,P522869,11,3,price
3085,P522869.11.4,libbi[interior]N,lib₃-⸢bi⸣,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,lib₃-⸢bi⸣,"['complete', 'damaged']",0.25,,,P522869,11,4,price
3086,P522869.11.5,n,01,,,,n,['01'],01,01,['complete'],0.0,NUMBER,,P522869,11,5,price
3087,P522869.11.6,n,1/2,,,,n,['𒈦'],𒈦,1/2,['complete'],0.0,NUMBER,,P522869,11,6,price
3088,P522869.11.7,manā[a unit of weight]N,⸢MA.NA,manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,⸢MA⸣.⸢NA⸣,"['damaged', 'damaged']",0.5,,,P522869,11,7,price
3089,P522869.11.8,+ṣarpu[silver]N$,KU₃.UD⸣,ṣarpu,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,⸢KU₃⸣.⸢UD⸣,"['damaged', 'damaged']",0.5,,,P522869,11,8,price
3090,P522869.12.1,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P522869,12,1,price
3091,P522869.12.2,Gargamis[Carchemish]GN,{uru}gar-ga-mis,Gargamis,Gargamis,Carchemish,GN,"['𒌷', '𒃻', '𒂵', '𒈩']",𒌷𒃻𒂵𒈩,{URU}gar-ga-mis,"['complete', 'complete', 'complete', 'complete']",0.0,GN,,P522869,12,2,price
3092,P522869.12.3,ilqi[purchase]V,il-[qi],ilqi,leqû,purchase,V,"['𒅋', '𒆥']",𒅋𒆥,il-[qi],"['complete', 'missing']",0.5,,,P522869,12,3,completion of transaction
3093,P522869.13.1,kaspu[money]N,kas-pu,kaspu,kaspu,money,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,,,P522869,13,1,confirmation of transfer 1
