Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
2102,P522566.2.1,kunuk[seal]N,{⸢na₄⸣}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{⸢NA₄⸣}KIŠIB,"['damaged', 'complete']",0.25,,,P522566,2,1,seal identification
2103,P522566.2.2,Dadi-nuri[1]PN,{m}U.U-ZALAG₂,Dadi-nuri,Dadi-nuri,1,PN,"['𒁹', '𒌋', '𒌋', '𒂟']",𒁹𒌋𒌋𒂟,{m}U.U-ZALAG₂,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522566,2,2,seal identification
2104,P522566.3.1,pāhiti[governor]N,{lu₂}EN.NAM,pāhiti,pīhātu,governor,N,"['𒇽', '𒂗', '𒉆']",𒇽𒂗𒉆,{LU₂}EN.NAM,"['complete', 'complete', 'complete']",0.0,,,P522566,3,1,seal identification
2105,P522566.4.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522566,4,1,seal identification
2106,P522566.4.2,Nergal-iddina[1]PN,{m}U.GUR-AŠ,Nergal-iddina,Nergal-iddina,1,PN,"['𒁹', '𒌋', '𒄥', '𒀸']",𒁹𒌋𒄥𒀸,{m}U.GUR-AŠ,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522566,4,2,seal identification
2107,P522566.4.3,+tašlīšu[third man on chariot]N$,{lu₂}03-šu,tašlīšu,tašlīšu,third man on chariot,N,"['𒇽', '0₃', '𒋗']",𒇽0₃𒋗,{LU₂}03-šu,"['complete', 'complete', 'complete']",0.0,,,P522566,4,3,seal identification
2108,P522566.5.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522566,5,1,seal identification
2109,P522566.5.2,Nabu-nammir[1]PN,{m}{d}PA-ZALAG₂-ir,Nabu-nammir,Nabu-nammir,1,PN,"['𒁹', '𒀭', '𒉺', '𒂟', '𒅕']",𒁹𒀭𒉺𒂟𒅕,{m}{d}PA-ZALAG₂-ir,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522566,5,2,seal identification
2110,P522566.5.3,ṭupšarru[scribe]N,{lu₂}A.BA,ṭupšarru,ṭupšarru,scribe,N,"['𒇽', '𒀀', '𒁀']",𒇽𒀀𒁀,{LU₂}A.BA,"['complete', 'complete', 'complete']",0.0,,,P522566,5,3,seal identification
2111,P522566.6.1,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522566,6,1,seal identification
2112,P522566.6.2,+kirû[garden]N$kirie,{giš}SAR,kirie,kirû,garden,N,"['𒄑', '𒊬']",𒄑𒊬,{GIŠ}SAR,"['complete', 'complete']",0.0,,,P522566,6,2,seal identification
2113,P522566.6.3,tadāni[giving]'N,SUM-ni,tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,,,P522566,6,3,seal identification
2114,P522566.10.1,kiriu[garden]N,{[giš]}⸢SAR⸣,kiriu,kirû,garden,N,"['𒄑', '𒊬']",𒄑𒊬,{[GIŠ]}⸢SAR⸣,"['missing', 'damaged']",0.75,,,P522566,10,1,object sold
2115,P522566.10.2,zaqpu[erected]AJ,zaq-pu,zaqpu,zaqpu,erected,AJ,"['𒍠', '𒁍']",𒍠𒁍,zaq-pu,"['complete', 'complete']",0.0,,,P522566,10,2,object sold
2116,P522566.10.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P522566,10,3,object sold
2117,P522566.10.4,tillit[vine]N,{giš}til-lit,tillit,tillatu,vine,N,"['𒄑', '𒌀', '𒀖']",𒄑𒌀𒀖,{GIŠ}til-lit,"['complete', 'complete', 'complete']",0.0,,,P522566,10,4,object sold
2118,P522566.11.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,,P522566,11,1,object sold
2119,P522566.11.2,Šurši[1]PN,{m]}⸢šur⸣-ši-i,Šurši,Šurši,1,PN,"['𒁹', '𒋩', '𒅆', '𒄿']",𒁹𒋩𒅆𒄿,{[m]}⸢šur⸣-ši-i,"['missing', 'damaged', 'complete', 'complete']",0.38,,PN,P522566,11,2,object sold
2120,P522566.11.3,ṭēhi[adjacent to]PRP,⸢SUHUR⸣,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,⸢SUHUR⸣,['damaged'],0.5,,,P522566,11,3,object sold
2121,P522566.11.4,+kirû[garden]N$kirie,{giš}SAR,kirie,kirû,garden,N,"['𒄑', '𒊬']",𒄑𒊬,{GIŠ}SAR,"['complete', 'complete']",0.0,,,P522566,11,4,object sold
2122,P522566.12.1,ša[of]DET,[ša,ša,ša,of,DET,['𒊭'],𒊭,[ša],['missing'],1.0,,,P522566,12,1,object sold
2123,P522566.12.2,Dadi-suri[1]PN,{m}da]-⸢di⸣-su-ri,Dadi-suri,Dadi-suri,1,PN,"['𒁹', '𒁕', '𒁲', '𒋢', '𒊑']",𒁹𒁕𒁲𒋢𒊑,{[m]}[da]-⸢di⸣-su-ri,"['missing', 'missing', 'damaged', 'complete', 'complete']",0.5,,PN,P522566,12,2,object sold
2124,P522566.12.3,ṭēhi[adjacent to]PRP,SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,,,P522566,12,3,object sold
