Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
10030,P335285.5.1,[E₂,bētu[house]N,N,['𒂍'],𒂍,[E₂],['missing'],1.0,bētu,bītu,house,,,P335285,5,1,object sold
10031,P335285.5.2,ep-šu₂,epšu[built]AJ,AJ,"['𒅁', '𒋙']",𒅁𒋙,[ep-šu₂],"['missing', 'missing']",1.0,epšu,epšu,built,,,P335285,5,2,object sold
10032,P335285.5.3,a-di],adi[with]PRP,PRP,"['𒀀', '𒁲']",𒀀𒁲,[a-di],"['missing', 'missing']",1.0,adi,adi,with,,,P335285,5,3,object sold
10033,P335285.5.4,{giš}UR₃-MEŠ-šu₂,gušūrīšu[log]N,N,"['𒄑', '𒃡', '𒈨𒌍', '𒋙']",𒄑𒃡𒈨𒌍𒋙,{GIŠ}UR₃-MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,gušūrīšu,gušūru,log,,,P335285,5,4,object sold
10034,P335285.6.1,[a-di,adi[with]PRP,PRP,"['𒀀', '𒁲']",𒀀𒁲,[a-di],"['missing', 'missing']",1.0,adi,adi,with,,,P335285,6,1,object sold
10035,P335285.6.2,{giš}IG-MEŠ]-⸢šu₂⸣,dalātīšu[door]N,N,"['𒄑', '𒅅', '𒈨𒌍', '𒋙']",𒄑𒅅𒈨𒌍𒋙,{[GIŠ]}[IG-MEŠ]-⸢šu₂⸣,"['missing', 'missing', 'missing', 'damaged']",0.88,dalātīšu,daltu,door,,,P335285,6,2,object sold
10036,P335285.6.3,E₂,bētu[house]N,N,['𒂍'],𒂍,E₂,['complete'],0.0,bētu,bītu,house,,,P335285,6,3,object sold
10037,P335285.6.4,dan-nu,dannu[big]AJ,AJ,"['𒆗', '𒉡']",𒆗𒉡,dan-nu,"['complete', 'complete']",0.0,dannu,dannu,big,,,P335285,6,4,object sold
10038,P335285.7.1,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335285,7,1,object sold
10039,P335285.7.2,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335285,7,2,object sold
10040,P335285.7.3,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335285,7,3,object sold
10041,P335285.7.4,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335285,7,4,object sold
10042,P335285.7.5,E₂—TU₅,bītu[house]N$bēt&ramāku[bathing]N$ramāki,N,"['𒂍', '𒋗𒉀']",𒂍𒋗𒉀,E₂-TU₅,"['complete', 'complete']",0.0,bēt,bītu,house,,,P335285,7,5,object sold
10044,P335285.7.6,ina,ina[in+=within]PRP,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,,P335285,7,6,object sold
