Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
5367,P528277.2.1,X,{na₄}KIŠIB,X,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,,,P528277,2,1,seal identification
5368,P528277.2.2,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,2,2,seal identification
5369,P528277.2.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,2,3,seal identification
5370,P528277.2.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,2,4,seal identification
5371,P528277.2.5,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528277,2,5,seal identification
5372,P528277.3.1,X,{na₄}KIŠIB,X,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,,,P528277,3,1,seal identification
5373,P528277.3.2,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,3,2,seal identification
5374,P528277.3.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,3,3,seal identification
5375,P528277.3.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,3,4,seal identification
5376,P528277.3.5,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528277,3,5,seal identification
5377,P528277.4.1,X,{na₄}[KIŠIB,X,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}[KIŠIB],"['complete', 'missing']",0.5,,,,,P528277,4,1,seal identification
5378,P528277.4.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,4,2,seal identification
5379,P528277.4.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,4,3,seal identification
5380,P528277.4.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,4,4,seal identification
5381,P528277.4.5,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528277,4,5,seal identification
5382,P528277.8.1,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528277,8,1,witness
5383,P528277.8.2,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,8,2,witness
5384,P528277.8.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,8,3,witness
5385,P528277.8.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,8,4,witness
5386,P528277.8.5,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528277,8,5,witness
5387,P528277.9.1,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528277,9,1,witness
5388,P528277.9.2,x[1]PN,{m}[x,PN,"['𒁹', 'X']",𒁹X,{m}[x],"['complete', 'missing']",0.5,x,x,1,PN,P528277,9,2,witness
5389,P528277.9.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,9,3,witness
5390,P528277.9.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528277,9,4,witness
5391,P528277.9.5,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528277,9,5,witness
5392,P528277.10.1,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528277,10,1,witness
