Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
411,P336891.2.1,%akk-x-neoass:{1}aš-šur-x=,{1}aš-šur-[x,"['𒁹', '𒀸', '𒋩', 'X']",𒁹𒀸𒋩X,{1}aš-šur-[x],"['complete', 'complete', 'complete', 'missing']",0.25,,P336891,2,1,,object sold
412,P336891.2.2,%akk-x-neoass:x-a-ni=,(x)]-a-ni,"['X', '𒀀', '𒉌']",X𒀀𒉌,[x]-a-ni,"['missing', 'complete', 'complete']",0.33,,P336891,2,2,,object sold
413,P336891.3.1,%akk-x-neoass:A.ŠA₃-šu₂=,A.ŠA₃-šu₂,"['𒀀', '𒊮', '𒋙']",𒀀𒊮𒋙,A.ŠA₃-šu₂,"['complete', 'complete', 'complete']",0.0,,P336891,3,1,,object sold
414,P336891.3.2,%akk-x-neoass:a-na=,a-na,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,P336891,3,2,,object sold
415,P336891.3.3,%akk-x-neoass:{1}{d}UTU-APIN-eš=,{1}{d}UTU-APIN-eš,"['𒁹', '𒀭', '𒌓', '𒀳', '𒌍']",𒁹𒀭𒌓𒀳𒌍,{1}{d}UTU-APIN-eš,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P336891,3,3,,object sold
416,P336891.4.1,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,,P336891,4,1,,object sold
417,P336891.4.2,%akk-x-neoass:{d}U.GUR=,{d}U.⸢GUR,"['𒀭', '𒌋', '𒄥']",𒀭𒌋𒄥,{d}U.⸢GUR⸣,"['complete', 'complete', 'damaged']",0.17,,P336891,4,2,,object sold
418,P336891.4.3,%akk-x-neoass:x=,x,['X'],X,⸢x⸣,['damaged'],0.5,,P336891,4,3,,object sold
419,P336891.4.4,%akk-x-neoass:x=,x,['X'],X,⸢x⸣,['damaged'],0.5,,P336891,4,4,,object sold
420,P336891.4.5,%akk-x-neoass:x=,x,['X'],X,⸢x⸣,['damaged'],0.5,,P336891,4,5,,object sold
421,P336891.4.6,%akk-x-neoass:x=,x⸣,['X'],X,⸢x⸣,['damaged'],0.5,,P336891,4,6,,object sold
422,P336891.5.1,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,,P336891,5,1,,object sold
423,P336891.5.2,%akk-x-neoass:ma-za-ru-u-te=,⸢ma-za⸣-ru-u-te,"['𒈠', '𒍝', '𒊒', '𒌋', '𒋼']",𒈠𒍝𒊒𒌋𒋼,⸢ma-za⸣-ru-u-te,"['damaged', 'damaged', 'complete', 'complete', 'complete']",0.2,,P336891,5,2,,object sold
424,P336891.5.3,%akk-x-neoass:x+x=,x+[x],"['X', 'X']",XX,x+[x],"['complete', 'missing']",0.5,,P336891,5,3,,object sold
425,P336891.6.1,%akk-x-neoass:x+x=,[x]+x,"['X', 'X']",XX,[x]+x,"['missing', 'complete']",0.5,,P336891,6,1,,none
426,P336891.6.2,%akk-x-neoass:x=,x,['X'],X,x,['complete'],0.0,,P336891,6,2,,none
427,P336891.6.3,%akk-x-neoass:SUM=,SUM,['𒋧'],𒋧,SUM,['complete'],0.0,,P336891,6,3,,none
