Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
6364,P514292.2.1,kunuk[seal]N,{[na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,P514292,2,1,seal identification
6365,P514292.2.2,Nabu-tariṣ[]PN$,{m}{d}PA-LAL-ṣi,Nabu-tariṣ,Nabu-tariṣ,1,PN,"['𒁹', '𒀭', '𒉺', '𒇲', '𒍢']",𒁹𒀭𒉺𒇲𒍢,{[m]}{[d]}[PA-LAL-ṣi],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,PN,P514292,2,2,seal identification
6366,P514292.2.3,u,{lu₂}x,,,,u,"['𒇽', 'X']",𒇽X,{[LU₂]}[x],"['missing', 'missing']",1.0,,P514292,2,3,seal identification
6367,P514292.2.4,u,x],,,,u,['X'],X,[x],['missing'],1.0,,P514292,2,4,seal identification
6368,P514292.3.1,Libbalaya[from Assur]EN$,{[uru}ŠA₃.URU-a]-⸢a⸣,Libbalaya,Libbalaya,from Assur,EN,"['𒌷', '𒊮', '𒌷', '𒀀', '𒀀']",𒌷𒊮𒌷𒀀𒀀,{[URU]}[ŠA₃].[URU-a]-⸢a⸣,"['missing', 'missing', 'missing', 'missing', 'damaged']",0.9,,P514292,3,1,seal identification
6369,P514292.3.2,bēl[lord]N,EN,bēl,bēlu,lord,N,['𒂗'],𒂗,EN,['complete'],0.0,,P514292,3,2,seal identification
6370,P514292.3.3,eqli[field]N,A.⸢ŠA₃⸣,eqli,eqlu,field,N,"['𒀀', '𒊮']",𒀀𒊮,A.⸢ŠA₃⸣,"['complete', 'damaged']",0.25,,P514292,3,3,seal identification
6371,P514292.3.4,tadāni[giving]'N,[SUM-ni],tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,[SUM-ni],"['missing', 'missing']",1.0,,P514292,3,4,seal identification
6372,P514292.7.1,bētu[house]N,E₂,bētu,bītu,house,N,['𒂍'],𒂍,E₂,['complete'],0.0,,P514292,7,1,object sold
6373,P514292.7.2,n,6,,,,n,['𒐋'],𒐋,6,['complete'],0.0,NUMBER,P514292,7,2,object sold
6374,P514292.7.3,imārī[a unit of area]N,⸢ANŠE⸣,imārī,imēru,a unit of area,N,['𒀲'],𒀲,⸢ANŠE⸣,['damaged'],0.5,,P514292,7,3,object sold
6375,P514292.7.4,ṭēhi[adjacent to]PRP,SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,,P514292,7,4,object sold
6376,P514292.7.5,hūli[road]N,KASKAL,hūli,hūlu,road,N,['𒆜'],𒆜,KASKAL,['complete'],0.0,,P514292,7,5,object sold
6377,P514292.7.6,ša[of]DET,ša₂,ša,ša,of,DET,['𒃻'],𒃻,ša₂,['complete'],0.0,,P514292,7,6,object sold
6378,P514292.7.7,u,[x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,7,7,object sold
6379,P514292.7.8,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,7,8,object sold
6380,P514292.7.9,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,7,9,object sold
6381,P514292.7.10,u,x],,,,u,['X'],X,[x],['missing'],1.0,,P514292,7,10,object sold
6382,P514292.8.1,ṭēhi[adjacent to]PRP,SUHUR,ṭēhi,ṭāhu,adjacent to,PRP,['𒋦'],𒋦,SUHUR,['complete'],0.0,,P514292,8,1,object sold
