Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
1286,P514141.2.1,kunuk[seal]N,{na₄}⸢KIŠIB⸣,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}⸢KIŠIB⸣,"['complete', 'damaged']",0.25,kunuk,kunukku,seal,P514141,2,1,seal identification
1287,P514141.2.2,Urdu-Nanaya[1]PN,{m}ARAD-{d}na-na-⸢a⸣,PN,PN,"['𒁹', '𒀴', '𒀭', '𒈾', '𒈾', '𒀀']",𒁹𒀴𒀭𒈾𒈾𒀀,{m}ARAD-{d}na-na-⸢a⸣,"['complete', 'complete', 'complete', 'complete', 'complete', 'damaged']",0.08,Urdu-Nanaya,Urdu-Nanaya,1,P514141,2,2,seal identification
1288,P514141.3.1,kunuk[seal]N,{⸢na₄⸣}[KIŠIB],,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{⸢NA₄⸣}[KIŠIB],"['damaged', 'missing']",0.75,kunuk,kunukku,seal,P514141,3,1,seal identification
1289,P514141.3.2,+Ahuʾa-amur[]PN$,{⸢m}PAB-u⸣-a-a-⸢mur⸣,PN,PN,"['𒁹', '𒉽', '𒌋', '𒀀', '𒀀', '𒄯']",𒁹𒉽𒌋𒀀𒀀𒄯,{⸢m⸣}⸢PAB-u⸣-a-a-⸢mur⸣,"['damaged', 'damaged', 'damaged', 'complete', 'complete', 'damaged']",0.33,Ahuʾa-amur,Ahuʾa-amur,1,P514141,3,2,seal identification
1290,P514141.4.1,kunuk[seal]N,{⸢na₄⸣}[KIŠIB,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{⸢NA₄⸣}[KIŠIB],"['damaged', 'missing']",0.75,kunuk,kunukku,seal,P514141,4,1,seal identification
1291,P514141.4.2,x-mukin[1]PN,{m}x-x]-mu-GIN,PN,PN,"['𒁹', 'X', 'X', '𒈬', '𒁺']",𒁹XX𒈬𒁺,{[m]}[x-x]-mu-GIN,"['missing', 'missing', 'missing', 'complete', 'complete']",0.6,x-mukin,x-mukin,1,P514141,4,2,seal identification
1292,P514141.8.1,bēti[house]N,[E₂,,N,['𒂍'],𒂍,[E₂],['missing'],1.0,bēti,bītu,house,P514141,8,1,object sold
1293,P514141.8.2,adi[within]PRP,a-di,,PRP,"['𒀀', '𒁲']",𒀀𒁲,[a-di],"['missing', 'missing']",1.0,adi,adi,within,P514141,8,2,object sold
1294,P514141.8.3,gušūrīšu[(roof-)beam]N,GIŠ.UR₃.MEŠ-šu₂,,N,"['𒄑', '𒃡', '𒈨𒌍', '𒋙']",𒄑𒃡𒈨𒌍𒋙,[GIŠ].[UR₃].[MEŠ-šu₂],"['missing', 'missing', 'missing', 'missing']",1.0,gušūrīšu,gušūru,(roof-)beam,P514141,8,3,object sold
1295,P514141.8.4,dalātīšu[door]N,{giš}IG.MEŠ-šu₂],,N,"['𒄑', '𒅅', '𒈨𒌍', '𒋙']",𒄑𒅅𒈨𒌍𒋙,{[GIŠ]}[IG].[MEŠ-šu₂],"['missing', 'missing', 'missing', 'missing']",1.0,dalātīšu,daltu,door,P514141,8,4,object sold
