Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
39,P250657.2.1,kunuk[seal]N,{na₄}KIŠIB,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,P250657,2,1,seal identification
40,P250657.2.2,Ubru-Aššur[1]PN,{m}SUHUŠ-aš-šur,PN,PN,"['𒁹', '𒁼', '𒀸', '𒋩']",𒁹𒁼𒀸𒋩,{m}SUHUŠ-aš-šur,"['complete', 'complete', 'complete', 'complete']",0.0,Ubru-Aššur,Ubru-Aššur,1,P250657,2,2,seal identification
41,P250657.2.3,mār[son]N,A,,N,['𒀀'],𒀀,A,['complete'],0.0,mār,māru,son,P250657,2,3,seal identification
42,P250657.2.4,Bulluṭ[1]PN,{m}bu-⸢luṭ⸣,PN,PN,"['𒁹', '𒁍', '𒂁']",𒁹𒁍𒂁,{m}bu-⸢luṭ⸣,"['complete', 'complete', 'damaged']",0.17,Bulluṭ,Bulluṭu,1,P250657,2,4,seal identification
43,P250657.3.1,kunuk[seal]N,{na₄}KIŠIB,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,P250657,3,1,seal identification
44,P250657.3.2,Iqiša-Issar[1]PN,{m}BA-15,PN,PN,"['𒁹', '𒁀', '𒌋𒐊']",𒁹𒁀𒌋𒐊,{m}BA-15,"['complete', 'complete', 'complete']",0.0,Iqiša-Issar,Iqiša-Issar,1,P250657,3,2,seal identification
45,P250657.3.3,aškāpu[tanner]N,AŠGAB,,N,['𒀿'],𒀿,AŠGAB,['complete'],0.0,aškāpu,aškāpu,tanner,P250657,3,3,seal identification
46,P250657.4.1,kunuk[seal]N,{na₄}KIŠIB,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,P250657,4,1,seal identification
47,P250657.4.2,+Idri-ham[]PN$Adir-ham,{m}a-dir-ha-am,PN,PN,"['𒁹', '𒀀', '𒋛𒀀', '𒄩', '𒄠']",𒁹𒀀𒋛𒀀𒄩𒄠,{m}a-dir-ha-am,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Adir-ham,Idri-ham,1,P250657,4,2,seal identification
48,P250657.5.1,gimru[total]N,PAB,,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,P250657,5,1,seal identification
49,P250657.5.2,n,03,NUMBER,n,['0₃'],0₃,03,['complete'],0.0,,,,P250657,5,2,seal identification
50,P250657.5.3,amēlē[man]N,[LU₂].⸢MEŠ,,N,"['𒇽', '𒈨𒌍']",𒇽𒈨𒌍,[LU₂].⸢MEŠ⸣,"['missing', 'damaged']",0.75,amēlē,awīlu,man,P250657,5,3,seal identification
51,P250657.5.4,bēl[owner]N,EN⸣,,N,['𒂗'],𒂗,⸢EN⸣,['damaged'],0.5,bēl,bēlu,owner,P250657,5,4,seal identification
52,P250657.5.5,issi[woman]N,MI₂,,N,['𒊩'],𒊩,MI₂,['complete'],0.0,issi,issu,woman,P250657,5,5,seal identification
53,P250657.5.6,tadāni[giving]'N,SUM-ni,,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,tadāni,tadānu,giving,P250657,5,6,seal identification
54,P250657.7.1,Ṣapuna[1]PN,{f}ṣa-pu-na-a,PN,PN,"['𒊩', '𒍝', '𒁍', '𒈾', '𒀀']",𒊩𒍝𒁍𒈾𒀀,{f}ṣa-pu-na-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Ṣapuna,Ṣapuna,1,P250657,7,1,object sold
55,P250657.7.2,amatšunu[maid]N,GEME₂-šu₂-nu,,N,"['𒊩𒆳', '𒋙', '𒉡']",𒊩𒆳𒋙𒉡,GEME₂-šu₂-nu,"['complete', 'complete', 'complete']",0.0,amatšunu,amtu,maid,P250657,7,2,object sold
56,P250657.8.1,uppišma[contract]V,u₂-piš-ma,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,P250657,8,1,initiation of transaction
57,P250657.8.2,Zer-Issar[1]PN,{m}NUMUN-15,PN,PN,"['𒁹', '𒆰', '𒌋𒐊']",𒁹𒆰𒌋𒐊,{m}NUMUN-15,"['complete', 'complete', 'complete']",0.0,Zer-Issar,Zer-Issar,1,P250657,8,2,initiation of transaction
58,P250657.8.3,mār[son]N,A,,N,['𒀀'],𒀀,A,['complete'],0.0,mār,māru,son,P250657,8,3,initiation of transaction
59,P250657.8.4,Babilayu[1]PN,{m}KA₂.DINGIR-⸢a-a⸣,PN,PN,"['𒁹', '𒆍', '𒀭', '𒀀', '𒀀']",𒁹𒆍𒀭𒀀𒀀,{m}KA₂.DINGIR-⸢a-a⸣,"['complete', 'complete', 'complete', 'damaged', 'damaged']",0.2,Babilayu,Babilayu,1,P250657,8,4,initiation of transaction
60,P250657.9.1,issu[from]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issu,ištu,from,P250657,9,1,completion of transaction
61,P250657.9.2,pān[presence]N,IGI,,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,presence,P250657,9,2,completion of transaction
62,P250657.9.3,Ubru-Aššur[1]PN,{m}SUHUŠ-aš-šur,PN,PN,"['𒁹', '𒁼', '𒀸', '𒋩']",𒁹𒁼𒀸𒋩,{m}SUHUŠ-aš-šur,"['complete', 'complete', 'complete', 'complete']",0.0,Ubru-Aššur,Ubru-Aššur,1,P250657,9,3,completion of transaction
63,P250657.9.4,Iqiša-Issar[1]PN,{m}BA-15,PN,PN,"['𒁹', '𒁀', '𒌋𒐊']",𒁹𒁀𒌋𒐊,{m}BA-15,"['complete', 'complete', 'complete']",0.0,Iqiša-Issar,Iqiša-Issar,1,P250657,9,4,completion of transaction
64,P250657.10.1,issu[from]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issu,ištu,from,P250657,10,1,completion of transaction
65,P250657.10.2,pān[presence]N,IGI,,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,presence,P250657,10,2,completion of transaction
66,P250657.10.3,+Idri-ham[]PN$Adir-ham,{m}a-dir-ha-am,PN,PN,"['𒁹', '𒀀', '𒋛𒀀', '𒄩', '𒄠']",𒁹𒀀𒋛𒀀𒄩𒄠,{m}a-dir-ha-am,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Adir-ham,Idri-ham,1,P250657,10,3,completion of transaction
67,P250657.11.1,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P250657,11,1,price
68,P250657.11.2,libbi[interior]N,ŠA₃,,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,libbi,libbu,interior,P250657,11,2,price
69,P250657.11.3,n,25,NUMBER,n,['𒌋𒌋𒐊'],𒌋𒌋𒐊,25,['complete'],0.0,,,,P250657,11,3,price
70,P250657.11.4,šiqlī[a unit of weight]N,GIN₂,,N,['𒂆'],𒂆,GIN₂,['complete'],0.0,šiqlī,šiqlu,a unit of weight,P250657,11,4,price
71,P250657.11.5,n,1/2,NUMBER,n,['𒈦'],𒈦,1/2,['complete'],0.0,,,,P250657,11,5,price
72,P250657.11.6,šiqlī[a unit of weight]N,GIN₂,,N,['𒂆'],𒂆,GIN₂,['complete'],0.0,šiqlī,šiqlu,a unit of weight,P250657,11,6,price
73,P250657.11.7,ṣarpi[silver]N,KUG.UD,,N,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,ṣarpi,ṣarpu,silver,P250657,11,7,price
74,P250657.12.1,ilqe[purchase]V,il-qe,,V,"['𒅋', '𒆥']",𒅋𒆥,il-qe,"['complete', 'complete']",0.0,ilqe,leqû,purchase,P250657,12,1,completion of transaction
75,P250657.12.2,kaspu[money]N,kas-pu,,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,P250657,12,2,confirmation of transfer 1
76,P250657.12.3,gammur[completed]AJ,ga-mur,,AJ,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,gammur,gammuru,completed,P250657,12,3,confirmation of transfer 1
77,P250657.12.4,tadin[paid]AJ,ta-⸢din⸣,,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-⸢din⸣,"['complete', 'damaged']",0.25,tadin,tadnu,paid,P250657,12,4,confirmation of transfer 1
78,P250657.13.1,issu[woman]N,MI₂,,N,['𒊩'],𒊩,MI₂,['complete'],0.0,issu,sinništu,woman,P250657,13,1,confirmation of transfer 2
79,P250657.13.2,šuātu[that]'DP,[šu-a]-tu₂,,IP,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,[šu-a]-tu₂,"['missing', 'missing', 'complete']",0.67,šuātu,šuāti,that,P250657,13,2,confirmation of transfer 2
80,P250657.13.3,+zarpu[purchased]AJ$zarpat,zar-pat{at},,AJ,"['𒇡', '𒉻', '𒀜']",𒇡𒉻𒀜,zar-pat{at},"['complete', 'complete', 'complete']",0.0,zarpat,zarpu,purchased,P250657,13,3,confirmation of transfer 2
81,P250657.13.4,laqiat[acquired]AJ,TI-⸢at⸣,,AJ,"['𒋾', '𒀜']",𒋾𒀜,TI-⸢at⸣,"['complete', 'damaged']",0.25,laqiat,leqû,acquired,P250657,13,4,confirmation of transfer 2
82,P250657.14.1,tuāru[revocation]'N,[tu-a-ru],,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,[tu-a-ru],"['missing', 'missing', 'missing']",1.0,tuāru,târu,revocation,P250657,14,1,exclusion of litigation
83,P250657.14.2,dēnu[lawsuit]N,⸢de⸣-nu,,N,"['𒁲', '𒉡']",𒁲𒉡,⸢de⸣-nu,"['damaged', 'complete']",0.25,dēnu,dīnu,lawsuit,P250657,14,2,exclusion of litigation
84,P250657.14.3,dabābu[litigation]'N,DUG₄.DUG₄,,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,dabābu,dabābu,litigation,P250657,14,3,exclusion of litigation
85,P250657.15.1,lāšu[(there) is not]V,[la]-⸢a⸣-šu₂,,V,"['𒆷', '𒀀', '𒋙']",𒆷𒀀𒋙,[la]-⸢a⸣-šu₂,"['missing', 'damaged', 'complete']",0.5,lāšu,laššu,(there) is not,P250657,15,1,exclusion of litigation
86,P250657.15.2,mannu[whoever]'XP,man-nu,,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,mannu,mannu,whoever,P250657,15,2,penalties for litigation: contravention
87,P250657.15.3,ša[whoever]REL,ša,,REL,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,whoever,P250657,15,3,penalties for litigation: contravention
88,P250657.15.4,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P250657,15,4,penalties for litigation: contravention
89,P250657.15.5,urkiš[later]AV,ur-kiš,,AV,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,urkiš,urkiš,later,P250657,15,5,penalties for litigation: contravention
90,P250657.17.1,ina[in]PRP,[(ina)],,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,P250657,17,1,penalties for litigation: contravention
91,P250657.17.2,+matīma[ever]AV$mattīma,⸢mat⸣-ti-ma,,AV,"['𒆳', '𒋾', '𒈠']",𒆳𒋾𒈠,⸢mat⸣-ti-ma,"['damaged', 'complete', 'complete']",0.17,mattīma,matīma,ever,P250657,17,2,penalties for litigation: contravention
92,P250657.17.3,dēnu[lawsuit]N,de-nu,,N,"['𒁲', '𒉡']",𒁲𒉡,de-nu,"['complete', 'complete']",0.0,dēnu,dīnu,lawsuit,P250657,17,3,penalties for litigation: contravention
93,P250657.18.1,dabābu[litigation]'N,⸢DUG₄⸣.DUG₄,,V,"['𒅗', '𒅗']",𒅗𒅗,⸢DUG₄⸣.DUG₄,"['damaged', 'complete']",0.25,dabābu,dabābu,litigation,P250657,18,1,penalties for litigation: contravention
94,P250657.18.2,issi[with]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issi,išti,with,P250657,18,2,penalties for litigation: contravention
95,P250657.18.3,Zer-Issar[1]PN,{m}NUMUN-15,PN,PN,"['𒁹', '𒆰', '𒌋𒐊']",𒁹𒆰𒌋𒐊,{m}NUMUN-⸢15⸣,"['complete', 'complete', 'damaged']",0.17,Zer-Issar,Zer-Issar,1,P250657,18,3,penalties for litigation: contravention
96,P250657.20.1,ubtaʾʾūni[seek]V,[ub-ta-u-ni,,V,"['𒌒', '𒋫', '𒌋', '𒉌']",𒌒𒋫𒌋𒉌,[ub-ta-u-ni],"['missing', 'missing', 'missing', 'missing']",1.0,ubtaʾʾūni,buʾʾû,seek,P250657,20,1,penalties for litigation: contravention
97,P250657.20.2,n,10,NUMBER,n,['𒌋'],𒌋,[10],['missing'],1.0,,,,P250657,20,2,penalties for litigation: penalty
98,P250657.20.3,manā[a unit of weight]N,MA.NA,,N,"['𒈠', '𒈾']",𒈠𒈾,[MA].[NA],"['missing', 'missing']",1.0,manā,manû,a unit of weight,P250657,20,3,penalties for litigation: penalty
99,P250657.20.4,ṣarpi[silver]N,KUG.UD],,N,"['𒆬', '𒌓']",𒆬𒌓,[KUG].[UD],"['missing', 'missing']",1.0,ṣarpi,ṣarpu,silver,P250657,20,4,penalties for litigation: penalty
100,P250657.21.1,n,01,NUMBER,n,['01'],01,01,['complete'],0.0,,,,P250657,21,1,penalties for litigation: penalty
101,P250657.21.2,manā[a unit of weight]N,[MA.NA,,N,"['𒈠', '𒈾']",𒈠𒈾,[MA].[NA],"['missing', 'missing']",1.0,manā,manû,a unit of weight,P250657,21,2,penalties for litigation: penalty
102,P250657.21.3,hurāṣi[gold]N,KUG.GI,,N,"['𒆬', '𒄀']",𒆬𒄀,[KUG].[GI],"['missing', 'missing']",1.0,hurāṣi,hurāṣu,gold,P250657,21,3,penalties for litigation: penalty
103,P250657.21.4,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,P250657,21,4,penalties for litigation: penalty
104,P250657.21.5,burki[lap]N,bur-ki,,N,"['𒁓', '𒆠']",𒁓𒆠,[bur-ki],"['missing', 'missing']",1.0,burki,burku,lap,P250657,21,5,penalties for litigation: penalty
105,P250657.21.6,Ištar[1]DN,{d}iš-tar],DN,DN,"['𒀭', '𒅖', '𒋻']",𒀭𒅖𒋻,{[d]}[iš-tar],"['missing', 'missing', 'missing']",1.0,Ištar,Ištar,1,P250657,21,6,penalties for litigation: penalty
106,P250657.22.1,āšibāt[residing]AJ,a-[ši-bat,,AJ,"['𒀀', '𒅆', '𒁁']",𒀀𒅆𒁁,a-[ši-bat],"['complete', 'missing', 'missing']",0.67,āšibāt,āšibu,residing,P250657,22,1,penalties for litigation: penalty
107,P250657.22.2,Ninua[1]GN,NINA{ki},GN,GN,"['𒀏', '𒆠']",𒀏𒆠,[NINA]{[KI]},"['missing', 'missing']",1.0,Ninua,Ninua,1,P250657,22,2,penalties for litigation: penalty
108,P250657.22.3,iddan[pay]V,SUM-an],,V,"['𒋧', '𒀭']",𒋧𒀭,[SUM-an],"['missing', 'missing']",1.0,iddan,tadānu,pay,P250657,22,3,penalties for litigation: penalty
109,P250657.23.1,n,02,NUMBER,n,['0₂'],0₂,02,['complete'],0.0,,,,P250657,23,1,penalties for litigation: penalty
110,P250657.23.2,sissê[horse]N,[ANŠE.KUR.RA.MEŠ,,N,"['𒀲', '𒆳', '𒊏', '𒈨𒌍']",𒀲𒆳𒊏𒈨𒌍,[ANŠE].[KUR].[RA].[MEŠ],"['missing', 'missing', 'missing', 'missing']",1.0,sissê,sisû,horse,P250657,23,2,penalties for litigation: penalty
111,P250657.23.3,paṣūti[bare]AJ,BABBAR.MEŠ],,AJ,"['𒌓', '𒈨𒌍']",𒌓𒈨𒌍,[BABBAR].[MEŠ],"['missing', 'missing']",1.0,paṣūti,peṣû,bare,P250657,23,3,penalties for litigation: penalty
112,P250657.24.1,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P250657,24,1,penalties for litigation: penalty
113,P250657.24.2,šēpē[foot]N,[GIR₃.2,,N,"['𒄊', '𒈫']",𒄊𒈫,[GIR₃].[2],"['missing', 'missing']",1.0,šēpē,šēpu,foot,P250657,24,2,penalties for litigation: penalty
114,P250657.24.3,Aššur[1]DN,aš-šur,DN,DN,"['𒀸', '𒋩']",𒀸𒋩,[aš-šur],"['missing', 'missing']",1.0,Aššur,Aššur,1,P250657,24,3,penalties for litigation: penalty
115,P250657.24.4,irakkas[bind]V,i-rak-kas],,V,"['𒄿', '𒊩', '𒆜']",𒄿𒊩𒆜,[i-rak-kas],"['missing', 'missing', 'missing']",1.0,irakkas,rakāsu,bind,P250657,24,4,penalties for litigation: penalty
116,P250657.25.1,Aššur[1]DN,{d}aš-⸢šur⸣,DN,DN,"['𒀭', '𒀸', '𒋩']",𒀭𒀸𒋩,{d}aš-⸢šur⸣,"['complete', 'complete', 'damaged']",0.17,Aššur,Aššur,1,P250657,25,1,penalties for litigation: penalty
117,P250657.25.2,Nabu[1]DN,{[d}PA,DN,DN,"['𒀭', '𒉺']",𒀭𒉺,{[d]}[PA],"['missing', 'missing']",1.0,Nabu,Nabu,1,P250657,25,2,penalties for litigation: penalty
118,P250657.25.3,Šamaš[1]DN,{d]}⸢ša₂⸣-maš,DN,DN,"['𒀭', '𒃻', '𒈦']",𒀭𒃻𒈦,{[d]}⸢ša₂⸣-maš,"['missing', 'damaged', 'complete']",0.5,Šamaš,Šamaš,1,P250657,25,3,penalties for litigation: penalty
119,P250657.25.4,Bel[]DN,⸢EN⸣,DN,DN,['𒂗'],𒂗,⸢EN⸣,['damaged'],0.5,Bel,Bel,1,P250657,25,4,penalties for litigation: penalty
120,P250657.25.5,lū[may]MOD,[lu-u₂],,MOD,"['𒇻', '𒌑']",𒇻𒌑,[lu-u₂],"['missing', 'missing']",1.0,lū,lū,may,P250657,25,5,penalties for litigation: penalty
121,P250657.26.1,bēl[owner]N&dēnīšu[lawsuit]N&dēnīšu[lawsuit]N&dēnīšu[lawsuit]N,EN-de-[ni-šu₂,,N,"['𒂗', '𒁲', '𒉌', '𒋙']",𒂗𒁲𒉌𒋙,EN-de-[ni-šu₂],"['complete', 'complete', 'missing', 'missing']",0.5,bēl,bēlu,owner,P250657,26,1,penalties for litigation: penalty
125,P250657.26.2,n,01,NUMBER,n,['01'],01,[01],['missing'],1.0,,,,P250657,26,2,penalties for litigation: penalty
126,P250657.26.3,manā[a unit of weight]N,MA.[NA,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.[NA],"['complete', 'missing']",0.5,manā,manû,a unit of weight,P250657,26,3,penalties for litigation: penalty
127,P250657.26.4,ṣarpi[silver]N,KUG.UD],,N,"['𒆬', '𒌓']",𒆬𒌓,[KUG].[UD],"['missing', 'missing']",1.0,ṣarpi,ṣarpu,silver,P250657,26,4,penalties for litigation: penalty
128,P250657.27.1,iddan[pay]V,SUM-an,,V,"['𒋧', '𒀭']",𒋧𒀭,SUM-an,"['complete', 'complete']",0.0,iddan,tadānu,pay,P250657,27,1,penalties for litigation: penalty
129,P250657.27.2,issu[woman]N,MI₂,,N,['𒊩'],𒊩,MI₂,['complete'],0.0,issu,sinništu,woman,P250657,27,2,penalties for litigation: penalty
