Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
6251,P224600.1.1,kūm[instead of]PRP,⸢ku⸣-[um,,PRP,"['𒆪', '𒌝']",𒆪𒌝,⸢ku⸣-[um],"['damaged', 'missing']",0.75,kūm,kūm,instead of,P224600,1,1,seal identification
6252,P224600.1.2,kunukkīšu[seal]N,{na₄}KIŠIB-šu₂,,N,"['𒉌𒌓', '𒈩', '𒋙']",𒉌𒌓𒈩𒋙,{[NA₄]}[KIŠIB-šu₂],"['missing', 'missing', 'missing']",1.0,kunukkīšu,kunukku,seal,P224600,1,2,seal identification
6253,P224600.1.3,ṣupuršu[fingernail]N,ṣu-pur-šu₂,,N,"['𒍮', '𒁓', '𒋙']",𒍮𒁓𒋙,[ṣu-pur-šu₂],"['missing', 'missing', 'missing']",1.0,ṣupuršu,ṣupru,fingernail,P224600,1,3,seal identification
6254,P224600.1.4,iškun[place]V,iš-kun],,V,"['𒅖', '𒆲']",𒅖𒆲,[iš-kun],"['missing', 'missing']",1.0,iškun,šakānu,place,P224600,1,4,seal identification
6255,P224600.2.1,ṣupur[fingernail]N,ṣu-⸢pur⸣,,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-⸢pur⸣,"['complete', 'damaged']",0.25,ṣupur,ṣupru,fingernail,P224600,2,1,seal identification
6256,P224600.2.2,Mušallim-Šamaš[1]PN,{1}mu-DI-{d}UTU],PN,PN,"['𒁹', '𒈬', '𒁲', '𒀭', '𒌓']",𒁹𒈬𒁲𒀭𒌓,{[1]}[mu-DI]-{[d]}[UTU],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,Mušallim-Šamaš,Mušallim-Šamaš,1,P224600,2,2,seal identification
6257,P224600.3.1,u,{uru}[x,,u,"['𒌷', 'X']",𒌷X,{URU}[x],"['complete', 'missing']",0.5,,,,P224600,3,1,seal identification
6258,P224600.3.2,u,x,,u,['X'],X,[x],['missing'],1.0,,,,P224600,3,2,seal identification
6259,P224600.3.3,u,x,,u,['X'],X,[x],['missing'],1.0,,,,P224600,3,3,seal identification
6260,P224600.3.4,u,x],,u,['X'],X,[x],['missing'],1.0,,,,P224600,3,4,seal identification
