Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
10029,P225179.2.1,kunuk[seal]N,{na₄}KIŠIB,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,,P225179,2,1,seal identification
10030,P225179.2.2,Mannu-ki-Ninua[1]PN,{1}man-nu-ki-{uru}NINA,PN,"['𒁹', '𒌋𒌋', '𒉡', '𒆠', '𒌷', '𒀏']",𒁹𒌋𒌋𒉡𒆠𒌷𒀏,{1}man-nu-ki-{URU}NINA,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Mannu-ki-Ninua,Mannu-ki-Ninua,1,PN,P225179,2,2,seal identification
10031,P225179.3.1,Muṣuraya[Egyptian]EN,{lu₂}mu-ṣur-a.a,EN,"['𒇽', '𒈬', '𒀫', '𒀀', '𒀀']",𒇽𒈬𒀫𒀀𒀀,{LU₂}mu-ṣur-a.a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Muṣuraya,Muṣuraya,Egyptian,,P225179,3,1,seal identification
10032,P225179.4.1,+bēlu[lord//owner]N'N$bēl,EN,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,,P225179,4,1,seal identification
10033,P225179.4.2,+mārtu[daughter//daughter]N'N$marʾitīšu,DUMU.MI₂-ti-šu₂,N,"['𒌉', '𒊩', '𒋾', '𒋙']",𒌉𒊩𒋾𒋙,DUMU.MI₂-ti-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,marʾitīšu,mārtu,daughter,,P225179,4,2,seal identification
10034,P225179.4.3,tadāni[giving]'N,ta-da-ni,V,"['𒋫', '𒁕', '𒉌']",𒋫𒁕𒉌,ta-da-ni,"['complete', 'complete', 'complete']",0.0,tadāni,tadānu,giving,,P225179,4,3,seal identification
10035,P225179.8.1,u,{[mi₂}x,u,"['𒊩', 'X']",𒊩X,{[MI₂]}[x],"['missing', 'missing']",1.0,,,,,P225179,8,1,object sold
10036,P225179.8.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225179,8,2,object sold
10037,P225179.8.3,u,(x,u,['X'],X,[x],['missing'],1.0,,,,,P225179,8,3,object sold
10038,P225179.8.4,u,x)],u,['X'],X,[x],['missing'],1.0,,,,,P225179,8,4,object sold
10039,P225179.8.5,u,x-ši-in,u,"['X', '𒅆', '𒅔']",X𒅆𒅔,x-ši-in,"['complete', 'complete', 'complete']",0.0,,,,,P225179,8,5,object sold
10040,P225179.8.6,marʾussu[daughter]N,DUMU.MI₂-su,N,"['𒌉', '𒊩', '𒋢']",𒌉𒊩𒋢,DUMU.MI₂-su,"['complete', 'complete', 'complete']",0.0,marʾussu,mārtu,daughter,,P225179,8,6,object sold
10041,P225179.9.1,+epēšu[do//contract]V'V$tuppišma,[tu-up-pi-iš-ma],V,"['𒌅', '𒌒', '𒉿', '𒅖', '𒈠']",𒌅𒌒𒉿𒅖𒈠,[tu-up-pi-iš-ma],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,tuppišma,epēšu,contract,,P225179,9,1,initiation of transaction
10042,P225179.9.2,šakintu[governess]N,{⸢mi₂⸣}ša₂-kin₂-tu₂,N,"['𒊩', '𒃻', '𒄯', '𒌓']",𒊩𒃻𒄯𒌓,{⸢MI₂⸣}ša₂-kin₂-tu₂,"['damaged', 'complete', 'complete', 'complete']",0.12,šakintu,šakintu,governess,,P225179,9,2,initiation of transaction
10043,P225179.10.1,ša[of]DET,[ša,DET,['𒊭'],𒊭,[ša],['missing'],1.0,ša,ša,of,,P225179,10,1,initiation of transaction
10044,P225179.10.2,bēt[household]N,E₂],N,['𒂍'],𒂍,[E₂],['missing'],1.0,bēt,bītu,household,,P225179,10,2,initiation of transaction
10045,P225179.10.3,issi[woman]N&ēkalli[palace]N,⸢MI₂⸣-KUR,N,"['𒊩', '𒆳']",𒊩𒆳,⸢MI₂⸣-KUR,"['damaged', 'complete']",0.25,issi,sinništu,woman,,P225179,10,3,initiation of transaction
10047,P225179.11.1,ša[of]DET,[ša,DET,['𒊭'],𒊭,[ša],['missing'],1.0,ša,ša,of,,P225179,11,1,initiation of transaction
10048,P225179.11.2,ēkal[palace]N&māšarti[inspection]N,E₂.GAL-ma]-šar-ti,N,"['𒂍', '𒃲', '𒈠', '𒊬', '𒋾']",𒂍𒃲𒈠𒊬𒋾,[E₂].[GAL-ma]-šar-ti,"['missing', 'missing', 'missing', 'complete', 'complete']",0.6,ēkal,ēkallu,palace,,P225179,11,2,initiation of transaction
10050,P225179.11.3,ša[of]DET,ša,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,P225179,11,3,initiation of transaction
10051,P225179.11.4,Kalhi[1]GN,{uru}kal₃-hi,GN,"['𒌷', '𒆕', '𒄭']",𒌷𒆕𒄭,{URU}kal₃-hi,"['complete', 'complete', 'complete']",0.0,Kalhi,Kalhu,1,GN,P225179,11,4,initiation of transaction
10052,P225179.12.1,issu[from]PRP,[TA,PRP,['𒋫'],𒋫,[TA],['missing'],1.0,issu,ištu,from,,P225179,12,1,completion of transaction
10053,P225179.12.2,pān[front]N,IGI,N,['𒅆'],𒅆,[IGI],['missing'],1.0,pān,pānu,front,,P225179,12,2,completion of transaction
10054,P225179.12.3,Mannu-ki-Ninua[1]PN,{1}man-nu]-⸢ki⸣-{uru}NINA,PN,"['𒁹', '𒌋𒌋', '𒉡', '𒆠', '𒌷', '𒀏']",𒁹𒌋𒌋𒉡𒆠𒌷𒀏,{[1]}[man-nu]-⸢ki⸣-{URU}NINA,"['missing', 'missing', 'missing', 'damaged', 'complete', 'complete']",0.58,Mannu-ki-Ninua,Mannu-ki-Ninua,1,PN,P225179,12,3,completion of transaction
10055,P225179.13.1,ina[in]PRP,[ina,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,P225179,13,1,price
10056,P225179.13.2,libbi[interior]N,ŠA₃-bi,N,"['𒊮', '𒁉']",𒊮𒁉,[ŠA₃-bi],"['missing', 'missing']",1.0,libbi,libbu,interior,,P225179,13,2,price
10057,P225179.13.3,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P225179,13,3,price
10058,P225179.13.4,šiqli[a unit of weight]N,⸢GIN₂⸣,N,['𒂆'],𒂆,⸢GIN₂⸣,['damaged'],0.5,šiqli,šiqlu,a unit of weight,,P225179,13,4,price
10059,P225179.13.5,ṣarpi[silver]N,KUG.UD,N,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,ṣarpi,ṣarpu,silver,,P225179,13,5,price
10060,P225179.14.1,talqi[purchase]V,[ta-al-qi,V,"['𒋫', '𒀠', '𒆥']",𒋫𒀠𒆥,[ta-al-qi],"['missing', 'missing', 'missing']",1.0,talqi,leqû,purchase,,P225179,14,1,completion of transaction
10061,P225179.14.2,kaspu[money]N,kas-pu],N,"['𒆜', '𒁍']",𒆜𒁍,[kas-pu],"['missing', 'missing']",1.0,kaspu,kaspu,money,,P225179,14,2,confirmation of transfer 1
10062,P225179.14.3,gammur[completed]AJ,⸢gam⸣-mur,AJ,"['𒃵', '𒄯']",𒃵𒄯,⸢gam⸣-mur,"['damaged', 'complete']",0.25,gammur,gammuru,completed,,P225179,14,3,confirmation of transfer 1
10063,P225179.14.4,tadin[paid]AJ,ta-din,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,tadin,tadnu,paid,,P225179,14,4,confirmation of transfer 1
10064,P225179.16.1,issu[woman]N,[MI₂,N,['𒊩'],𒊩,[MI₂],['missing'],1.0,issu,sinništu,woman,,P225179,16,1,confirmation of transfer 2
10065,P225179.16.2,u,(x),u,['X'],X,[x],['missing'],1.0,,,,,P225179,16,2,confirmation of transfer 2
10066,P225179.16.3,zarpat[purchased]AJ,za]-⸢ar⸣-pa-at,AJ,"['𒍝', '𒅈', '𒉺', '𒀜']",𒍝𒅈𒉺𒀜,[za]-⸢ar⸣-pa-at,"['missing', 'damaged', 'complete', 'complete']",0.38,zarpat,zarpu,purchased,,P225179,16,3,confirmation of transfer 2
10067,P225179.17.1,laqiat[acquired]AJ,[la]-⸢qe⸣-at,AJ,"['𒆷', '𒆥', '𒀜']",𒆷𒆥𒀜,[la]-⸢qe⸣-at,"['missing', 'damaged', 'complete']",0.5,laqiat,leqû,acquired,,P225179,17,1,confirmation of transfer 2
10068,P225179.18.1,tuāru[revocation]'N,⸢tu⸣-a-ru,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,⸢tu⸣-a-ru,"['damaged', 'complete', 'complete']",0.17,tuāru,târu,revocation,,P225179,18,1,exclusion of litigation
10069,P225179.18.2,dēnu[lawsuit]N,de-e-nu,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,dēnu,dīnu,lawsuit,,P225179,18,2,exclusion of litigation
10070,P225179.20.1,dabābu[litigation]'N,DUG₄.DUG₄,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,dabābu,dabābu,litigation,,P225179,20,1,exclusion of litigation
