Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
16881,P527317.6.1,+Nusku-reʾanu[]PN$,{[m}{d]}⸢nusku⸣-SIPA-a-nu,Nusku-reʾanu,Nusku-reʾanu,1,PN,"['𒁹', '𒀭', '𒉺𒌆', '𒉺𒇻', '𒀀', '𒉡']",𒁹𒀭𒉺𒌆𒉺𒇻𒀀𒉡,{[m]}{[d]}⸢nusku⸣-SIPA-a-nu,"['missing', 'missing', 'damaged', 'complete', 'complete', 'complete']",0.42,PN,,P527317,6,1,object sold
16882,P527317.7.1,X,[ARAD-šu₂,,,,X,"['𒀴', '𒋙']",𒀴𒋙,[ARAD-šu₂],"['missing', 'missing']",1.0,,,P527317,7,1,object sold
16883,P527317.7.2,ša[of]DET,ša₂,ša,ša,of,DET,['𒃻'],𒃻,[ša₂],['missing'],1.0,,,P527317,7,2,object sold
16884,P527317.7.3,+x-rapiʾ[]PN$,{m}x-x]-⸢ra⸣-pi-iʾ,x-rapiʾ,x-rapiʾ,1,PN,"['𒁹', 'X', 'X', '𒊏', '𒉿', '𒀪']",𒁹XX𒊏𒉿𒀪,{[m]}[x-x]-⸢ra⸣-pi-iʾ,"['missing', 'missing', 'missing', 'damaged', 'complete', 'complete']",0.58,PN,,P527317,7,3,object sold
16885,P527317.11.1,šību[witness]N,[IGI,šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,,P527317,11,1,witness
16886,P527317.11.2,x[1]PN,{m}x-x-(x),x,x,1,PN,"['𒁹', 'X', 'X', 'X']",𒁹XXX,{[m]}[x-x-x],"['missing', 'missing', 'missing', 'missing']",1.0,PN,,P527317,11,2,witness
16887,P527317.11.3,mār[son]N,A,mār,māru,son,N,['𒀀'],𒀀,[A],['missing'],1.0,,,P527317,11,3,witness
16888,P527317.11.4,+Rahi-Issar[]PN$,{m]}ra-hi-15,Rahi-Issar,Rahi-Issar,1,PN,"['𒁹', '𒊏', '𒄭', '𒌋𒐊']",𒁹𒊏𒄭𒌋𒐊,{[m]}ra-hi-15,"['missing', 'complete', 'complete', 'complete']",0.25,PN,,P527317,11,4,witness
16889,P527317.12.1,šību[witness]N,[IGI,šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,,P527317,12,1,witness
16890,P527317.12.2,+Gir-Seʾ[]PN$Gir-Siʾ,{m}gir]-ra-si-i,Gir-Siʾ,Gir-Seʾ,1,PN,"['𒁹', '𒄫', '𒊏', '𒋛', '𒄿']",𒁹𒄫𒊏𒋛𒄿,{[m]}[gir]-ra-si-i,"['missing', 'missing', 'complete', 'complete', 'complete']",0.4,PN,,P527317,12,2,witness
