Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
1236,P522495.2.1,ṣupur[fingernail]N,ṣu-pur,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,ṣupur,ṣupru,fingernail,,P522495,2,1,seal identification
1237,P522495.2.2,Aššur-šarru-uṣur[1]PN,{1}aš-šur-LUGAL-⸢PAB⸣,PN,"['𒁹', '𒀸', '𒋩', '𒈗', '𒉽']",𒁹𒀸𒋩𒈗𒉽,{1}aš-šur-LUGAL-⸢PAB⸣,"['complete', 'complete', 'complete', 'complete', 'damaged']",0.1,Aššur-šarru-uṣur,Aššur-šarru-uṣur,1,PN,P522495,2,2,seal identification
1238,P522495.2.3,mār[son]N,DUMU,N,['𒌉'],𒌉,DUMU,['complete'],0.0,mār,māru,son,,P522495,2,3,seal identification
1239,P522495.2.4,+Birkia[]PN$,{1}⸢bi-ir-ki-a⸣,PN,"['𒁹', '𒁉', '𒅕', '𒆠', '𒀀']",𒁹𒁉𒅕𒆠𒀀,{1}⸢bi-ir-ki-a⸣,"['complete', 'damaged', 'damaged', 'damaged', 'damaged']",0.4,Birkia,Birkia,1,PN,P522495,2,4,seal identification
1240,P522495.6.1,+Maršayu[]PN$Maršaya,{1}mar-ša₂-a.a,PN,"['𒁹', '𒈥', '𒃻', '𒀀', '𒀀']",𒁹𒈥𒃻𒀀𒀀,{1}mar-ša₂-a.a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Maršaya,Maršayu,1,PN,P522495,6,1,object sold
1241,P522495.6.2,+Gaddiu[]PN$,{1}ga-di-u₂,PN,"['𒁹', '𒂵', '𒁲', '𒌑']",𒁹𒂵𒁲𒌑,{1}ga-di-u₂,"['complete', 'complete', 'complete', 'complete']",0.0,Gaddiu,Gaddiu,1,PN,P522495,6,2,object sold
1242,P522495.7.1,+Minu-ahṭi-ana-Aššur[]PN$,{1}mi-nu-ah-ṭi₂-a-na-{d}aš-šur,PN,"['𒁹', '𒈪', '𒉡', '𒄴', '𒄭', '𒀀', '𒈾', '𒀭', '𒀸', '𒋩']",𒁹𒈪𒉡𒄴𒄭𒀀𒈾𒀭𒀸𒋩,{1}mi-nu-ah-ṭi₂-a-na-{d}aš-šur,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Minu-ahṭi-ana-Aššur,Minu-ahṭi-ana-Aššur,1,PN,P522495,7,1,object sold
1243,P522495.8.1,+Tanaṭṭala[]PN$,{1}ta-na-aṭ-ṭa-la,PN,"['𒁹', '𒋫', '𒈾', '𒀜', '𒁕', '𒆷']",𒁹𒋫𒈾𒀜𒁕𒆷,{1}ta-na-aṭ-ṭa-la,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Tanaṭṭala,Tanaṭṭala,1,PN,P522495,8,1,object sold
1244,P522495.8.2,marʾussu[daughter]N,DUMU.⸢MI₂⸣-[su],N,"['𒌉', '𒊩', '𒋢']",𒌉𒊩𒋢,DUMU.⸢MI₂⸣-[su],"['complete', 'damaged', 'missing']",0.5,marʾussu,mārtu,daughter,,P522495,8,2,object sold
1245,P522495.9.1,gimru[total]N,⸢PAB,N,['𒉽'],𒉽,⸢PAB⸣,['damaged'],0.5,gimru,gimru,total,,P522495,9,1,object sold
