Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
491,P527426.2.1,kunuk[seal]N,{[na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,P527426,2,1,seal identification
492,P527426.2.2,x[1]PN,{m}...,x,x,1,PN,"['𒁹', 'x']",𒁹x,{[m]}[x],"['missing', 'missing']",1.0,PN,P527426,2,2,seal identification
493,P527426.2.3,+māru[son]N$mār,A,mār,māru,son,N,['𒀀'],𒀀,[A],['missing'],1.0,,P527426,2,3,seal identification
494,P527426.2.4,x[1]PN,{m}...],x,x,1,PN,"['𒁹', 'x']",𒁹x,{[m]}[x],"['missing', 'missing']",1.0,PN,P527426,2,4,seal identification
495,P527426.3.1,issu[from]PRP,[TA,issu,ištu,from,PRP,['𒋫'],𒋫,[TA],['missing'],1.0,,P527426,3,1,seal identification
496,P527426.3.2,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,[ŠA₃],['missing'],1.0,,P527426,3,2,seal identification
497,P527426.3.3,x[1]SN,{uru}...],x,x,1,SN,"['𒌷', 'x']",𒌷x,{[URU]}[x],"['missing', 'missing']",1.0,SN,P527426,3,3,seal identification
498,P527426.4.1,bēl[owner]N,[EN,bēl,bēlu,owner,N,['𒂗'],𒂗,[EN],['missing'],1.0,,P527426,4,1,seal identification
499,P527426.4.2,issi[woman]N,MI₂,issi,issu,woman,N,['𒊩'],𒊩,[MI₂],['missing'],1.0,,P527426,4,2,seal identification
500,P527426.4.3,tadāni[giving]'N,SUM-ni],tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,[SUM-ni],"['missing', 'missing']",1.0,,P527426,4,3,seal identification
501,P527426.5.1,+x[]PN$,{[f}x].MEŠ-[x-x,x,x,1,PN,"['𒊩', 'X', '𒈨𒌍', 'X', 'X']",𒊩X𒈨𒌍XX,{[f]}[x].MEŠ-[x-x],"['missing', 'missing', 'complete', 'missing', 'missing']",0.8,PN,P527426,5,1,object sold
502,P527426.5.2,amassu[female slave]N,GEME₂-su],amassu,amtu,female slave,N,"['𒊩𒆳', '𒋢']",𒊩𒆳𒋢,[GEME₂-su],"['missing', 'missing']",1.0,,P527426,5,2,object sold
503,P527426.6.1,ša[of]DET,⸢ša⸣,ša,ša,of,DET,['𒊭'],𒊭,⸢ša⸣,['damaged'],0.5,,P527426,6,1,object sold
504,P527426.6.2,x[1]PN,{m}[...],x,x,1,PN,"['𒁹', 'x']",𒁹x,{m}[x],"['complete', 'missing']",0.5,PN,P527426,6,2,object sold
505,P527426.7.1,uppišma[contract]V,u₂-⸢piš⸣-[ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-⸢piš⸣-[ma],"['complete', 'damaged', 'missing']",0.5,,P527426,7,1,initiation of transaction
506,P527426.7.2,Adad-milki-ilaʾi[1]PN,{m}10-mil-ki-DINGIR-a.a],Adad-milki-ilaʾi,Adad-milki-ilaʾi,1,PN,"['𒁹', '𒌋', '𒅖', '𒆠', '𒀭', '𒀀', '𒀀']",𒁹𒌋𒅖𒆠𒀭𒀀𒀀,{[m]}[10-mil-ki-DINGIR-a].[a],"['missing', 'missing', 'missing', 'missing', 'missing', 'missing', 'missing']",1.0,PN,P527426,7,2,initiation of transaction
507,P527426.8.1,u,{lu₂}ma-[...],,,,u,"['𒇽', '𒈠', 'x']",𒇽𒈠x,{LU₂}ma-[x],"['complete', 'complete', 'missing']",0.33,,P527426,8,1,initiation of transaction
508,P527426.9.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,P527426,9,1,price
509,P527426.9.2,libbi[interior]N,ŠA₃,libbi,libbu,interior,N,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,P527426,9,2,price
510,P527426.9.3,n,x,,,,n,['X'],X,x,['complete'],0.0,NUMBER,P527426,9,3,price
511,P527426.9.4,šiqil[a unit of weight]N,[GIN₂,šiqil,šiqlu,a unit of weight,N,['𒂆'],𒂆,[GIN₂],['missing'],1.0,,P527426,9,4,price
512,P527426.9.5,ṣarpi[silver]N,KUG.UD],ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,[KUG].[UD],"['missing', 'missing']",1.0,,P527426,9,5,price
