Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
3744,X214103.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{⸢na₄⸣}KIŠIB,,,,,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{⸢NA₄⸣}KIŠIB,"['damaged', 'complete']",0.25,,X214103,2,1,seal identification
3745,X214103.2.2,%akk-x-neoass:{m}nu-ri-i=,{m}⸢nu⸣-[ri-i],,,,,"['𒁹', '𒉡', '𒊑', '𒄿']",𒁹𒉡𒊑𒄿,{m}⸢nu⸣-[ri-i],"['complete', 'damaged', 'missing', 'missing']",0.62,,X214103,2,2,seal identification
3746,X214103.3.1,%akk-x-neoass:A=,A,,,,,['𒀀'],𒀀,A,['complete'],0.0,,X214103,3,1,seal identification
3747,X214103.3.2,%akk-x-neoass:{m}{d}x=,{m}{d}[x,,,,,"['𒁹', '𒀭', 'X']",𒁹𒀭X,{m}{d}[x],"['complete', 'complete', 'missing']",0.33,,X214103,3,2,seal identification
3748,X214103.3.3,%akk-x-neoass:x=,x,,,,,['X'],X,[x],['missing'],1.0,,X214103,3,3,seal identification
3749,X214103.3.4,%akk-x-neoass:x=,x],,,,,['X'],X,[x],['missing'],1.0,,X214103,3,4,seal identification
3750,X214103.4.1,%akk-x-neoass:TA=,TA,,,,,['𒋫'],𒋫,TA,['complete'],0.0,,X214103,4,1,seal identification
3751,X214103.4.2,%akk-x-neoass:ŠA₃=,ŠA₃,,,,,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,X214103,4,2,seal identification
3752,X214103.4.3,%akk-x-neoass:{URU}x+x=,{uru}x+[x,,,,,"['𒌷', 'X', 'X']",𒌷XX,{URU}x+[x],"['complete', 'complete', 'missing']",0.33,,X214103,4,3,seal identification
3753,X214103.4.4,%akk-x-neoass:x=,x,,,,,['X'],X,[x],['missing'],1.0,,X214103,4,4,seal identification
3754,X214103.4.5,%akk-x-neoass:x=,x],,,,,['X'],X,[x],['missing'],1.0,,X214103,4,5,seal identification
3755,X214103.5.1,%akk-x-neoass:EN=,EN,,,,,['𒂗'],𒂗,EN,['complete'],0.0,,X214103,5,1,seal identification
3756,X214103.5.2,%akk-x-neoass:ARAD=,ARAD,,,,,['𒀴'],𒀴,ARAD,['complete'],0.0,,X214103,5,2,seal identification
3757,X214103.5.3,%akk-x-neoass:SUM-ni=,⸢SUM⸣-[ni],,,,,"['𒋧', '𒉌']",𒋧𒉌,⸢SUM⸣-[ni],"['damaged', 'missing']",0.75,,X214103,5,3,seal identification
3758,X214103.9.1,%akk-x-neoass:{m}ia-PAB.MEŠ-u-ni=,{m}ia-PAB.MEŠ-u-⸢ni⸣,,,,,"['𒁹', '𒅀', '𒉽', '𒈨𒌍', '𒌋', '𒉌']",𒁹𒅀𒉽𒈨𒌍𒌋𒉌,{m}ia-PAB.MEŠ-u-⸢ni⸣,"['complete', 'complete', 'complete', 'complete', 'complete', 'damaged']",0.08,,X214103,9,1,object sold
3759,X214103.9.2,%akk-x-neoass:ARAD=,[ARAD],,,,,['𒀴'],𒀴,[ARAD],['missing'],1.0,,X214103,9,2,object sold
3760,X214103.10.1,%akk-x-neoass:ša=,ša,,,,,['𒊭'],𒊭,ša,['complete'],0.0,,X214103,10,1,object sold
3761,X214103.10.2,%akk-x-neoass:{m}nu-ri-i=,{m}nu-ri-⸢i⸣,,,,,"['𒁹', '𒉡', '𒊑', '𒄿']",𒁹𒉡𒊑𒄿,{m}nu-ri-⸢i⸣,"['complete', 'complete', 'complete', 'damaged']",0.12,,X214103,10,2,object sold
3762,X214103.11.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,,,,,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,X214103,11,1,initiation of transaction
3763,X214103.11.2,%akk-x-neoass:{m}DINGIR-ma-na-ni=,{m}DINGIR-⸢ma⸣-[na-ni],,,,,"['𒁹', '𒀭', '𒈠', '𒈾', '𒉌']",𒁹𒀭𒈠𒈾𒉌,{m}DINGIR-⸢ma⸣-[na-ni],"['complete', 'complete', 'damaged', 'missing', 'missing']",0.5,,X214103,11,2,initiation of transaction
3764,X214103.12.1,%akk-x-neoass:ina=,ina,,,,,['𒀸'],𒀸,ina,['complete'],0.0,,X214103,12,1,price
3765,X214103.12.2,%akk-x-neoass:ŠA₃-bi=,ŠA₃-bi,,,,,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,,X214103,12,2,price
3766,X214103.12.3,%akk-x-neoass:01=,01,,,,,['01'],01,01,['complete'],0.0,,X214103,12,3,price
3767,X214103.12.4,%akk-x-neoass:MA.NA=,MA.NA,,,,,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,X214103,12,4,price
3768,X214103.12.5,%akk-x-neoass:KU₃.UD=,[KU₃.UD],,,,,"['𒆬', '𒌓']",𒆬𒌓,[KU₃].[UD],"['missing', 'missing']",1.0,,X214103,12,5,price
3769,X214103.13.1,%akk-x-neoass:il-qi=,il-qi,,,,,"['𒅋', '𒆥']",𒅋𒆥,il-qi,"['complete', 'complete']",0.0,,X214103,13,1,completion of transaction
3770,X214103.13.2,%akk-x-neoass:kas-pi=,kas-⸢pi⸣,,,,,"['𒆜', '𒉿']",𒆜𒉿,kas-⸢pi⸣,"['complete', 'damaged']",0.25,,X214103,13,2,confirmation of transfer 1
3771,X214103.13.3,%akk-x-neoass:gam-mur=,[gam-mur],,,,,"['𒃵', '𒄯']",𒃵𒄯,[gam-mur],"['missing', 'missing']",1.0,,X214103,13,3,confirmation of transfer 1
3772,X214103.14.1,%akk-x-neoass:ta-ad-din=,ta-ad-din,,,,,"['𒋫', '𒀜', '𒁷']",𒋫𒀜𒁷,ta-ad-din,"['complete', 'complete', 'complete']",0.0,,X214103,14,1,confirmation of transfer 1
3773,X214103.14.2,%akk-x-neoass:ARAD=,ARAD,,,,,['𒀴'],𒀴,ARAD,['complete'],0.0,,X214103,14,2,confirmation of transfer 2
3774,X214103.14.3,%akk-x-neoass:šu-a-tu₂=,[šu-a-tu₂],,,,,"['𒋗', '𒀀', '𒌓']",𒋗𒀀𒌓,[šu-a-tu₂],"['missing', 'missing', 'missing']",1.0,,X214103,14,3,confirmation of transfer 2
3775,X214103.15.1,%akk-x-neoass:za-rip=,za-rip,,,,,"['𒍝', '𒆗']",𒍝𒆗,za-rip,"['complete', 'complete']",0.0,,X214103,15,1,confirmation of transfer 2
3776,X214103.15.2,%akk-x-neoass:la-a-qi=,la-a-⸢qi⸣,,,,,"['𒆷', '𒀀', '𒆥']",𒆷𒀀𒆥,la-a-⸢qi⸣,"['complete', 'complete', 'damaged']",0.17,,X214103,15,2,confirmation of transfer 2
3777,X214103.15.3,%akk-x-neoass:tu-a-ru=,[tu-a-ru],,,,,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,[tu-a-ru],"['missing', 'missing', 'missing']",1.0,,X214103,15,3,exclusion of litigation
3778,X214103.16.1,%akk-x-neoass:de-ni=,de-ni,,,,,"['𒁲', '𒉌']",𒁲𒉌,de-ni,"['complete', 'complete']",0.0,,X214103,16,1,exclusion of litigation
3779,X214103.16.2,%akk-x-neoass:DUG₄.DUG₄=,DUG₄.⸢DUG₄⸣,,,,,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.⸢DUG₄⸣,"['complete', 'damaged']",0.25,,X214103,16,2,exclusion of litigation
3780,X214103.16.3,%akk-x-neoass:la-aš₂-šu₂=,[la-aš₂-šu₂],,,,,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,[la-aš₂-šu₂],"['missing', 'missing', 'missing']",1.0,,X214103,16,3,exclusion of litigation
3781,X214103.17.1,%akk-x-neoass:man-nu=,man-nu,,,,,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,,X214103,17,1,penalties for litigation: contravention
3782,X214103.17.2,%akk-x-neoass:ša=,ša,,,,,['𒊭'],𒊭,ša,['complete'],0.0,,X214103,17,2,penalties for litigation: contravention
3783,X214103.17.3,%akk-x-neoass:ina=,ina,,,,,['𒀸'],𒀸,ina,['complete'],0.0,,X214103,17,3,penalties for litigation: contravention
3784,X214103.17.4,%akk-x-neoass:ur-kiš=,[ur-kiš,,,,,"['𒌨', '𒆧']",𒌨𒆧,[ur-kiš],"['missing', 'missing']",1.0,,X214103,17,4,penalties for litigation: contravention
3785,X214103.17.5,%akk-x-neoass:ina=,ina,,,,,['𒀸'],𒀸,[ina],['missing'],1.0,,X214103,17,5,penalties for litigation: contravention
3786,X214103.17.6,%akk-x-neoass:ma-te-e-ma=,ma-te-e-ma],,,,,"['𒈠', '𒋼', '𒂊', '𒈠']",𒈠𒋼𒂊𒈠,[ma-te-e-ma],"['missing', 'missing', 'missing', 'missing']",1.0,,X214103,17,6,penalties for litigation: contravention
3787,X214103.19.1,%akk-x-neoass:GIL.MEŠ-u-ni=,⸢GIL⸣.MEŠ-u-[ni,,,,,"['𒄃', '𒈨𒌍', '𒌋', '𒉌']",𒄃𒈨𒌍𒌋𒉌,⸢GIL⸣.MEŠ-u-[ni],"['damaged', 'complete', 'complete', 'missing']",0.38,,X214103,19,1,penalties for litigation: contravention
3788,X214103.19.2,%akk-x-neoass:lu-u=,lu-u,,,,,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,,X214103,19,2,penalties for litigation: contravention
3789,X214103.19.3,%akk-x-neoass:{m}nu-ri-i=,{m}nu-ri-i],,,,,"['𒁹', '𒉡', '𒊑', '𒄿']",𒁹𒉡𒊑𒄿,{[m]}[nu-ri-i],"['missing', 'missing', 'missing', 'missing']",1.0,,X214103,19,3,penalties for litigation: contravention
3790,X214103.20.1,%akk-x-neoass:lu-u=,lu-u,,,,,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,X214103,20,1,penalties for litigation: contravention
3791,X214103.20.2,%akk-x-neoass:DUMU.MEŠ-šu₂=,⸢DUMU⸣.[MEŠ-šu₂,,,,,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,⸢DUMU⸣.[MEŠ-šu₂],"['damaged', 'missing', 'missing']",0.83,,X214103,20,2,penalties for litigation: contravention
3792,X214103.20.3,%akk-x-neoass:lu-u=,lu-u],,,,,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,,X214103,20,3,penalties for litigation: contravention
3793,X214103.21.1,%akk-x-neoass:DUMU=,DUMU,,,,,['𒌉'],𒌉,DUMU,['complete'],0.0,,X214103,21,1,penalties for litigation: contravention
3794,X214103.21.2,%akk-x-neoass:DUMU.MEŠ-šu₂=,⸢DUMU⸣.[MEŠ-šu₂,,,,,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,⸢DUMU⸣.[MEŠ-šu₂],"['damaged', 'missing', 'missing']",0.83,,X214103,21,2,penalties for litigation: contravention
3795,X214103.21.3,%akk-x-neoass:ša=,ša,,,,,['𒊭'],𒊭,[ša],['missing'],1.0,,X214103,21,3,penalties for litigation: contravention
3796,X214103.21.4,%akk-x-neoass:de-nu=,de-nu],,,,,"['𒁲', '𒉡']",𒁲𒉡,[de-nu],"['missing', 'missing']",1.0,,X214103,21,4,penalties for litigation: contravention
3797,X214103.22.1,%akk-x-neoass:DUG₄.DUG₄=,DUG₄.DUG₄,,,,,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,,X214103,22,1,penalties for litigation: contravention
3798,X214103.22.2,%akk-x-neoass:TA=,TA,,,,,['𒋫'],𒋫,TA,['complete'],0.0,,X214103,22,2,penalties for litigation: contravention
3799,X214103.22.3,%akk-x-neoass:{m}DINGIR-ma-na-ni=,{[m}DINGIR-ma-na-ni],,,,,"['𒁹', '𒀭', '𒈠', '𒈾', '𒉌']",𒁹𒀭𒈠𒈾𒉌,{[m]}[DINGIR-ma-na-ni],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,,X214103,22,3,penalties for litigation: contravention
3800,X214103.24.1,%akk-x-neoass:u₃=,u₃,,,,,['𒅇'],𒅇,u₃,['complete'],0.0,,X214103,24,1,penalties for litigation: contravention
3801,X214103.24.2,%akk-x-neoass:DUMU.MEŠ-šu₂=,DUMU.MEŠ-⸢šu₂⸣,,,,,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,DUMU.MEŠ-⸢šu₂⸣,"['complete', 'complete', 'damaged']",0.17,,X214103,24,2,penalties for litigation: contravention
3802,X214103.24.3,%akk-x-neoass:ub-ta-ʾu-u-ni=,[ub-ta-ʾu-u-ni],,,,,"['𒌒', '𒋫', '𒀪', '𒌋', '𒉌']",𒌒𒋫𒀪𒌋𒉌,[ub-ta-ʾu-u-ni],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,,X214103,24,3,penalties for litigation: contravention
3803,X214103.25.1,%akk-x-neoass:10=,10,,,,,['𒌋'],𒌋,10,['complete'],0.0,,X214103,25,1,penalties for litigation: penalty
3804,X214103.25.2,%akk-x-neoass:MA.NA=,MA.NA,,,,,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,X214103,25,2,penalties for litigation: penalty
3805,X214103.25.3,%akk-x-neoass:KU₃.UD=,KU₃.UD,,,,,"['𒆬', '𒌓']",𒆬𒌓,KU₃.UD,"['complete', 'complete']",0.0,,X214103,25,3,penalties for litigation: penalty
3806,X214103.25.4,%akk-x-neoass:01=,01,,,,,['01'],01,01,['complete'],0.0,,X214103,25,4,penalties for litigation: penalty
3807,X214103.25.5,%akk-x-neoass:MA.NA=,[MA.NA,,,,,"['𒈠', '𒈾']",𒈠𒈾,[MA].[NA],"['missing', 'missing']",1.0,,X214103,25,5,penalties for litigation: penalty
3808,X214103.25.6,%akk-x-neoass:KU₃.GI=,KU₃.GI],,,,,"['𒆬', '𒄀']",𒆬𒄀,[KU₃].[GI],"['missing', 'missing']",1.0,,X214103,25,6,penalties for litigation: penalty
3809,X214103.26.1,%akk-x-neoass:a-na=,a-na,,,,,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,X214103,26,1,penalties for litigation: penalty
3810,X214103.26.2,%akk-x-neoass:{d}IM=,{d}⸢IM,,,,,"['𒀭', '𒅎']",𒀭𒅎,{d}⸢IM⸣,"['complete', 'damaged']",0.25,,X214103,26,2,penalties for litigation: penalty
3811,X214103.26.3,%akk-x-neoass:SUM-an=,SUM⸣-[an,,,,,"['𒋧', '𒀭']",𒋧𒀭,⸢SUM⸣-[an],"['damaged', 'missing']",0.75,,X214103,26,3,penalties for litigation: penalty
3812,X214103.26.4,%akk-x-neoass:kas-pu=,kas-pu],,,,,"['𒆜', '𒁍']",𒆜𒁍,[kas-pu],"['missing', 'missing']",1.0,,X214103,26,4,penalties for litigation: penalty
3813,X214103.27.1,%akk-x-neoass:ina=,ina,,,,,['𒀸'],𒀸,ina,['complete'],0.0,,X214103,27,1,penalties for litigation: penalty
3814,X214103.27.2,%akk-x-neoass:10.MEŠ=,10.MEŠ,,,,,"['𒌋', '𒈨𒌍']",𒌋𒈨𒌍,10.MEŠ,"['complete', 'complete']",0.0,,X214103,27,2,penalties for litigation: penalty
3815,X214103.27.3,%akk-x-neoass:ana=,ana,,,,,['𒁹'],𒁹,ana,['complete'],0.0,,X214103,27,3,penalties for litigation: penalty
3816,X214103.27.4,%akk-x-neoass:EN-šu₂=,EN-⸢šu₂⸣,,,,,"['𒂗', '𒋙']",𒂗𒋙,EN-⸢šu₂⸣,"['complete', 'damaged']",0.25,,X214103,27,4,penalties for litigation: penalty
3817,X214103.27.5,%akk-x-neoass:u₂-ta-ra=,[u₂-ta-ra],,,,,"['𒌑', '𒋫', '𒊏']",𒌑𒋫𒊏,[u₂-ta-ra],"['missing', 'missing', 'missing']",1.0,,X214103,27,5,penalties for litigation: penalty
3818,X214103.28.1,%akk-x-neoass:ina=,[ina],,,,,['𒀸'],𒀸,[ina],['missing'],1.0,,X214103,28,1,penalties for litigation: penalty
3819,X214103.28.2,%akk-x-neoass:de-ni-šu₂=,de-ni-šu₂,,,,,"['𒁲', '𒉌', '𒋙']",𒁲𒉌𒋙,de-ni-šu₂,"['complete', 'complete', 'complete']",0.0,,X214103,28,2,penalties for litigation: penalty
3820,X214103.28.3,%akk-x-neoass:DUG₄.DUG₄-ma=,⸢DUG₄⸣.[DUG₄-ma,,,,,"['𒅗', '𒅗', '𒈠']",𒅗𒅗𒈠,⸢DUG₄⸣.[DUG₄-ma],"['damaged', 'missing', 'missing']",0.83,,X214103,28,3,penalties for litigation: penalty
3821,X214103.28.4,%akk-x-neoass:la=,la,,,,,['𒆷'],𒆷,[la],['missing'],1.0,,X214103,28,4,penalties for litigation: penalty
3822,X214103.28.5,%akk-x-neoass:i-laq-qi=,i-laq-qi],,,,,"['𒄿', '𒋃', '𒆥']",𒄿𒋃𒆥,[i-laq-qi],"['missing', 'missing', 'missing']",1.0,,X214103,28,5,penalties for litigation: penalty
3823,X214103.30.1,%akk-x-neoass:IGI=,IGI,,,,,['𒅆'],𒅆,IGI,['complete'],0.0,,X214103,30,1,witness
3824,X214103.30.2,%akk-x-neoass:{m}10-ra-hi-me=,{m}10-ra-⸢hi⸣-[me],,,,,"['𒁹', '𒌋', '𒊏', '𒄭', '𒈨']",𒁹𒌋𒊏𒄭𒈨,{m}10-ra-⸢hi⸣-[me],"['complete', 'complete', 'complete', 'damaged', 'missing']",0.3,,X214103,30,2,witness
3825,X214103.31.1,%akk-x-neoass:IGI=,IGI,,,,,['𒅆'],𒅆,IGI,['complete'],0.0,,X214103,31,1,witness
3826,X214103.31.2,%akk-x-neoass:{m}hi-ri-PAB-MEŠ=,{m}hi-ri-PAB-[MEŠ],,,,,"['𒁹', '𒄭', '𒊑', '𒉽', '𒈨𒌍']",𒁹𒄭𒊑𒉽𒈨𒌍,{m}hi-ri-PAB-[MEŠ],"['complete', 'complete', 'complete', 'complete', 'missing']",0.2,,X214103,31,2,witness
