Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
3116,P338308.2.1,kunuk[seal]N,{[na₄}KIŠIB,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,kunuk,kunukku,seal,,P338308,2,1,seal identification
3117,P338308.2.2,+Našuh-sirini[]PN$,{m}na-šuh-si-ri-ni],PN,"['𒁹', '𒈾', '𒈽', '𒋛', '𒊑', '𒉌']",𒁹𒈾𒈽𒋛𒊑𒉌,{[m]}[na-šuh-si-ri-ni],"['missing', 'missing', 'missing', 'missing', 'missing', 'missing']",1.0,Našuh-sirini,Našuh-sirini,1,PN,P338308,2,2,seal identification
3118,P338308.3.1,mār[son]N,[DUMU,N,['𒌉'],𒌉,[DUMU],['missing'],1.0,mār,māru,son,,P338308,3,1,seal identification
3119,P338308.3.2,+x-basalli[]PN$,{m}x-x]-⸢ba⸣-sal-⸢li⸣,PN,"['𒁹', 'X', 'X', '𒁀', '𒊩', '𒇷']",𒁹XX𒁀𒊩𒇷,{[m]}[x-x]-⸢ba⸣-sal-⸢li⸣,"['missing', 'missing', 'missing', 'damaged', 'complete', 'damaged']",0.67,x-basalli,x-basalli,1,PN,P338308,3,2,seal identification
3120,P338308.4.1,bēl[lord]N,[EN,N,['𒂗'],𒂗,[EN],['missing'],1.0,bēl,bēlu,lord,,P338308,4,1,seal identification
3121,P338308.4.2,amti[maid]N,GEME₂],N,['𒊩𒆳'],𒊩𒆳,[GEME₂],['missing'],1.0,amti,amtu,maid,,P338308,4,2,seal identification
3122,P338308.4.3,iddan[give]V,SUM-an,V,"['𒋧', '𒀭']",𒋧𒀭,SUM-an,"['complete', 'complete']",0.0,iddan,tadānu,give,,P338308,4,3,seal identification
3123,P338308.8.1,+x[]PN$,{[f}x-x-x-x,PN,"['𒊩', 'X', 'X', 'X', 'X']",𒊩XXXX,{[f]}[x-x-x-x],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,x,x,1,PN,P338308,8,1,object sold
3124,P338308.8.2,amatšu[maid]N,GEME₂]-šu₂,N,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,[GEME₂]-šu₂,"['missing', 'complete']",0.5,amatšu,amtu,maid,,P338308,8,2,object sold
3125,P338308.8.3,n,03,n,['0₃'],0₃,03,['complete'],0.0,,,,NUMBER,P338308,8,3,object sold
3126,P338308.8.4,rūṭu[a unit of length]N,ru-ṭu,N,"['𒊒', '𒂅']",𒊒𒂅,ru-ṭu,"['complete', 'complete']",0.0,rūṭu,rūṭu,a unit of length,,P338308,8,4,object sold
3127,P338308.9.1,ša[of]DET,⸢ša₂,DET,['𒃻'],𒃻,⸢ša₂⸣,['damaged'],0.5,ša,ša,of,,P338308,9,1,object sold
