Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
45,P522841.2.1,kūm[instead of]PRP,ku-um,,PRP,"['𒆪', '𒌝']",𒆪𒌝,ku-um,"['complete', 'complete']",0.0,kūm,kūm,instead of,P522841,2,1,seal identification
46,P522841.2.2,kunukkišunu[seal]N,{na₄}KIŠIB-šu₂-nu,,N,"['𒉌𒌓', '𒈩', '𒋙', '𒉡']",𒉌𒌓𒈩𒋙𒉡,{NA₄}KIŠIB-šu₂-nu,"['complete', 'complete', 'complete', 'complete']",0.0,kunukkišunu,kunukku,seal,P522841,2,2,seal identification
47,P522841.2.3,ṣupuršunu[fingernail]N,ṣu-pur-šu₂-nu,,N,"['𒍮', '𒁓', '𒋙', '𒉡']",𒍮𒁓𒋙𒉡,ṣu-pur-šu₂-nu,"['complete', 'complete', 'complete', 'complete']",0.0,ṣupuršunu,ṣupru,fingernail,P522841,2,3,seal identification
48,P522841.3.1,iškunu[place]V,iš-kun-nu,,V,"['𒅖', '𒆲', '𒉡']",𒅖𒆲𒉡,iš-kun-nu,"['complete', 'complete', 'complete']",0.0,iškunu,šakānu,place,P522841,3,1,seal identification
49,P522841.5.1,ṣupur[fingernail]N,ṣu-pur,,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,ṣupur,ṣupru,fingernail,P522841,5,1,seal identification
50,P522841.5.2,Aššur-eṭiranni[1]PN,{m}aš-šur-KAR-ir-a-ni,PN,PN,"['𒁹', '𒀸', '𒋩', '𒋼𒀀', '𒅕', '𒀀', '𒉌']",𒁹𒀸𒋩𒋼𒀀𒅕𒀀𒉌,{m}aš-šur-KAR-ir-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Aššur-eṭiranni,Aššur-eṭiranni,1,P522841,5,2,seal identification
51,P522841.6.1,ṣupur[fingernail]N,ṣu-pur,,N,"['𒍮', '𒁓']",𒍮𒁓,ṣu-pur,"['complete', 'complete']",0.0,ṣupur,ṣupru,fingernail,P522841,6,1,seal identification
52,P522841.6.2,+Šarru-emuranni[]PN$,{m}LUGAL-IGI.LAL-a-ni,PN,PN,"['𒁹', '𒈗', '𒅆', '𒇲', '𒀀', '𒉌']",𒁹𒈗𒅆𒇲𒀀𒉌,{m}LUGAL-IGI.LAL-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Šarru-emuranni,Šarru-emuranni,1,P522841,6,2,seal identification
53,P522841.7.1,gimru[total]N,PAB,,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,P522841,7,1,seal identification
54,P522841.7.2,n,02,NUMBER,n,['0₂'],0₂,02,['complete'],0.0,,,,P522841,7,2,seal identification
