Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
0,P522856.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522856,2,1,seal identification
1,P522856.2.2,+Kalbi-Uku[]PN$,{m}kal-bi-ku-u₂-a,Kalbi-Uku,Kalbi-Uku,1,PN,"['𒁹', '𒆗', '𒁉', '𒆪', '𒌑', '𒀀']",𒁹𒆗𒁉𒆪𒌑𒀀,{m}kal-bi-ku-u₂-a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,,P522856,2,2,seal identification
2,P522856.3.1,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522856,3,1,seal identification
3,P522856.3.2,nišē[people]N,UN-MEŠ,nišē,nišu,people,N,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,UN-MEŠ,"['complete', 'complete']",0.0,,,P522856,3,2,seal identification
4,P522856.3.3,tadāni[giving]'N,SUM-ni,tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,,,P522856,3,3,seal identification
5,P522856.7.1,+La-tenni-amassa[]PN$,{mi₂}la-te-ni-INIM-sa,La-tenni-amassa,La-tenni-amassa,1,PN,"['𒊩', '𒆷', '𒋼', '𒉌', '𒅗', '𒊓']",𒊩𒆷𒋼𒉌𒅗𒊓,{MI₂}la-te-ni-INIM-sa,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,,P522856,7,1,object sold
6,P522856.7.2,+Uruṣa[]PN$,{mi₂}u₂-ru-ṣa,Uruṣa,Uruṣa,1,PN,"['𒊩', '𒌑', '𒊒', '𒍝']",𒊩𒌑𒊒𒍝,{MI₂}u₂-ru-ṣa,"['complete', 'complete', 'complete', 'complete']",0.0,PN,,P522856,7,2,object sold
7,P522856.8.1,marʾūša[son]N,DUMU-ša₂,marʾūša,māru,son,N,"['𒌉', '𒃻']",𒌉𒃻,DUMU-ša₂,"['complete', 'complete']",0.0,,,P522856,8,1,object sold
8,P522856.8.2,gimru[total]N,PAB,gimru,gimru,total,N,['𒉽'],𒉽,PAB,['complete'],0.0,,,P522856,8,2,object sold
9,P522856.8.3,n,03,,,,n,['0₃'],0₃,03,['complete'],0.0,NUMBER,,P522856,8,3,object sold
10,P522856.8.4,nupšāti[person]N,ZI-MEŠ,nupšāti,napištu,person,N,"['𒍣', '𒈨𒌍']",𒍣𒈨𒌍,ZI-MEŠ,"['complete', 'complete']",0.0,,,P522856,8,4,object sold
11,P522856.9.1,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,P522856,9,1,object sold
