Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,lang,mask,text,line,word,annotation
529,P522553.2.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,,P522553,2,1,seal identification
530,P522553.2.2,Hišar-uarri[1]PN,{m}hi-šar-war₂,Hišar-uarri,Hišar-uarri,1,PN,"['𒁹', '𒄭', '𒊬', '𒈥']",𒁹𒄭𒊬𒈥,{m}hi-šar-war₂,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522553,2,2,seal identification
531,P522553.3.1,Sanda-uarri[1]PN,{m}sa-an-da-war₂,Sanda-uarri,Sanda-uarri,1,PN,"['𒁹', '𒊓', '𒀭', '𒁕', '𒈥']",𒁹𒊓𒀭𒁕𒈥,{m}sa-an-da-war₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522553,3,1,seal identification
532,P522553.3.2,Sin-naʾdi[1]PN,{m}{d}30-I,Sin-naʾdi,Sin-naʾdi,1,PN,"['𒁹', '𒀭', '𒌍', '𒄿']",𒁹𒀭𒌍𒄿,{m}{d}30-I,"['complete', 'complete', 'complete', 'complete']",0.0,,PN,P522553,3,2,seal identification
533,P522553.4.1,gimru[total]N,PAP,gimru,gimru,total,N,['𒉽'],𒉽,PAP,['complete'],0.0,,,P522553,4,1,seal identification
534,P522553.4.2,n,03,,,,n,['0₃'],0₃,03,['complete'],0.0,,NUMBER,P522553,4,2,seal identification
535,P522553.4.3,amēlē[man]N,LU₂.MEŠ-e,amēlē,awīlu,man,N,"['𒇽', '𒈨𒌍', '𒂊']",𒇽𒈨𒌍𒂊,LU₂.MEŠ-e,"['complete', 'complete', 'complete']",0.0,,,P522553,4,3,seal identification
536,P522553.4.4,bēl[owner]N,EN,bēl,bēlu,owner,N,['𒂗'],𒂗,EN,['complete'],0.0,,,P522553,4,4,seal identification
537,P522553.4.5,nišē[people]N,UN.MEŠ,nišē,nišu,people,N,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,UN.MEŠ,"['complete', 'complete']",0.0,,,P522553,4,5,seal identification
538,P522553.4.6,tadāni[giving]'N,SUM-ni,tadāni,tadānu,giving,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,,,P522553,4,6,seal identification
539,P522553.8.1,Issar-dannat[1]PN,{f}{d}15-dan-na-at,Issar-dannat,Issar-dannat,1,PN,"['𒊩', '𒀭', '𒌋𒐊', '𒆗', '𒈾', '𒀜']",𒊩𒀭𒌋𒐊𒆗𒈾𒀜,{f}{d}15-dan-na-at,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522553,8,1,object sold
540,P522553.9.1,Šamaš-adi-atmuti[1]PN,{f}UTU-EN-at₂-mu-ti,Šamaš-adi-atmuti,Šamaš-adi-atmuti,1,PN,"['𒊩', '𒌓', '𒂗', '𒄉', '𒈬', '𒋾']",𒊩𒌓𒂗𒄉𒈬𒋾,{f}UTU-EN-at₂-mu-ti,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522553,9,1,object sold
541,P522553.10.1,Seʾ-adari[1]PN,{f}se-e-a-da-ri,Seʾ-adari,Seʾ-adari,1,PN,"['𒊩', '𒋛', '𒂊', '𒀀', '𒁕', '𒊑']",𒊩𒋛𒂊𒀀𒁕𒊑,{f}se-e-a-da-ri,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522553,10,1,object sold
542,P522553.11.1,gimru[total]N,PAP,gimru,gimru,total,N,['𒉽'],𒉽,PAP,['complete'],0.0,,,P522553,11,1,object sold
543,P522553.11.2,n,3,,,,n,['𒐈'],𒐈,3,['complete'],0.0,,NUMBER,P522553,11,2,object sold
544,P522553.11.3,issāti[woman]N,MI₂.MEŠ,issāti,issu,woman,N,"['𒊩', '𒈨𒌍']",𒊩𒈨𒌍,MI₂.MEŠ,"['complete', 'complete']",0.0,,,P522553,11,3,object sold
545,P522553.11.4,+amtu[maid]N$amātišunu,GEME₂.MEŠ-šu₂-nu,amātišunu,amtu,maid,N,"['𒊩𒆳', '𒈨𒌍', '𒋙', '𒉡']",𒊩𒆳𒈨𒌍𒋙𒉡,GEME₂.MEŠ-šu₂-nu,"['complete', 'complete', 'complete', 'complete']",0.0,,,P522553,11,4,object sold
546,P522553.12.1,uppišma[contract]V,u₂-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,,P522553,12,1,initiation of transaction
547,P522553.12.2,Ubru-Nergal[1]PN,{m}SUHUŠ-{d}U.GUR,Ubru-Nergal,Ubru-Nergal,1,PN,"['𒁹', '𒁼', '𒀭', '𒌋', '𒄥']",𒁹𒁼𒀭𒌋𒄥,{m}SUHUŠ-{d}U.GUR,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,PN,P522553,12,2,initiation of transaction
