Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
0,P522461.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522461,2,1,,seal identification
1,P522461.2.2,%akk-x-neoass:{m}{d}ŠU₂-GAL₂-KUR=,{m}{d}ŠU₂-GAL₂-KUR,"['𒁹', '𒀭', '𒋙', '𒅅', '𒆳']",𒁹𒀭𒋙𒅅𒆳,{m}{d}ŠU₂-GAL₂-KUR,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522461,2,2,,seal identification
2,P522461.6.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522461,6,1,,seal identification
3,P522461.6.2,%akk-x-neoass:MI₂=,MI₂,['𒊩'],𒊩,MI₂,['complete'],0.0,P522461,6,2,,seal identification
4,P522461.6.3,%akk-x-neoass:SUM-ni=,SUM-ni,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,P522461,6,3,,seal identification
5,P522461.7.1,%akk-x-neoass:{MI₂}u₂-bu-uk-tu₂=,{mi₂}u₂-bu-uk-tu₂,"['𒊩', '𒌑', '𒁍', '𒊌', '𒌓']",𒊩𒌑𒁍𒊌𒌓,{MI₂}u₂-bu-uk-tu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522461,7,1,,object sold
6,P522461.8.1,%akk-x-neoass:GEME₂=,GEME₂,['𒊩𒆳'],𒊩𒆳,GEME₂,['complete'],0.0,P522461,8,1,,object sold
7,P522461.8.2,%akk-x-neoass:ša₂=,ša₂,['𒃻'],𒃻,ša₂,['complete'],0.0,P522461,8,2,,object sold
8,P522461.8.3,%akk-x-neoass:{m}{d}ŠU₂-GAL₂-KUR=,{m}{d}ŠU₂-GAL₂-KUR,"['𒁹', '𒀭', '𒋙', '𒅅', '𒆳']",𒁹𒀭𒋙𒅅𒆳,{m}{d}ŠU₂-GAL₂-KUR,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522461,8,3,,object sold
9,P522461.9.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,P522461,9,1,,initiation of transaction
10,P522461.9.2,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,P522461,9,2,,price
11,P522461.9.3,%akk-x-neoass:ŠA₃-bi=,ŠA₃-bi,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,P522461,9,3,,price
12,P522461.10.1,%akk-x-neoass:1/2=,1/2,['𒈦'],𒈦,1/2,['complete'],0.0,P522461,10,1,,price
13,P522461.10.2,%akk-x-neoass:MA.NA=,MA.NA,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,P522461,10,2,,price
14,P522461.10.3,%akk-x-neoass:KUG.UD=,KUG.UD,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,P522461,10,3,,price
15,P522461.11.1,%akk-x-neoass:a-na=,a-na,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,P522461,11,1,,completion of transaction
16,P522461.11.2,%akk-x-neoass:{m}a-ba-a=,{m}a-ba-a,"['𒁹', '𒀀', '𒁀', '𒀀']",𒁹𒀀𒁀𒀀,{m}a-ba-a,"['complete', 'complete', 'complete', 'complete']",0.0,P522461,11,2,,completion of transaction
17,P522461.12.1,%akk-x-neoass:i-ŠAM₂=,i-ŠAM₂,"['𒄿', '𒉚']",𒄿𒉚,i-ŠAM₂,"['complete', 'complete']",0.0,P522461,12,1,,completion of transaction
18,P522461.12.2,%akk-x-neoass:MI₂=,MI₂,['𒊩'],𒊩,MI₂,['complete'],0.0,P522461,12,2,,confirmation of transfer 1
19,P522461.12.3,%akk-x-neoass:za-ar₂-pat=,za-ar₂-pat,"['𒍝', '𒌒', '𒉻']",𒍝𒌒𒉻,za-ar₂-pat,"['complete', 'complete', 'complete']",0.0,P522461,12,3,,confirmation of transfer 1
20,P522461.13.1,%akk-x-neoass:la-qi-at=,la-qi-at,"['𒆷', '𒆥', '𒀜']",𒆷𒆥𒀜,la-qi-at,"['complete', 'complete', 'complete']",0.0,P522461,13,1,,confirmation of transfer 1
21,P522461.13.2,%akk-x-neoass:tu-a-ru=,tu-a-ru,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,P522461,13,2,,exclusion of litigation
22,P522461.14.1,%akk-x-neoass:de-nu=,de-nu,"['𒁲', '𒉡']",𒁲𒉡,de-nu,"['complete', 'complete']",0.0,P522461,14,1,,exclusion of litigation
23,P522461.14.2,%akk-x-neoass:DUG₄.DUG₄=,DUG₄.DUG₄,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,P522461,14,2,,exclusion of litigation
24,P522461.14.3,%akk-x-neoass:la-a-šu₂=,la-a-šu₂,"['𒆷', '𒀀', '𒋙']",𒆷𒀀𒋙,la-a-šu₂,"['complete', 'complete', 'complete']",0.0,P522461,14,3,,exclusion of litigation
25,P522461.15.1,%akk-x-neoass:man-nu=,man-nu,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,P522461,15,1,,penalties for litigation: contravention
26,P522461.15.2,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,P522461,15,2,,penalties for litigation: contravention
27,P522461.15.3,%akk-x-neoass:GIL=,GIL,['𒄃'],𒄃,GIL,['complete'],0.0,P522461,15,3,,penalties for litigation: contravention
28,P522461.17.1,%akk-x-neoass:10=,10,['𒌋'],𒌋,10,['complete'],0.0,P522461,17,1,,penalties for litigation: penalty
29,P522461.17.2,%akk-x-neoass:MA.NA=,MA.NA,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,P522461,17,2,,penalties for litigation: penalty
30,P522461.17.3,%akk-x-neoass:KUG.UD=,KUG.UD,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,P522461,17,3,,penalties for litigation: penalty
31,P522461.18.1,%akk-x-neoass:SUM-an=,SUM-an,"['𒋧', '𒀭']",𒋧𒀭,SUM-an,"['complete', 'complete']",0.0,P522461,18,1,,penalties for litigation: penalty
32,P522461.20.1,%akk-x-neoass:{ITI}AB=,{iti}AB,"['𒌗', '𒀊']",𒌗𒀊,{ITI}AB,"['complete', 'complete']",0.0,P522461,20,1,,date
33,P522461.20.2,%akk-x-neoass:UD-28-KAM₂=,UD-28-KAM₂,"['𒌓', '𒌋𒌋𒐍', '𒆚']",𒌓𒌋𒌋𒐍𒆚,UD-28-KAM₂,"['complete', 'complete', 'complete']",0.0,P522461,20,2,,date
