Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
4599,P335184.2.1,{na₄}KIŠIB,kunuk[seal]N,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,,P335184,2,1,seal identification
4600,P335184.2.2,{1}se—na-tan,Seʾ-natan[1]PN$,PN,PN,"['𒁹', '𒋛', '𒈾', '𒆗']",𒁹𒋛𒈾𒆗,{1}se-na-tan,"['complete', 'complete', 'complete', 'complete']",0.0,Seʾ-natan,Seʾ-natan,1,,P335184,2,2,seal identification
4601,P335184.3.1,EN,bēl[owner]N,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,,P335184,3,1,seal identification
4602,P335184.3.2,UN-MEŠ,nišē[people]N,,N,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,UN-MEŠ,"['complete', 'complete']",0.0,nišē,nišu,people,,P335184,3,2,seal identification
4603,P335184.3.3,SUM-ni,tadāni[giving]'N,,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,tadāni,tadānu,giving,,P335184,3,3,seal identification
4604,P335184.7.1,{1}di-na-na,Dinana[1]PN$,PN,PN,"['𒁹', '𒁲', '𒈾', '𒈾']",𒁹𒁲𒈾𒈾,{1}di-na-na,"['complete', 'complete', 'complete', 'complete']",0.0,Dinana,Dinana,1,,P335184,7,1,object sold
4605,P335184.7.2,{mi₂}ga-bi-a,Gabiya[1]PN$,PN,PN,"['𒊩', '𒂵', '𒁉', '𒀀']",𒊩𒂵𒁉𒀀,{MI₂}ga-bi-a,"['complete', 'complete', 'complete', 'complete']",0.0,Gabiya,Gabiya,1,,P335184,7,2,object sold
4606,P335184.7.3,MI₂-šu₂,issušu[woman]N,,N,"['𒊩', '𒋙']",𒊩𒋙,MI₂-šu₂,"['complete', 'complete']",0.0,issušu,sinništu,woman,,P335184,7,3,object sold
4607,P335184.8.1,PAB,gimru[total]N,,N,['𒉽'],𒉽,PAB,['complete'],0.0,gimru,gimru,total,,P335184,8,1,object sold
4608,P335184.8.2,02,n,NUMBER,n,['𒈫'],𒈫,02,['complete'],0.0,,,,,P335184,8,2,object sold
4609,P335184.8.3,ZI,nupšāti[person]N,,N,['𒍣'],𒍣,ZI,['complete'],0.0,nupšāti,napištu,person,,P335184,8,3,object sold
4610,P335184.8.4,{lu₂}ARAD-MEŠ,urdāni[servant]N,,N,"['𒇽', '𒀴', '𒈨𒌍']",𒇽𒀴𒈨𒌍,{LU₂}ARAD-MEŠ,"['complete', 'complete', 'complete']",0.0,urdāni,ardu,servant,,P335184,8,4,object sold
4611,P335184.8.5,ša,ša[of]DET,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,P335184,8,5,object sold
4612,P335184.8.6,{1}se—na-tan,Seʾ-natan[1]PN$,PN,PN,"['𒁹', '𒋛', '𒈾', '𒆗']",𒁹𒋛𒈾𒆗,{1}se-na-tan,"['complete', 'complete', 'complete', 'complete']",0.0,Seʾ-natan,Seʾ-natan,1,,P335184,8,6,object sold
4613,P335184.9.1,u₂-piš-ma,uppišma[contract]V,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,,P335184,9,1,initiation of transaction
