Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
20676,P335207.3.1,[PAB,gimru[total]N,N,['𒉽'],𒉽,[PAB],['missing'],1.0,gimru,gimru,total,,,P335207,3,1,object sold
20677,P335207.3.2,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335207,3,2,object sold
20678,P335207.3.3,{lu₂}ZI-MEŠ,nupšāti[person]N,N,"['𒇽', '𒍣', '𒈨𒌍']",𒇽𒍣𒈨𒌍,{LU₂}ZI-MEŠ,"['complete', 'complete', 'complete']",0.0,nupšāti,napištu,person,,,P335207,3,3,object sold
20679,P335207.3.4,[ARAD-MEŠ-šu₂],urdānīšu[servant]N,N,"['𒀴', '𒈨𒌍', '𒋙']",𒀴𒈨𒌍𒋙,[ARAD-MEŠ-šu₂],"['missing', 'missing', 'missing']",1.0,urdānīšu,ardu,servant,,,P335207,3,4,object sold
20680,P335207.4.1,[ša,ša[of]DET,DET,['𒊭'],𒊭,[ša],['missing'],1.0,ša,ša,of,,,P335207,4,1,object sold
20681,P335207.4.2,{1}⸢ar⸣-ba-a.a,Arbaya[1]PN,PN,"['𒁹', '𒅈', '𒁀', '𒀀', '𒀀']",𒁹𒅈𒁀𒀀𒀀,{[1]}⸢ar⸣-ba-a.a,"['missing', 'damaged', 'complete', 'complete', 'complete']",0.3,Arbaya,Arbayu,1,PN,,P335207,4,2,object sold
20682,P335207.5.1,[u₂-piš]-⸢ma⸣,uppišma[contract]V,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš]-⸢ma⸣,"['missing', 'missing', 'damaged']",0.83,uppišma,epēšu,contract,,,P335207,5,1,initiation of transaction
20683,P335207.5.2,{1}NINA{ki}a.a,Ninuaya[1]PN,PN,"['𒁹', '𒀏', '𒆠', '𒀀', '𒀀']",𒁹𒀏𒆠𒀀𒀀,{1}NINA{KI}a.a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Ninuaya,Ninuayu,1,PN,,P335207,5,2,initiation of transaction
20684,P335207.5.3,{lu₂}SAG—MAN,ša-rēš-šarri[royal eunuch]N,N,"['𒇽', '𒊕', '𒌋𒌋']",𒇽𒊕𒌋𒌋,{LU₂}SAG-MAN,"['complete', 'complete', 'complete']",0.0,ša-rēš-šarri,ša-rēš-šarri,royal eunuch,,,P335207,5,3,initiation of transaction
20685,P335207.6.1,[ina,ina[in+=for]PRP,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,,P335207,6,1,price
20686,P335207.6.2,ŠA₃,libbi[interior]N,N,['𒊮'],𒊮,[ŠA₃],['missing'],1.0,libbi,libbu,interior,,,P335207,6,2,price
20687,P335207.6.3,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335207,6,3,price
20688,P335207.6.4,MA.NA,manê[a unit of weight]N,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,manê,manû,a unit of weight,,,P335207,6,4,price
20689,P335207.6.5,KUG.UD,ṣarpi[silver]N,N,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,ṣarpi,ṣarpu,silver,,,P335207,6,5,price
20690,P335207.6.6,ina,ina[by]PRP,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,by,,,P335207,6,6,price
20691,P335207.6.7,ma-ne₂-e,manê[a unit of weight]N,N,"['𒈠', '𒉌', '𒂊']",𒈠𒉌𒂊,ma-ne₂-e,"['complete', 'complete', 'complete']",0.0,manê,manû,a unit of weight,,,P335207,6,7,price
20692,P335207.6.8,ša,ša[of]DET,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,,P335207,6,8,price
20693,P335207.6.9,{kur}gar-ga-mis,Gargamis[Carchemish]GN,GN,"['𒆳', '𒃻', '𒂵', '𒈩']",𒆳𒃻𒂵𒈩,{KUR}gar-ga-mis,"['complete', 'complete', 'complete', 'complete']",0.0,Gargamis,Gargamis,Carchemish,GN,,P335207,6,9,price
20694,P335207.7.1,TA@v,issu[from+=from]PRP,PRP,['𒋬'],𒋬,TA@v,['complete'],0.0,issu,ištu,from,,,P335207,7,1,completion of transaction
20695,P335207.7.2,IGI,pān[front]N,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,front,,,P335207,7,2,completion of transaction
20696,P335207.7.3,{1}ar-ba-a.a,Arbaya[1]PN,PN,"['𒁹', '𒅈', '𒁀', '𒀀', '𒀀']",𒁹𒅈𒁀𒀀𒀀,{1}ar-ba-a.a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Arbaya,Arbayu,1,PN,,P335207,7,3,completion of transaction
20697,P335207.7.4,il-qi₂,ilqi[purchase]V,V,"['𒅋', '𒆠']",𒅋𒆠,il-qi₂,"['complete', 'complete']",0.0,ilqi,leqû,purchase,,,P335207,7,4,completion of transaction
20698,P335207.8.1,kas-pu,kaspu[money]N,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,,,P335207,8,1,confirmation of transfer 1
20699,P335207.8.2,ga-mur,gammur[completed]AJ,AJ,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,gammur,gammuru,completed,,,P335207,8,2,confirmation of transfer 1
20700,P335207.8.3,ta-din,tadin[paid]AJ,AJ,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,tadin,tadnu,paid,,,P335207,8,3,confirmation of transfer 1
20701,P335207.8.4,UN-MEŠ,nišē[people]N,N,"['𒌦', '𒈨𒌍']",𒌦𒈨𒌍,UN-MEŠ,"['complete', 'complete']",0.0,nišē,nišu,people,,,P335207,8,4,confirmation of transfer 2
20702,P335207.9.1,šu-a-te,šuāte[that]'DP,IP,"['𒋗', '𒀀', '𒋼']",𒋗𒀀𒋼,šu-a-te,"['complete', 'complete', 'complete']",0.0,šuāte,šuāti,that,,,P335207,9,1,confirmation of transfer 2
20703,P335207.9.2,za-ar-pu,zarpu[purchased]AJ,AJ,"['𒍝', '𒅈', '𒁍']",𒍝𒅈𒁍,za-ar-pu,"['complete', 'complete', 'complete']",0.0,zarpu,zarpu,purchased,,,P335207,9,2,confirmation of transfer 2
20704,P335207.9.3,laq-[qi]-u₂,laqqiu[acquired]AJ,AJ,"['𒋃', '𒆥', '𒌑']",𒋃𒆥𒌑,laq-[qi]-u₂,"['complete', 'missing', 'complete']",0.33,laqqiu,leqû,acquired,,,P335207,9,3,confirmation of transfer 2
20705,P335207.10.1,tu-a-ru,tuāru[revocation]'N,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,tuāru,târu,revocation,,,P335207,10,1,exclusion of litigation
20706,P335207.10.2,de-e-nu,dēnu[lawsuit]N,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,dēnu,dīnu,lawsuit,,,P335207,10,2,exclusion of litigation
20707,P335207.10.3,da-[ba-a]-bu,dabābu[speak//litigation]V'N$,V,"['𒁕', '𒁀', '𒀀', '𒁍']",𒁕𒁀𒀀𒁍,da-[ba-a]-bu,"['complete', 'missing', 'missing', 'complete']",0.5,dabābu,dabābu,litigation,,,P335207,10,3,exclusion of litigation
20708,P335207.11.1,la-aš₂-šu₂,laššu[(there) is not]V,V,"['𒆷', '𒀾', '𒋙']",𒆷𒀾𒋙,la-aš₂-šu₂,"['complete', 'complete', 'complete']",0.0,laššu,laššu,(there) is not,,,P335207,11,1,exclusion of litigation
20709,P335207.11.2,man-nu,mannu[whoever]'XP,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,mannu,mannu,whoever,,,P335207,11,2,penalties for litigation: contravention
20710,P335207.11.3,ša₂,ša[that]REL,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,ša,ša,that,,,P335207,11,3,penalties for litigation: contravention
20711,P335207.11.4,ina,ina[in+=in the future]PRP,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,,P335207,11,4,penalties for litigation: contravention
20712,P335207.11.5,⸢ur-kiš⸣,urkiš[later]AV,AV,"['𒌨', '𒆧']",𒌨𒆧,⸢ur-kiš⸣,"['damaged', 'damaged']",0.5,urkiš,urkiš,later,,,P335207,11,5,penalties for litigation: contravention
20713,P335207.12.1,u₃,u[and]CNJ,CNJ,['𒅇'],𒅇,u₃,['complete'],0.0,u,u,and,,,P335207,12,1,penalties for litigation: contravention
20714,P335207.12.2,ma-te-ma,matēma[ever]AV,AV,"['𒈠', '𒋼', '𒈠']",𒈠𒋼𒈠,ma-te-ma,"['complete', 'complete', 'complete']",0.0,matēma,matīma,ever,,,P335207,12,2,penalties for litigation: contravention
20715,P335207.12.3,i-za-⸢qu⸣-[pa]-a-ni,izaqqupāni[complain]V,V,"['𒄿', '𒍝', '𒄣', '𒉺', '𒀀', '𒉌']",𒄿𒍝𒄣𒉺𒀀𒉌,i-za-⸢qu⸣-[pa]-a-ni,"['complete', 'complete', 'damaged', 'missing', 'complete', 'complete']",0.25,izaqqupāni,zaqāpu,complain,,,P335207,12,3,penalties for litigation: contravention
20716,P335207.13.1,i-GIL-u₂-ni,iparrakūni[contravene]V,V,"['𒄿', '𒄃', '𒌑', '𒉌']",𒄿𒄃𒌑𒉌,i-GIL-u₂-ni,"['complete', 'complete', 'complete', 'complete']",0.0,iparrakūni,parāku,contravene,,,P335207,13,1,penalties for litigation: contravention
20717,P335207.13.2,lu-u,lū[may]MOD,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,may,,,P335207,13,2,penalties for litigation: contravention
