Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
9368,P528342.2.1,X,{[na₄}KIŠIB],X,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,,,,P528342,2,1,seal identification
9369,P528342.2.2,X,{m}{iti}AB-a.a,X,"['𒁹', '𒌗', '𒀊', '𒀀', '𒀀']",𒁹𒌗𒀊𒀀𒀀,{m}{ITI}AB-a.a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,,,P528342,2,2,seal identification
9370,P528342.3.1,Bel[1]DN,[EN],DN,['𒂗'],𒂗,[EN],['missing'],1.0,Bel,Bel,1.0,DN,P528342,3,1,seal identification
9371,P528342.3.2,X,⸢GEME₂⸣,X,['𒊩𒆳'],𒊩𒆳,⸢GEME₂⸣,['damaged'],0.5,,,,,P528342,3,2,seal identification
9372,P528342.3.3,X,SUM-[ni],X,"['𒋧', '𒉌']",𒋧𒉌,SUM-[ni],"['complete', 'missing']",0.5,,,,,P528342,3,3,seal identification
9373,P528342.5.1,X,{[mi₂}DI]-⸢mu⸣-i-tu,X,"['𒊩', '𒁲', '𒈬', '𒄿', '𒌅']",𒊩𒁲𒈬𒄿𒌅,{[MI₂]}[DI]-⸢mu⸣-i-tu,"['missing', 'missing', 'damaged', 'complete', 'complete']",0.5,,,,,P528342,5,1,object sold
9374,P528342.5.2,X,GEME₂-šu₂,X,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,GEME₂-šu₂,"['complete', 'complete']",0.0,,,,,P528342,5,2,object sold
9375,P528342.6.1,X,[ša],X,['𒊭'],𒊭,[ša],['missing'],1.0,,,,,P528342,6,1,object sold
9376,P528342.6.2,X,{m}{iti}AB-a.a,X,"['𒁹', '𒌗', '𒀊', '𒀀', '𒀀']",𒁹𒌗𒀊𒀀𒀀,{m}{ITI}AB-a.a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,,,P528342,6,2,object sold
9377,P528342.7.1,X,[u₂-piš-ma],X,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,[u₂-piš-ma],"['missing', 'missing', 'missing']",1.0,,,,,P528342,7,1,initiation of transaction
9378,P528342.7.2,X,{m}na-nu-nu,X,"['𒁹', '𒈾', '𒉡', '𒉡']",𒁹𒈾𒉡𒉡,{m}na-nu-nu,"['complete', 'complete', 'complete', 'complete']",0.0,,,,,P528342,7,2,initiation of transaction
9379,P528342.8.1,X,[ina,X,['𒀸'],𒀸,[ina],['missing'],1.0,,,,,P528342,8,1,price
9380,P528342.8.2,X,ŠA₃-bi,X,"['𒊮', '𒁉']",𒊮𒁉,[ŠA₃-bi],"['missing', 'missing']",1.0,,,,,P528342,8,2,price
9381,P528342.8.3,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528342,8,3,price
9382,P528342.8.4,X,⸢GIN₂⸣,X,['𒂆'],𒂆,⸢GIN₂⸣,['damaged'],0.5,,,,,P528342,8,4,price
9383,P528342.8.5,X,KU₃.UD,X,"['𒆬', '𒌓']",𒆬𒌓,KU₃.UD,"['complete', 'complete']",0.0,,,,,P528342,8,5,price
9384,P528342.8.6,X,il-qi,X,"['𒅋', '𒆥']",𒅋𒆥,il-qi,"['complete', 'complete']",0.0,,,,,P528342,8,6,completion of transaction
9385,P528342.9.1,X,[kas-pu],X,"['𒆜', '𒁍']",𒆜𒁍,[kas-pu],"['missing', 'missing']",1.0,,,,,P528342,9,1,confirmation of transfer 1
9386,P528342.9.2,X,⸢gam⸣-mur,X,"['𒃵', '𒄯']",𒃵𒄯,⸢gam⸣-mur,"['damaged', 'complete']",0.25,,,,,P528342,9,2,confirmation of transfer 1
9387,P528342.9.3,X,ta-din,X,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,,,,,P528342,9,3,confirmation of transfer 1
9388,P528342.10.1,X,[MI₂,X,['𒊩'],𒊩,[MI₂],['missing'],1.0,,,,,P528342,10,1,confirmation of transfer 2
9389,P528342.10.2,X,šu-a]-tu,X,"['𒋗', '𒀀', '𒌅']",𒋗𒀀𒌅,[šu-a]-tu,"['missing', 'missing', 'complete']",0.67,,,,,P528342,10,2,confirmation of transfer 2
9390,P528342.10.3,X,za-ar₂-pat,X,"['𒍝', '𒌒', '𒉻']",𒍝𒌒𒉻,za-ar₂-pat,"['complete', 'complete', 'complete']",0.0,,,,,P528342,10,3,confirmation of transfer 2
9391,P528342.10.4,X,la-qi-at,X,"['𒆷', '𒆥', '𒀜']",𒆷𒆥𒀜,la-qi-at,"['complete', 'complete', 'complete']",0.0,,,,,P528342,10,4,confirmation of transfer 2
9392,P528342.11.1,X,tu-u-a-ru,X,"['𒌅', '𒌋', '𒀀', '𒊒']",𒌅𒌋𒀀𒊒,tu-u-a-ru,"['complete', 'complete', 'complete', 'complete']",0.0,,,,,P528342,11,1,exclusion of litigation
9393,P528342.11.2,X,de-nu,X,"['𒁲', '𒉡']",𒁲𒉡,de-nu,"['complete', 'complete']",0.0,,,,,P528342,11,2,exclusion of litigation
9394,P528342.12.1,X,da-ba-bu,X,"['𒁕', '𒁀', '𒁍']",𒁕𒁀𒁍,da-ba-bu,"['complete', 'complete', 'complete']",0.0,,,,,P528342,12,1,exclusion of litigation
9395,P528342.12.2,X,la-šu,X,"['𒆷', '𒋗']",𒆷𒋗,la-šu,"['complete', 'complete']",0.0,,,,,P528342,12,2,exclusion of litigation
9396,P528342.13.1,X,man-nu,X,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,man-nu,"['complete', 'complete']",0.0,,,,,P528342,13,1,penalties for litigation: contravention
9397,P528342.13.2,X,ša,X,['𒊭'],𒊭,ša,['complete'],0.0,,,,,P528342,13,2,penalties for litigation: contravention
9398,P528342.13.3,X,ina,X,['𒀸'],𒀸,ina,['complete'],0.0,,,,,P528342,13,3,penalties for litigation: contravention
9399,P528342.13.4,X,ur-kiš,X,"['𒌨', '𒆧']",𒌨𒆧,ur-kiš,"['complete', 'complete']",0.0,,,,,P528342,13,4,penalties for litigation: contravention
9400,P528342.14.1,X,ina,X,['𒀸'],𒀸,ina,['complete'],0.0,,,,,P528342,14,1,penalties for litigation: contravention
