Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
229,P514476.2.1,ša[who]REL,[ša₂,REL,['𒃻'],𒃻,[ša₂],['missing'],1.0,ša,ša,who,,P514476,2,1,penalties for litigation: contravention
230,P514476.2.2,dēnu[lawsuit]N,de-e]-nu,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,[de-e]-nu,"['missing', 'missing', 'complete']",0.67,dēnu,dīnu,lawsuit,,P514476,2,2,penalties for litigation: contravention
231,P514476.2.3,dabābu[litigation]'N,DUG₄.⸢DUG₄⸣,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.⸢DUG₄⸣,"['complete', 'damaged']",0.25,dabābu,dabābu,litigation,,P514476,2,3,penalties for litigation: contravention
232,P514476.3.1,issi[with]PRP,[TA],PRP,['𒋫'],𒋫,[TA],['missing'],1.0,issi,išti,with,,P514476,3,1,penalties for litigation: contravention
233,P514476.3.2,Nabu-zeru-iddina[1]PN,{m}{d}PA-NUMUN-⸢AŠ⸣,PN,"['𒁹', '𒀭', '𒉺', '𒆰', '𒀸']",𒁹𒀭𒉺𒆰𒀸,{m}{d}PA-NUMUN-⸢AŠ⸣,"['complete', 'complete', 'complete', 'complete', 'damaged']",0.1,Nabu-zeru-iddina,Nabu-zeru-iddina,1,PN,P514476,3,2,penalties for litigation: contravention
234,P514476.4.1,marʾēšu[son]N,⸢DUMU⸣.MEŠ-šu₂,N,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,⸢DUMU⸣.MEŠ-šu₂,"['damaged', 'complete', 'complete']",0.17,marʾēšu,māru,son,,P514476,4,1,penalties for litigation: contravention
235,P514476.4.2,mār[son]N&marʾēšu[son]N,DUMU-DUMU.MEŠ-šu₂,N,"['𒌉', '𒌉', '𒈨𒌍', '𒋙']",𒌉𒌉𒈨𒌍𒋙,DUMU-DUMU.MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,mār,māru,son,,P514476,4,2,penalties for litigation: contravention
237,P514476.5.1,ubtaʾʾūni[seek]V,ub-ta-ʾu-<ni>,V,"['𒌒', '𒋫', '𒀪', '𒉌']",𒌒𒋫𒀪𒉌,ub-ta-ʾu-ni,"['complete', 'complete', 'complete', 'complete']",0.0,ubtaʾʾūni,buʾʾû,seek,,P514476,5,1,penalties for litigation: contravention
238,P514476.5.2,mā[saying]PRP,ma-a,PRP,"['𒈠', '𒀀']",𒈠𒀀,ma-a,"['complete', 'complete']",0.0,mā,mā,saying,,P514476,5,2,penalties for litigation: contravention
239,P514476.5.3,marʾutu[small girl]N,MI₂.TUR,N,"['𒊩', '𒌉']",𒊩𒌉,MI₂.TUR,"['complete', 'complete']",0.0,marʾutu,mārtu,small girl,,P514476,5,3,penalties for litigation: contravention
