Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
5032,P336990.3.1,%akk-x-neoass:{MI₂}15-tu-ka-la-a-ni=,{⸢mi₂}15-tu⸣-[ka-la-a-ni,"['𒊩', '𒌋𒐊', '𒌅', '𒅗', '𒆷', '𒀀', '𒉌']",𒊩𒌋𒐊𒌅𒅗𒆷𒀀𒉌,{⸢MI₂⸣}⸢15-tu⸣-[ka-la-a-ni],"['damaged', 'damaged', 'damaged', 'missing', 'missing', 'missing', 'missing']",0.79,,P336990,3,1,,object sold
5033,P336990.3.2,%akk-x-neoass:GEME₂=,GEME₂],['𒊩𒆳'],𒊩𒆳,[GEME₂],['missing'],1.0,,P336990,3,2,,object sold
5034,P336990.4.1,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,,P336990,4,1,,object sold
5035,P336990.4.2,%akk-x-neoass:{1}da-a.a-nu-{d}ŠU₂=,{1}da-⸢a⸣.[a-nu-{d}ŠU₂],"['𒁹', '𒁕', '𒀀', '𒀀', '𒉡', '𒀭', '𒋙']",𒁹𒁕𒀀𒀀𒉡𒀭𒋙,{1}da-⸢a⸣.[a-nu]-{[d]}[ŠU₂],"['complete', 'complete', 'damaged', 'missing', 'missing', 'missing', 'missing']",0.64,,P336990,4,2,,object sold
5036,P336990.5.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,P336990,5,1,,initiation of transaction
5037,P336990.5.2,%akk-x-neoass:{1}aš-šur-DUG₄.DUG₄-ne₂-re=,{1}aš-šur-DUG₄.DUG₄-ne₂-re],"['𒁹', '𒀸', '𒋩', '𒅗', '𒅗', '𒉌', '𒊑']",𒁹𒀸𒋩𒅗𒅗𒉌𒊑,{[1]}[aš-šur-DUG₄].[DUG₄-ne₂-re],"['missing', 'missing', 'missing', 'missing', 'missing', 'missing', 'missing']",1.0,,P336990,5,2,,initiation of transaction
5038,P336990.6.1,%akk-x-neoass:ina=,⸢ina⸣,['𒀸'],𒀸,⸢ina⸣,['damaged'],0.5,,P336990,6,1,,price
5039,P336990.6.2,%akk-x-neoass:ŠA₃-bi=,ŠA₃-bi,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,,P336990,6,2,,price
5040,P336990.6.3,%akk-x-neoass:01=,01,['01'],01,01,['complete'],0.0,,P336990,6,3,,price
5041,P336990.6.4,%akk-x-neoass:MA.NA=,MA.NA,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,P336990,6,4,,price
5042,P336990.6.5,%akk-x-neoass:07=,07,['0₇'],0₇,⸢07⸣,['damaged'],0.5,,P336990,6,5,,price
5043,P336990.6.6,%akk-x-neoass:GIN₂=,[GIN₂,['𒂆'],𒂆,[GIN₂],['missing'],1.0,,P336990,6,6,,price
5044,P336990.6.7,%akk-x-neoass:KU₃.BABBAR=,KU₃.BABBAR],"['𒆬', '𒌓']",𒆬𒌓,[KU₃].[BABBAR],"['missing', 'missing']",1.0,,P336990,6,7,,price
5045,P336990.7.1,%akk-x-neoass:il-qi=,⸢il⸣-qi,"['𒅋', '𒆥']",𒅋𒆥,⸢il⸣-qi,"['damaged', 'complete']",0.25,,P336990,7,1,,completion of transaction
5046,P336990.7.2,%akk-x-neoass:kas-pu=,kas-pu,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,,P336990,7,2,,confirmation of transfer 1
5047,P336990.7.3,%akk-x-neoass:gam-mur=,gam-mur,"['𒃵', '𒄯']",𒃵𒄯,gam-mur,"['complete', 'complete']",0.0,,P336990,7,3,,confirmation of transfer 1
5048,P336990.7.4,%akk-x-neoass:ta-din=,[ta-din],"['𒋫', '𒁷']",𒋫𒁷,[ta-din],"['missing', 'missing']",1.0,,P336990,7,4,,confirmation of transfer 1
5049,P336990.8.1,%akk-x-neoass:GEME₂=,⸢GEME₂⸣,['𒊩𒆳'],𒊩𒆳,⸢GEME₂⸣,['damaged'],0.5,,P336990,8,1,,confirmation of transfer 2
5050,P336990.8.2,%akk-x-neoass:šu-a-te=,šu-a-te,"['𒋗', '𒀀', '𒋼']",𒋗𒀀𒋼,šu-a-te,"['complete', 'complete', 'complete']",0.0,,P336990,8,2,,confirmation of transfer 2
