Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
3697,P514279.2.1,kunuk[seal]N,{⸢na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{⸢NA₄⸣}⸢KIŠIB⸣,"['damaged', 'damaged']",0.5,,P514279,2,1,seal identification
3698,P514279.2.2,Ubri[1]PN,{m⸣}SUHUŠ-i,Ubri,Ubri,1,PN,"['𒁹', '𒁼', '𒄿']",𒁹𒁼𒄿,{⸢m⸣}SUHUŠ-i,"['damaged', 'complete', 'complete']",0.17,PN,P514279,2,2,seal identification
3699,P514279.3.1,kunuk[seal]N,{na₄}KIŠIB,kunuk,kunukku,seal,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,,P514279,3,1,seal identification
3700,P514279.3.2,Šep-šarri[]PN$,{m}GIR₃.2-LUGAL,Šep-šarri,Šep-šarri,1,PN,"['𒁹', '𒄊', '𒈫', '𒈗']",𒁹𒄊𒈫𒈗,{m}GIR₃.2-LUGAL,"['complete', 'complete', 'complete', 'complete']",0.0,PN,P514279,3,2,seal identification
3701,P514279.3.3,ahu[brother]N$ahīšu,ŠEŠ-šu₂,ahīšu,ahu,brother,N,"['𒋀', '𒋙']",𒋀𒋙,ŠEŠ-šu₂,"['complete', 'complete']",0.0,,P514279,3,3,seal identification
3702,P514279.4.1,bēl[lord]N,EN,bēl,bēlu,lord,N,['𒂗'],𒂗,EN,['complete'],0.0,,P514279,4,1,seal identification
3703,P514279.4.2,issi[woman]N,MUNUS,issi,sinništu,woman,N,['𒊩'],𒊩,MUNUS,['complete'],0.0,,P514279,4,2,seal identification
3704,P514279.4.3,tadāni[giving]'N,ta-da-a-ni,tadāni,tadānu,giving,V,"['𒋫', '𒁕', '𒀀', '𒉌']",𒋫𒁕𒀀𒉌,ta-da-a-ni,"['complete', 'complete', 'complete', 'complete']",0.0,,P514279,4,3,seal identification
3705,P514279.8.1,Banitu-belu-uṣri[]PN$,{f}{d}DU₃-tu₂-EN-PAB,Banitu-belu-uṣri,Banitu-belu-uṣri,1,PN,"['𒊩', '𒀭', '𒆕', '𒌓', '𒂗', '𒉽']",𒊩𒀭𒆕𒌓𒂗𒉽,{f}{d}DU₃-tu₂-EN-PAB,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,P514279,8,1,object sold
3706,P514279.8.2,amtu[maid//female slave]N'N$amatšunu,GEME₂-šu₂-nu,amatšunu,amtu,female slave,N,"['𒊩𒆳', '𒋙', '𒉡']",𒊩𒆳𒋙𒉡,GEME₂-šu₂-nu,"['complete', 'complete', 'complete']",0.0,,P514279,8,2,object sold
3707,P514279.9.1,uppišma[contract]V,u₂-piš-ma,uppišma,epēšu,contract,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,P514279,9,1,initiation of transaction
3708,P514279.9.2,Nabu-zeru-iddina[1]PN,{m}{d}PA-NUMUN-AŠ,Nabu-zeru-iddina,Nabu-zeru-iddina,1,PN,"['𒁹', '𒀭', '𒉺', '𒆰', '𒀸']",𒁹𒀭𒉺𒆰𒀸,{m}{d}PA-NUMUN-AŠ,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,P514279,9,2,initiation of transaction
3709,P514279.9.3,ṭupšarru[scribe]N,A.⸢BA⸣,ṭupšarru,ṭupšarru,scribe,N,"['𒀀', '𒁀']",𒀀𒁀,A.⸢BA⸣,"['complete', 'damaged']",0.25,,P514279,9,3,initiation of transaction
3710,P514279.10.1,issu[from]PRP,TA,issu,ištu,from,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,P514279,10,1,completion of transaction
3711,P514279.10.2,pānu[front]N$pān,IGI,pān,pānu,front,N,['𒅆'],𒅆,IGI,['complete'],0.0,,P514279,10,2,completion of transaction
3712,P514279.10.3,Ubri[1]PN,{m}SUHUŠ-i,Ubri,Ubri,1,PN,"['𒁹', '𒁼', '𒄿']",𒁹𒁼𒄿,{m}SUHUŠ-i,"['complete', 'complete', 'complete']",0.0,PN,P514279,10,3,completion of transaction
3713,P514279.11.1,issu[from]PRP,TA,issu,ištu,from,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,P514279,11,1,completion of transaction
3714,P514279.11.2,pānu[front]N$pān,IGI,pān,pānu,front,N,['𒅆'],𒅆,IGI,['complete'],0.0,,P514279,11,2,completion of transaction
3715,P514279.11.3,Šep-šarri[1]PN,{m}GIR₃.2-LUGAL,Šep-šarri,Šep-šarri,1,PN,"['𒁹', '𒄊', '𒈫', '𒈗']",𒁹𒄊𒈫𒈗,{m}GIR₃.2-LUGAL,"['complete', 'complete', 'complete', 'complete']",0.0,PN,P514279,11,3,completion of transaction
3716,P514279.11.4,ahu[brother]N$ahīšu,ŠEŠ-⸢šu₂⸣,ahīšu,ahu,brother,N,"['𒋀', '𒋙']",𒋀𒋙,ŠEŠ-⸢šu₂⸣,"['complete', 'damaged']",0.25,,P514279,11,4,completion of transaction
3717,P514279.12.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,P514279,12,1,price
3718,P514279.12.2,libbi[interior]N,ŠA₃-bi,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,,P514279,12,2,price
3719,P514279.12.3,n,1/2,,,,n,['𒈦'],𒈦,1/2,['complete'],0.0,NUMBER,P514279,12,3,price
3720,P514279.12.4,manā[a unit of weight]N,MA.NA,manā,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,P514279,12,4,price
3721,P514279.12.5,ṣarpi[silver]N,KU₃.BABBAR,ṣarpi,ṣarpu,silver,N,"['𒆬', '𒌓']",𒆬𒌓,KU₃.BABBAR,"['complete', 'complete']",0.0,,P514279,12,5,price
3722,P514279.13.1,ilqi[purchase]V,il-qi,ilqi,leqû,purchase,V,"['𒅋', '𒆥']",𒅋𒆥,il-qi,"['complete', 'complete']",0.0,,P514279,13,1,completion of transaction
3723,P514279.13.2,kaspu[money]N,kas-pu,kaspu,kaspu,money,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,,P514279,13,2,confirmation of transfer 1
3724,P514279.13.3,gammur[finished]AJ,ga-mur,gammur,gammuru,finished,AJ,"['𒂵', '𒄯']",𒂵𒄯,ga-mur,"['complete', 'complete']",0.0,,P514279,13,3,confirmation of transfer 1
3725,P514279.14.1,tadnu[given//paid]AJ'AJ$tadini,ta-di-ni,tadini,tadnu,paid,AJ,"['𒋫', '𒁲', '𒉌']",𒋫𒁲𒉌,ta-di-ni,"['complete', 'complete', 'complete']",0.0,,P514279,14,1,confirmation of transfer 1
3726,P514279.14.2,amtu[maid]N,GEME₂,amtu,amtu,female slave,N,['𒊩𒆳'],𒊩𒆳,GEME₂,['complete'],0.0,,P514279,14,2,confirmation of transfer 2
3727,P514279.14.3,šuāti[him//that]IP'DP$šuātu,šu-u-a-⸢tu₂⸣,šuātu,šuāti,that,IP,"['𒋗', '𒌋', '𒀀', '𒌓']",𒋗𒌋𒀀𒌓,šu-u-a-⸢tu₂⸣,"['complete', 'complete', 'complete', 'damaged']",0.12,,P514279,14,3,confirmation of transfer 2
3728,P514279.15.1,zarpat[purchased]AJ,za-ar-pat,zarpat,zarpu,purchased,AJ,"['𒍝', '𒅈', '𒉻']",𒍝𒅈𒉻,za-ar-pat,"['complete', 'complete', 'complete']",0.0,,P514279,15,1,confirmation of transfer 2
3729,P514279.15.2,laqqiat[acquired]AJ,laq-qi-at,laqqiat,leqû,acquired,AJ,"['𒋃', '𒆥', '𒀜']",𒋃𒆥𒀜,laq-qi-at,"['complete', 'complete', 'complete']",0.0,,P514279,15,2,confirmation of transfer 2
3730,P514279.16.1,tuāru[revocation]'N,tu-a-ru,tuāru,târu,revocation,V,"['𒌅', '𒀀', '𒊒']",𒌅𒀀𒊒,tu-a-ru,"['complete', 'complete', 'complete']",0.0,,P514279,16,1,exclusion of litigation
3731,P514279.16.2,dēnu[lawsuit]N,de-e-nu,dēnu,dīnu,lawsuit,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,de-e-nu,"['complete', 'complete', 'complete']",0.0,,P514279,16,2,exclusion of litigation
3732,P514279.17.1,dabābu[litigation]'N,DU₁₁.DU₁₁,dabābu,dabābu,litigation,V,"['𒅗', '𒅗']",𒅗𒅗,DU₁₁.DU₁₁,"['complete', 'complete']",0.0,,P514279,17,1,exclusion of litigation
