Unnamed: 0,ref,inst,frag,lang,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
105,P522599.2.1,kunuk[seal]N,{na₄}KIŠIB,,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,kunuk,kunukku,seal,P522599,2,1,seal identification
106,P522599.2.2,+Ilu-iddina[]PN$,{m}DINGIR-⸢SUM⸣-[na],,PN,PN,"['𒁹', '𒀭', '𒋧', '𒈾']",𒁹𒀭𒋧𒈾,{m}DINGIR-⸢SUM⸣-[na],"['complete', 'complete', 'damaged', 'missing']",0.38,Ilu-iddina,Ilu-iddina,1,P522599,2,2,seal identification
107,P522599.3.1,bēl[owner]N,EN,,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,owner,P522599,3,1,seal identification
108,P522599.3.2,issi[woman]N,MI₂,,,N,['𒊩'],𒊩,MI₂,['complete'],0.0,issi,issu,woman,P522599,3,2,seal identification
109,P522599.3.3,tadāni[giving]'N,SUM-ni,,,V,"['𒋧', '𒉌']",𒋧𒉌,SUM-ni,"['complete', 'complete']",0.0,tadāni,tadānu,giving,P522599,3,3,seal identification
110,P522599.7.1,+Nannaya[]PN$,{f}na-an-na-a,,PN,PN,"['𒊩', '𒈾', '𒀭', '𒈾', '𒀀']",𒊩𒈾𒀭𒈾𒀀,{f}na-an-na-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Nannaya,Nannaya,1,P522599,7,1,object sold
111,P522599.7.2,amatšu[maid]N,GEME₂-šu₂,,,N,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,GEME₂-šu₂,"['complete', 'complete']",0.0,amatšu,amtu,maid,P522599,7,2,object sold
112,P522599.8.1,uppišma[contract]V,up-piš-ma,,,V,"['𒌒', '𒄫', '𒈠']",𒌒𒄫𒈠,up-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,P522599,8,1,initiation of transaction
113,P522599.8.2,Hanni[1]PN,{m}ha-an-ni-i,,PN,PN,"['𒁹', '𒄩', '𒀭', '𒉌', '𒄿']",𒁹𒄩𒀭𒉌𒄿,{m}ha-an-ni-i,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Hanni,Hanni,1,P522599,8,2,initiation of transaction
114,P522599.9.1,ina[in]PRP,ina,,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P522599,9,1,price
