Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
2238,P514211.2.1,kunuk[seal]N,{[na₄]}KIŠIB,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}KIŠIB,"['missing', 'complete']",0.5,kunuk,kunukku,seal,P514211,2,1,seal identification
2239,P514211.2.2,Bel-remanni[1]PN,{m}EN-rem₂-a-ni,PN,PN,"['𒁹', '𒂗', '𒀖', '𒀀', '𒉌']",𒁹𒂗𒀖𒀀𒉌,{m}EN-rem₂-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Bel-remanni,Bel-remanni,1,P514211,2,2,seal identification
2240,P514211.3.1,+bēlu[lord]N$bēl,EN,,N,['𒂗'],𒂗,EN,['complete'],0.0,bēl,bēlu,lord,P514211,3,1,seal identification
2241,P514211.3.2,marʾussu[daughter]N,DUMU.MI₂-su,,N,"['𒌉', '𒊩', '𒋢']",𒌉𒊩𒋢,DUMU.MI₂-su,"['complete', 'complete', 'complete']",0.0,marʾussu,mārtu,daughter,P514211,3,2,seal identification
2242,P514211.3.3,tadāni[giving]'N,ta-da-a-ni,,V,"['𒋫', '𒁕', '𒀀', '𒉌']",𒋫𒁕𒀀𒉌,ta-da-a-ni,"['complete', 'complete', 'complete', 'complete']",0.0,tadāni,tadānu,giving,P514211,3,3,seal identification
2243,P514211.7.1,Kurilitu[1]PN,{f}kur-il₃-i-tu,PN,PN,"['𒊩', '𒆳', '𒀭', '𒄿', '𒌅']",𒊩𒆳𒀭𒄿𒌅,{f}kur-il₃-i-tu,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Kurilitu,Kurilitu,1,P514211,7,1,object sold
2244,P514211.7.2,marʾussu[daughter]N,DUMU.MI₂-su,,N,"['𒌉', '𒊩', '𒋢']",𒌉𒊩𒋢,DUMU.MI₂-su,"['complete', 'complete', 'complete']",0.0,marʾussu,mārtu,daughter,P514211,7,2,object sold
2245,P514211.8.1,ša[that]REL,ša,,REL,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,that,P514211,8,1,object sold
2246,P514211.8.2,Bel-remanni[1]PN,{m}EN-rem₂-a-ni,PN,PN,"['𒁹', '𒂗', '𒀖', '𒀀', '𒉌']",𒁹𒂗𒀖𒀀𒉌,{m}EN-rem₂-a-ni,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Bel-remanni,Bel-remanni,1,P514211,8,2,object sold
2247,P514211.9.1,uppišma[contract]V,u₂-piš-ma,,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,P514211,9,1,initiation of transaction
2248,P514211.9.2,Puṭubišu[1]PN,{m}pu-ṭu-bi-šu₂,PN,PN,"['𒁹', '𒁍', '𒂅', '𒁉', '𒋙']",𒁹𒁍𒂅𒁉𒋙,{m}pu-ṭu-bi-šu₂,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Puṭubišu,Puṭubišu,1,P514211,9,2,initiation of transaction
2249,P514211.10.1,ina[in]PRP,[ina],,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,P514211,10,1,price
2250,P514211.10.2,libbi[interior]N,ŠA₃-bi,,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,libbi,libbu,interior,P514211,10,2,price
2251,P514211.10.3,n,10,NUMBER,n,['𒌋'],𒌋,10,['complete'],0.0,,,,P514211,10,3,price
2252,P514211.10.4,šiqil[a unit of weight]N,GIN₂,,N,['𒂆'],𒂆,GIN₂,['complete'],0.0,šiqil,šiqlu,a unit of weight,P514211,10,4,price
2253,P514211.10.5,ṣarpi[silver]N,⸢KU₃⸣.[BABBAR],,N,"['𒆬', '𒌓']",𒆬𒌓,⸢KU₃⸣.[BABBAR],"['damaged', 'missing']",0.75,ṣarpi,ṣarpu,silver,P514211,10,5,price
2254,P514211.10.6,issu[from]PRP,TA,,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issu,ištu,from,P514211,10,6,completion of transaction
2255,P514211.10.7,pān[presence]N,IGI,,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,presence,P514211,10,7,completion of transaction
2256,P514211.11.1,Bel-remanni[1]PN,{[m}EN]-rem₂-a-ni,PN,PN,"['𒁹', '𒂗', '𒀖', '𒀀', '𒉌']",𒁹𒂗𒀖𒀀𒉌,{[m]}[EN]-rem₂-a-ni,"['missing', 'missing', 'complete', 'complete', 'complete']",0.4,Bel-remanni,Bel-remanni,1,P514211,11,1,completion of transaction
2257,P514211.11.2,ilqe[purchase]V,⸢il⸣-[qe],,V,"['𒅋', '𒆥']",𒅋𒆥,⸢il⸣-[qe],"['damaged', 'missing']",0.75,ilqe,leqû,purchase,P514211,11,2,completion of transaction
2258,P514211.16.1,u,{[m}x,,u,"['𒁹', 'X']",𒁹X,{[m]}[x],"['missing', 'missing']",1.0,,,,P514211,16,1,other clauses
2259,P514211.16.2,x-Aššur[1]PN,x]-aš-šur,PN,PN,"['X', '𒀸', '𒋩']",X𒀸𒋩,[x]-aš-šur,"['missing', 'complete', 'complete']",0.33,x-Aššur,x-Aššur,1,P514211,16,2,other clauses
2260,P514211.16.3,+arkû[rear//guarantor]AJ'N$urkî,ur-ki-i,,AJ,"['𒌨', '𒆠', '𒄿']",𒌨𒆠𒄿,ur-ki-i,"['complete', 'complete', 'complete']",0.0,urkî,arkû,guarantor,P514211,16,3,other clauses
2261,P514211.17.1,ša[of]DET,ša₂,,DET,['𒃻'],𒃻,ša₂,['complete'],0.0,ša,ša,of,P514211,17,1,other clauses
2262,P514211.17.2,+sinništu[woman]N$isussu,MI₂-su,,N,"['𒊩', '𒋢']",𒊩𒋢,MI₂-su,"['complete', 'complete']",0.0,isussu,sinništu,woman,P514211,17,2,other clauses
2263,P514211.18.1,šību[witness]N,⸢IGI⸣,,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,šību,šību,witness,P514211,18,1,witness
