Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
733,P522630.3.1,mannu[whoever]'XP,[man-nu,mannu,mannu,whoever,QP,"['𒌋𒌋', '𒉡']",𒌋𒌋𒉡,[man-nu],"['missing', 'missing']",1.0,,,P522630,3,1,penalties for litigation: contravention
734,P522630.3.2,ša[whoever]REL,ša,ša,ša,whoever,REL,['𒊭'],𒊭,[ša],['missing'],1.0,,,P522630,3,2,penalties for litigation: contravention
735,P522630.3.3,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P522630,3,3,penalties for litigation: contravention
736,P522630.3.4,urkiš[later]AV,ur-kiš,urkiš,urkiš,later,AV,"['𒌨', '𒆧']",𒌨𒆧,[ur-kiš],"['missing', 'missing']",1.0,,,P522630,3,4,penalties for litigation: contravention
737,P522630.3.5,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P522630,3,5,penalties for litigation: contravention
738,P522630.3.6,matīma[ever]AV,ma]-⸢ti-ma⸣,matīma,matīma,ever,AV,"['𒈠', '𒋾', '𒈠']",𒈠𒋾𒈠,[ma]-⸢ti-ma⸣,"['missing', 'damaged', 'damaged']",0.67,,,P522630,3,6,penalties for litigation: contravention
739,P522630.4.1,iparrakūni[contravene]V,[GIL-u-ni,iparrakūni,parāku,contravene,V,"['𒄃', '𒌋', '𒉌']",𒄃𒌋𒉌,[GIL-u-ni],"['missing', 'missing', 'missing']",1.0,,,P522630,4,1,penalties for litigation: contravention
740,P522630.4.2,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,P522630,4,2,penalties for litigation: penalty
741,P522630.4.3,dēnīšu[lawsuit]N,de]-ni-šu₂,dēnīšu,dīnu,lawsuit,N,"['𒁲', '𒉌', '𒋙']",𒁲𒉌𒋙,[de]-ni-šu₂,"['missing', 'complete', 'complete']",0.33,,,P522630,4,3,penalties for litigation: penalty
742,P522630.4.4,idabbubma[contest]V,i-DUG₄.[DUG₄-ma],idabbubma,dabābu,contest,V,"['𒄿', '𒅗', '𒅗', '𒈠']",𒄿𒅗𒅗𒈠,i-DUG₄.[DUG₄-ma],"['complete', 'complete', 'missing', 'missing']",0.5,,,P522630,4,4,penalties for litigation: penalty
743,P522630.5.1,lā[not]MOD,[la,lā,lā,not,MOD,['𒆷'],𒆷,[la],['missing'],1.0,,,P522630,5,1,penalties for litigation: penalty
744,P522630.5.2,ilaqqe[succeed]V,i-laq-qe,ilaqqe,leqû,succeed,V,"['𒄿', '𒋃', '𒆥']",𒄿𒋃𒆥,[i-laq-qe],"['missing', 'missing', 'missing']",1.0,,,P522630,5,2,penalties for litigation: penalty
745,P522630.5.3,kaspu[money]N,kas-pu,kaspu,kaspu,money,N,"['𒆜', '𒁍']",𒆜𒁍,[kas-pu],"['missing', 'missing']",1.0,,,P522630,5,3,penalties for litigation: penalty
746,P522630.5.4,ana[to]PRP,a]-⸢na⸣,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,[a]-⸢na⸣,"['missing', 'damaged']",0.75,,,P522630,5,4,penalties for litigation: penalty
747,P522630.5.5,ešrāte[tenfold]AV,10.MEŠ,ešrāte,ešriātu,tenfold,AV,"['𒌋', '𒈨𒌍']",𒌋𒈨𒌍,10.MEŠ,"['complete', 'complete']",0.0,,,P522630,5,5,penalties for litigation: penalty
748,P522630.5.6,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,,P522630,5,6,penalties for litigation: penalty
749,P522630.6.1,bēlīšu[owner]N,[EN.MEŠ-šu₂,bēlīšu,bēlu,owner,N,"['𒂗', '𒈨𒌍', '𒋙']",𒂗𒈨𒌍𒋙,[EN].[MEŠ-šu₂],"['missing', 'missing', 'missing']",1.0,,,P522630,6,1,penalties for litigation: penalty
750,P522630.6.2,utâra[return]V,GUR]-ra,utâra,târu,return,V,"['𒄥', '𒊏']",𒄥𒊏,[GUR]-ra,"['missing', 'complete']",0.5,,,P522630,6,2,penalties for litigation: penalty
