Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
1594,P428798.5.1,u,[x],,u,['X'],X,[x],['missing'],1.0,,,,P428798,5,1,penalties for litigation: penalty
1595,P428798.5.2,manā[a unit of weight]N,⸢MA⸣.NA,,N,"['𒈠', '𒈾']",𒈠𒈾,⸢MA⸣.NA,"['damaged', 'complete']",0.25,manā,manû,a unit of weight,P428798,5,2,penalties for litigation: penalty
1596,P428798.5.3,ṣarpi[silver]N,KUG.UD,,N,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,ṣarpi,ṣarpu,silver,P428798,5,3,penalties for litigation: penalty
1597,P428798.5.4,masû[refined]AJ,⸢LUH⸣-u,,AJ,"['𒈛', '𒌋']",𒈛𒌋,⸢LUH⸣-u,"['damaged', 'complete']",0.25,masû,mesû,refined,P428798,5,4,penalties for litigation: penalty
1598,P428798.5.5,n,01,NUMBER,n,['01'],01,01,['complete'],0.0,,,,P428798,5,5,penalties for litigation: penalty
1599,P428798.5.6,manā[a unit of weight]N,MA.⸢NA⸣,,N,"['𒈠', '𒈾']",𒈠𒈾,MA.⸢NA⸣,"['complete', 'damaged']",0.25,manā,manû,a unit of weight,P428798,5,6,penalties for litigation: penalty
1600,P428798.5.7,hurāṣi[gold]N,[KUG.GI],,N,"['𒆬', '𒄀']",𒆬𒄀,[KUG].[GI],"['missing', 'missing']",1.0,hurāṣi,hurāṣu,gold,P428798,5,7,penalties for litigation: penalty
1601,P428798.6.1,sakru[refined]AJ,⸢sak⸣-ru,,AJ,"['𒊕', '𒊒']",𒊕𒊒,⸢sak⸣-ru,"['damaged', 'complete']",0.25,sakru,sakru,refined,P428798,6,1,penalties for litigation: penalty
1602,P428798.6.2,ina[in]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,P428798,6,2,penalties for litigation: penalty
1603,P428798.6.3,burki[lap]N,bur-ki,,N,"['𒁓', '𒆠']",𒁓𒆠,bur-ki,"['complete', 'complete']",0.0,burki,burku,lap,P428798,6,3,penalties for litigation: penalty
