Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
4597,P225213.5.1,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,5,1,none
4598,P225213.5.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,5,2,none
4599,P225213.5.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,5,3,none
4600,P225213.5.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P225213,5,4,none
4601,P225213.5.5,išakkan[place]V,GAR]-⸢an⸣,V,"['𒃻', '𒀭']",𒃻𒀭,[GAR]-⸢an⸣,"['missing', 'damaged']",0.75,išakkan,šakānu,place,,P225213,5,5,penalties for litigation: penalty
4602,P225213.5.6,n,02,n,['0₂'],0₂,02,['complete'],0.0,,,,NUMBER,P225213,5,6,penalties for litigation: penalty
4603,P225213.5.7,sissê[horse]N,ANŠE.⸢KUR.RA⸣-[(MEŠ),N,"['𒀲', '𒆳', '𒊏', '𒈨𒌍']",𒀲𒆳𒊏𒈨𒌍,ANŠE.⸢KUR⸣.⸢RA⸣-[MEŠ],"['complete', 'damaged', 'damaged', 'missing']",0.5,sissê,sisû,horse,,P225213,5,7,penalties for litigation: penalty
4604,P225213.5.8,paṣūti[white]AJ,BABBAR-MEŠ],AJ,"['𒌓', '𒈨𒌍']",𒌓𒈨𒌍,[BABBAR-MEŠ],"['missing', 'missing']",1.0,paṣūti,peṣû,white,,P225213,5,8,penalties for litigation: penalty
4605,P225213.6.1,ina[to]PRP,[ina,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,to,,P225213,6,1,penalties for litigation: penalty
4606,P225213.6.2,šēpē[foot]N,GIR₃.2,N,"['𒄊', '𒈫']",𒄊𒈫,[GIR₃].[2],"['missing', 'missing']",1.0,šēpē,šēpu,foot,,P225213,6,2,penalties for litigation: penalty
4607,P225213.6.3,Aššur[1]DN,aš-šur],DN,"['𒀸', '𒋩']",𒀸𒋩,[aš-šur],"['missing', 'missing']",1.0,Aššur,Aššur,1,DN,P225213,6,3,penalties for litigation: penalty
4608,P225213.6.4,irakkas[bind]V,i-⸢rak⸣-kas,V,"['𒄿', '𒊩', '𒆜']",𒄿𒊩𒆜,i-⸢rak⸣-kas,"['complete', 'damaged', 'complete']",0.17,irakkas,rakāsu,bind,,P225213,6,4,penalties for litigation: penalty
4609,P225213.6.5,n,04,n,['0₄'],0₄,04,['complete'],0.0,,,,NUMBER,P225213,6,5,penalties for litigation: penalty
4610,P225213.6.6,+harbakkannu[(a kind of horse)//(a kind of horse)]N'N$harbakkannī,{anše}har-ba-⸢kan⸣-[ni],N,"['𒀲', '𒄯', '𒁀', '𒃶', '𒉌']",𒀲𒄯𒁀𒃶𒉌,{ANŠE}har-ba-⸢kan⸣-[ni],"['complete', 'complete', 'complete', 'damaged', 'missing']",0.3,harbakkannī,harbakkannu,(a kind of horse),,P225213,6,6,penalties for litigation: penalty
4611,P225213.7.1,ina[to]PRP,[ina,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,to,,P225213,7,1,penalties for litigation: penalty
4612,P225213.7.2,šēpē[foot]N,GIR₃.2,N,"['𒄊', '𒈫']",𒄊𒈫,[GIR₃].[2],"['missing', 'missing']",1.0,šēpē,šēpu,foot,,P225213,7,2,penalties for litigation: penalty
4613,P225213.7.3,Nergal[1]DN,{d}MAŠ].MAŠ,DN,"['𒀭', '𒈦', '𒈦']",𒀭𒈦𒈦,{[d]}[MAŠ].MAŠ,"['missing', 'missing', 'complete']",0.67,Nergal,Nergal,1,DN,P225213,7,3,penalties for litigation: penalty
4614,P225213.7.4,ušerrab[bring in]V,u₂-še-rab,V,"['𒌑', '𒊺', '𒊐']",𒌑𒊺𒊐,u₂-še-rab,"['complete', 'complete', 'complete']",0.0,ušerrab,erēbu,bring in,,P225213,7,4,penalties for litigation: penalty
4615,P225213.7.5,n,01,n,['01'],01,01,['complete'],0.0,,,,NUMBER,P225213,7,5,penalties for litigation: penalty
4616,P225213.7.6,bilat[a unit of weight]N,GU₂.UN,N,"['𒄘', '𒌦']",𒄘𒌦,GU₂.UN,"['complete', 'complete']",0.0,bilat,biltu,a unit of weight,,P225213,7,6,penalties for litigation: penalty
4617,P225213.7.7,anniki[tin]N,AN.[NA],N,"['𒀭', '𒈾']",𒀭𒈾,AN.[NA],"['complete', 'missing']",0.5,anniki,annaku,tin,,P225213,7,7,penalties for litigation: penalty
4618,P225213.8.1,ana[to]PRP,[ana,PRP,['𒁹'],𒁹,[ana],['missing'],1.0,ana,ana,to,,P225213,8,1,penalties for litigation: penalty
4619,P225213.8.2,pāhat[governor]N,{lu₂]}⸢EN⸣.NAM,N,"['𒇽', '𒂗', '𒉆']",𒇽𒂗𒉆,{[LU₂]}⸢EN⸣.NAM,"['missing', 'damaged', 'complete']",0.5,pāhat,pīhātu,governor,,P225213,8,2,penalties for litigation: penalty
4620,P225213.8.3,ālīšu[town]N,URU-šu₂,N,"['𒌷', '𒋙']",𒌷𒋙,URU-šu₂,"['complete', 'complete']",0.0,ālīšu,ālu,town,,P225213,8,3,penalties for litigation: penalty
4621,P225213.8.4,iddan[give]V,SUM-an,V,"['𒋧', '𒀭']",𒋧𒀭,SUM-an,"['complete', 'complete']",0.0,iddan,tadānu,give,,P225213,8,4,penalties for litigation: penalty
4622,P225213.8.5,kaspu[money]N,kas-pu,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,,P225213,8,5,penalties for litigation: penalty
4623,P225213.8.6,ana[for]PRP,ana,PRP,['𒁹'],𒁹,ana,['complete'],0.0,ana,ana,for,,P225213,8,6,penalties for litigation: penalty
4624,P225213.8.7,+ešriātu[tenfold//tenfold]AV'AV$ešrāti,10-⸢MEŠ⸣-ti,AV,"['𒌋', '𒈨𒌍', '𒋾']",𒌋𒈨𒌍𒋾,10-⸢MEŠ⸣-ti,"['complete', 'damaged', 'complete']",0.17,ešrāti,ešriātu,tenfold,,P225213,8,7,penalties for litigation: penalty
4625,P225213.9.1,ana[to]PRP,[ana,PRP,['𒁹'],𒁹,[ana],['missing'],1.0,ana,ana,to,,P225213,9,1,penalties for litigation: penalty
4626,P225213.9.2,bēlīšu[owner]N,EN-šu₂],N,"['𒂗', '𒋙']",𒂗𒋙,[EN-šu₂],"['missing', 'missing']",1.0,bēlīšu,bēlu,owner,,P225213,9,2,penalties for litigation: penalty
4627,P225213.9.3,utâr[return]V,⸢GUR⸣,V,['𒄥'],𒄥,⸢GUR⸣,['damaged'],0.5,utâr,târu,return,,P225213,9,3,penalties for litigation: penalty
4628,P225213.9.4,ina[in]PRP,ina,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P225213,9,4,penalties for litigation: penalty
4629,P225213.9.5,dēnīšu[lawsuit]N,de-ni-šu₂,N,"['𒁲', '𒉌', '𒋙']",𒁲𒉌𒋙,de-ni-šu₂,"['complete', 'complete', 'complete']",0.0,dēnīšu,dīnu,lawsuit,,P225213,9,5,penalties for litigation: penalty
4630,P225213.9.6,idabbub[contest]V,DUG₄.DUG₄,V,"['𒅗', '𒅗']",𒅗𒅗,DUG₄.DUG₄,"['complete', 'complete']",0.0,idabbub,dabābu,contest,,P225213,9,6,penalties for litigation: penalty
4631,P225213.9.7,lā[not]MOD,la,MOD,['𒆷'],𒆷,la,['complete'],0.0,lā,lā,not,,P225213,9,7,penalties for litigation: penalty
4632,P225213.9.8,ilaqqi[succeed]V,TI-qi₂,V,"['𒋾', '𒆠']",𒋾𒆠,TI-qi₂,"['complete', 'complete']",0.0,ilaqqi,leqû,succeed,,P225213,9,8,penalties for litigation: penalty
4633,P225213.11.1,šību[witness]N,[IGI,N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,P225213,11,1,witness
4634,P225213.11.2,Mušallim-Issar[1]PN,{1}mu]-⸢šal⸣-lim-{d}15,PN,"['𒁹', '𒈬', '𒊩', '𒅆', '𒀭', '𒌋𒐊']",𒁹𒈬𒊩𒅆𒀭𒌋𒐊,{[1]}[mu]-⸢šal⸣-lim-{d}15,"['missing', 'missing', 'damaged', 'complete', 'complete', 'complete']",0.42,Mušallim-Issar,Mušallim-Issar,1,PN,P225213,11,2,witness
