Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word,annotation
2811,P527268.9.1,šību[witness]N,[IGI],šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,,P527268,9,1,witness
2812,P527268.9.2,Bel-x[1]PN,{⸢m}EN⸣-[x-x]-x,Bel-x,Bel-x,1,PN,"['𒁹', '𒂗', 'X', 'X', 'X']",𒁹𒂗XXX,{⸢m⸣}⸢EN⸣-[x-x]-x,"['damaged', 'damaged', 'missing', 'missing', 'complete']",0.6,PN,,P527268,9,2,witness
2813,P527268.9.3,mār[son]N,[A,mār,māru,son,N,['𒀀'],𒀀,[A],['missing'],1.0,,,P527268,9,3,witness
2814,P527268.9.4,x[1]PN,{m}x-x-x],x,x,1,PN,"['𒁹', 'X', 'X', 'X']",𒁹XXX,{[m]}[x-x-x],"['missing', 'missing', 'missing', 'missing']",1.0,PN,,P527268,9,4,witness
2815,P527268.10.1,šību[witness]N,⸢IGI⸣,šību,šību,witness,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,,,P527268,10,1,witness
2816,P527268.10.2,+Ri[]PN$,{m}ri-x-[x-x]-x,Ri,Ri,1,PN,"['𒁹', '𒊑', 'X', 'X', 'X', 'X']",𒁹𒊑XXXX,{m}ri-x-[x-x]-x,"['complete', 'complete', 'complete', 'missing', 'missing', 'complete']",0.33,PN,,P527268,10,2,witness
2817,P527268.10.3,mār[son]N,[A,mār,māru,son,N,['𒀀'],𒀀,[A],['missing'],1.0,,,P527268,10,3,witness
2818,P527268.10.4,x[1]PN,{m}x-x-x],x,x,1,PN,"['𒁹', 'X', 'X', 'X']",𒁹XXX,{[m]}[x-x-x],"['missing', 'missing', 'missing', 'missing']",1.0,PN,,P527268,10,4,witness
2819,P527268.11.1,šību[witness]N,⸢IGI⸣,šību,šību,witness,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,,,P527268,11,1,witness
2820,P527268.11.2,+Šamaš-naʾid[]PN$,{m}{d}UTU-na-id,Šamaš-naʾid,Šamaš-naʾid,1,PN,"['𒁹', '𒀭', '𒌓', '𒈾', '𒀉']",𒁹𒀭𒌓𒈾𒀉,{m}{d}UTU-na-id,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,,P527268,11,2,witness
2821,P527268.12.1,šību[witness]N,⸢IGI⸣,šību,šību,witness,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,,,P527268,12,1,witness
2822,P527268.12.2,+Ahu-x[]PN$,{m}PAB-[x]-⸢x,Ahu-x,Ahu-x,1,PN,"['𒁹', '𒉽', 'X', 'X']",𒁹𒉽XX,{m}PAB-[x]-⸢x⸣,"['complete', 'complete', 'missing', 'damaged']",0.38,PN,,P527268,12,2,witness
2823,P527268.12.3,mār[son]N,A⸣,mār,māru,son,N,['𒀀'],𒀀,⸢A⸣,['damaged'],0.5,,,P527268,12,3,witness
2824,P527268.12.4,x[1]PN,{[m}x-x-x],x,x,1,PN,"['𒁹', 'X', 'X', 'X']",𒁹XXX,{[m]}[x-x-x],"['missing', 'missing', 'missing', 'missing']",1.0,PN,,P527268,12,4,witness
2825,P527268.13.1,šību[witness]N,[IGI,šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,,P527268,13,1,witness
2826,P527268.13.2,x[1]PN,{m}x-x-x,x,x,1,PN,"['𒁹', 'X', 'X', 'X']",𒁹XXX,{[m]}[x-x-x],"['missing', 'missing', 'missing', 'missing']",1.0,PN,,P527268,13,2,witness
2827,P527268.13.3,mār[son]N,A,mār,māru,son,N,['𒀀'],𒀀,[A],['missing'],1.0,,,P527268,13,3,witness
2828,P527268.13.4,x[1]PN,{m}x-x-x],x,x,1,PN,"['𒁹', 'X', 'X', 'X']",𒁹XXX,{[m]}[x-x-x],"['missing', 'missing', 'missing', 'missing']",1.0,PN,,P527268,13,4,witness
