Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
762,P522543.3.1,ina[in]PRP,ina,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,P522543,3,1,penalties for litigation: contravention
763,P522543.3.2,matēma[ever]AV,ma-te-ma,AV,"['𒈠', '𒋼', '𒈠']",𒈠𒋼𒈠,ma-te-ma,"['complete', 'complete', 'complete']",0.0,matēma,matīma,ever,,P522543,3,2,penalties for litigation: contravention
764,P522543.3.3,lū[may]MOD,lu-u,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,may,,P522543,3,3,penalties for litigation: contravention
765,P522543.3.4,u,{1}⸢x-(x)-a-di-x,u,"['𒁹', 'X', 'X', '𒀀', '𒁲', 'X']",𒁹XX𒀀𒁲X,{1}⸢x-x⸣-a-di-x,"['complete', 'damaged', 'damaged', 'complete', 'complete', 'complete']",0.17,,,,,P522543,3,4,penalties for litigation: contravention
766,P522543.3.5,u,x,u,['X'],X,x,['complete'],0.0,,,,,P522543,3,5,penalties for litigation: contravention
767,P522543.3.6,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P522543,3,6,penalties for litigation: contravention
768,P522543.3.7,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P522543,3,7,penalties for litigation: contravention
769,P522543.3.8,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P522543,3,8,penalties for litigation: contravention
770,P522543.4.1,lū[or]CNJ,lu-u,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,,P522543,4,1,penalties for litigation: contravention
771,P522543.4.2,mār[son]N&marʾēšu[son]N,DUMU-DUMU-MEŠ-šu₂,N,"['𒌉', '𒌉', '𒈨𒌍', '𒋙']",𒌉𒌉𒈨𒌍𒋙,DUMU-DUMU-MEŠ-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,mār,māru,son,,P522543,4,2,penalties for litigation: contravention
773,P522543.4.3,lū[or]CNJ,lu-u,CNJ,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,lū,lū,or,,P522543,4,3,penalties for litigation: contravention
