Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
1970,P335421.2.1,{[na₄}KIŠIB,kunuk[seal]N,,N,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,kunuk,kunukku,seal,,P335421,2,1,seal identification
1971,P335421.2.2,{1}⸢a⸣-da—na-a-⸢gi⸣,Adda-nagi[1]PN$,PN,PN,"['𒁹', '𒀀', '𒁕', '𒈾', '𒀀', '𒄀']",𒁹𒀀𒁕𒈾𒀀𒄀,{[1]}⸢a⸣-da-na-a-⸢gi⸣,"['missing', 'damaged', 'complete', 'complete', 'complete', 'damaged']",0.33,Adda-nagi,Adda-nagi,1,,P335421,2,2,seal identification
1972,P335421.3.1,[EN,bēl[owner]N,,N,['𒂗'],𒂗,[EN],['missing'],1.0,bēl,bēlu,owner,,P335421,3,1,seal identification
1973,P335421.3.2,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,3,2,seal identification
1974,P335421.3.3,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,3,3,seal identification
1975,P335421.3.4,x],u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,3,4,seal identification
1976,P335421.3.5,ta-da-ni,tadāni[giving]'N,,V,"['𒋫', '𒁕', '𒉌']",𒋫𒁕𒉌,ta-da-ni,"['complete', 'complete', 'complete']",0.0,tadāni,tadānu,giving,,P335421,3,5,seal identification
1977,P335421.10.1,[IGI,šību[witness]N,,N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,P335421,10,1,witness
1978,P335421.10.2,{1}x,u,,u,"['𒁹', 'x']",𒁹x,{[1]}[x],"['missing', 'missing']",1.0,,,,,P335421,10,2,witness
1979,P335421.10.3,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,10,3,witness
1980,P335421.10.4,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,10,4,witness
1981,P335421.10.5,x],u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,10,5,witness
1982,P335421.10.6,⸢hi,u,,u,['𒄭'],𒄭,⸢hi⸣,['damaged'],0.5,,,,,P335421,10,6,witness
1983,P335421.10.7,x⸣,u,,u,['x'],x,⸢x⸣,['damaged'],0.5,,,,,P335421,10,7,witness
1984,P335421.11.1,[IGI,šību[witness]N,,N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,P335421,11,1,witness
1985,P335421.11.2,{1}x,u,,u,"['𒁹', 'x']",𒁹x,{[1]}[x],"['missing', 'missing']",1.0,,,,,P335421,11,2,witness
1986,P335421.11.3,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,11,3,witness
1987,P335421.11.4,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,11,4,witness
1988,P335421.11.5,x]-e,u,,u,"['x', '𒂊']",x𒂊,[x]-e,"['missing', 'complete']",0.5,,,,,P335421,11,5,witness
1989,P335421.12.1,[IGI,šību[witness]N,,N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,P335421,12,1,witness
1990,P335421.12.2,{1}x,u,,u,"['𒁹', 'x']",𒁹x,{[1]}[x],"['missing', 'missing']",1.0,,,,,P335421,12,2,witness
1991,P335421.12.3,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,12,3,witness
1992,P335421.12.4,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335421,12,4,witness
1993,P335421.12.5,x]-u-a,u,,u,"['x', '𒌋', '𒀀']",x𒌋𒀀,[x]-u-a,"['missing', 'complete', 'complete']",0.33,,,,,P335421,12,5,witness
1994,P335421.13.1,{[iti}x,u,,u,"['𒌗', 'x']",𒌗x,{[ITI]}[x],"['missing', 'missing']",1.0,,,,,P335421,13,1,date
1995,P335421.13.2,UD,ūm[day]N,,N,['𒌓'],𒌓,[UD],['missing'],1.0,ūm,ūmu,day,,P335421,13,2,date
1996,P335421.13.3,x-KAM₂],n,NUMBER,n,"['x', '𒆚']",x𒆚,[x-KAM₂],"['missing', 'missing']",1.0,,,,,P335421,13,3,date
1997,P335421.15.1,[lim-mu,limmu[eponym (of year)]N,,N,"['𒅆', '𒈬']",𒅆𒈬,[lim-mu],"['missing', 'missing']",1.0,limmu,līmu,eponym (of year),,P335421,15,1,date
1998,P335421.15.2,{1}EN—IGI].LAL-an-ni,Bel-emuranni[1]PN,PN,PN,"['𒁹', '𒂗', '𒅆', '𒇲', '𒀭', '𒉌']",𒁹𒂗𒅆𒇲𒀭𒉌,{[1]}[EN-IGI].LAL-an-ni,"['missing', 'missing', 'missing', 'complete', 'complete', 'complete']",0.5,Bel-emuranni,Bel-emuranni,1,,P335421,15,2,date
1999,P335421.16.1,{[lu₂}tur]-⸢ta⸣-a-nu,tartānu[second in command//commander-in-chief]N$turtānu,,N,"['𒇽', '𒌉', '𒋫', '𒀀', '𒉡']",𒇽𒌉𒋫𒀀𒉡,{[LU₂]}[tur]-⸢ta⸣-a-nu,"['missing', 'missing', 'damaged', 'complete', 'complete']",0.5,turtānu,tartānu,commander-in-chief,,P335421,16,1,date
