Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
25209,P335511.3.1,[ina,ina[in]PRP,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,,P335511,3,1,penalties for litigation: penalty
25210,P335511.3.2,de-ni-šu₂],dēnīšu[lawsuit]N,N,"['𒁲', '𒉌', '𒋙']",𒁲𒉌𒋙,[de-ni-šu₂],"['missing', 'missing', 'missing']",1.0,dēnīšu,dīnu,lawsuit,,,P335511,3,2,penalties for litigation: penalty
25211,P335511.3.3,⸢DUG₄⸣.DUG₄,idabbub[contest]V,V,"['𒅗', '𒅗']",𒅗𒅗,⸢DUG₄⸣.DUG₄,"['damaged', 'complete']",0.25,idabbub,dabābu,contest,,,P335511,3,3,penalties for litigation: penalty
25212,P335511.3.4,⸢NU⸣,lā[not]MOD,MOD,['𒉡'],𒉡,⸢NU⸣,['damaged'],0.5,lā,lā,not,,,P335511,3,4,penalties for litigation: penalty
25213,P335511.3.5,[TI],ilaqqi[succeed]V,V,['𒋾'],𒋾,[TI],['missing'],1.0,ilaqqi,leqû,succeed,,,P335511,3,5,penalties for litigation: penalty
25214,P335511.5.1,[IGI,šību[witness]N,N,['𒅆'],𒅆,[IGI],['missing'],1.0,šību,šību,witness,,,P335511,5,1,witness
25215,P335511.5.2,{1}LUGAL—lu]—da-ri,Šarru-lu-dari[1]PN$,PN,"['𒁹', '𒈗', '𒇻', '𒁕', '𒊑']",𒁹𒈗𒇻𒁕𒊑,{[1]}[LUGAL-lu]-da-ri,"['missing', 'missing', 'missing', 'complete', 'complete']",0.6,Šarru-lu-dari,Šarru-lu-dari,1,PN,,P335511,5,2,witness
25216,P335511.5.3,A,mār[son]N,N,['𒀀'],𒀀,A,['complete'],0.0,mār,māru,son,,,P335511,5,3,witness
25217,P335511.5.4,{1}⸢EN⸣-[x,u,u,"['𒁹', '𒂗', 'x']",𒁹𒂗x,{1}⸢EN⸣-[x],"['complete', 'damaged', 'missing']",0.5,,,,,,P335511,5,4,witness
25218,P335511.5.5,x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335511,5,5,witness
25219,P335511.5.6,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335511,5,6,witness
