Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
9560,P528281.3.1,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,3,1,none
9561,P528281.3.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,3,2,none
9562,P528281.3.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,3,3,none
9563,P528281.3.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,3,4,none
9564,P528281.3.5,X,me]-me-ni-šu₂,X,"['𒈨', '𒈨', '𒉌', '𒋙']",𒈨𒈨𒉌𒋙,[me]-me-ni-šu₂,"['missing', 'complete', 'complete', 'complete']",0.25,,,,,P528281,3,5,penalties for litigation: contravention
9565,P528281.5.1,X,[lu-u,X,"['𒇻', '𒌋']",𒇻𒌋,[lu-u],"['missing', 'missing']",1.0,,,,,P528281,5,1,penalties for litigation: contravention
9566,P528281.5.2,x[1]PN,{m}x,PN,"['𒁹', 'X']",𒁹X,{[m]}[x],"['missing', 'missing']",1.0,x,x,1,PN,P528281,5,2,penalties for litigation: contravention
9567,P528281.5.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,5,3,penalties for litigation: contravention
9568,P528281.5.4,u,x]+x-aš-šur,u,"['X', 'X', '𒀸', '𒋩']",XX𒀸𒋩,[x]+x-aš-šur,"['missing', 'complete', 'complete', 'complete']",0.25,,,,,P528281,5,4,penalties for litigation: contravention
9569,P528281.6.1,X,[lu,X,['𒇻'],𒇻,[lu],['missing'],1.0,,,,,P528281,6,1,penalties for litigation: contravention
9570,P528281.6.2,X,DUMU.MEŠ-šu₂,X,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,[DUMU].[MEŠ-šu₂],"['missing', 'missing', 'missing']",1.0,,,,,P528281,6,2,penalties for litigation: contravention
9571,P528281.6.3,X,DUMU-DUMU].MEŠ-šu₂,X,"['𒌉', '𒌉', '𒈨𒌍', '𒋙']",𒌉𒌉𒈨𒌍𒋙,[DUMU-DUMU].MEŠ-šu₂,"['missing', 'missing', 'complete', 'complete']",0.5,,,,,P528281,6,3,penalties for litigation: contravention
9572,P528281.7.1,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,7,1,penalties for litigation: contravention
9573,P528281.7.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,7,2,penalties for litigation: contravention
9574,P528281.7.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,7,3,penalties for litigation: contravention
9575,P528281.7.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,7,4,penalties for litigation: contravention
9576,P528281.7.5,X,lu,X,['𒇻'],𒇻,[lu],['missing'],1.0,,,,,P528281,7,5,penalties for litigation: contravention
9577,P528281.7.6,X,me]-me-ni-šu₂,X,"['𒈨', '𒈨', '𒉌', '𒋙']",𒈨𒈨𒉌𒋙,[me]-me-ni-šu₂,"['missing', 'complete', 'complete', 'complete']",0.25,,,,,P528281,7,6,penalties for litigation: contravention
9578,P528281.8.1,X,[ša,X,['𒊭'],𒊭,[ša],['missing'],1.0,,,,,P528281,8,1,penalties for litigation: contravention
9579,P528281.8.2,X,de-e-nu,X,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,[de-e-nu],"['missing', 'missing', 'missing']",1.0,,,,,P528281,8,2,penalties for litigation: contravention
9580,P528281.8.3,X,DUG₄].DUG₄.MEŠ,X,"['𒅗', '𒅗', '𒈨𒌍']",𒅗𒅗𒈨𒌍,[DUG₄].DUG₄.MEŠ,"['missing', 'complete', 'complete']",0.33,,,,,P528281,8,3,penalties for litigation: contravention
9581,P528281.9.1,X,[TA,X,['𒋫'],𒋫,[TA],['missing'],1.0,,,,,P528281,9,1,penalties for litigation: contravention
9582,P528281.9.2,x[1]PN,{m}x,PN,"['𒁹', 'X']",𒁹X,{[m]}[x],"['missing', 'missing']",1.0,x,x,1,PN,P528281,9,2,penalties for litigation: contravention
9583,P528281.9.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,9,3,penalties for litigation: contravention
9584,P528281.9.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,9,4,penalties for litigation: contravention
9585,P528281.9.5,u,x]+x,u,"['X', 'X']",XX,[x]+x,"['missing', 'complete']",0.5,,,,,P528281,9,5,penalties for litigation: contravention
9586,P528281.9.6,X,lu,X,['𒇻'],𒇻,lu,['complete'],0.0,,,,,P528281,9,6,penalties for litigation: contravention
9587,P528281.9.7,X,DUMU.MEŠ-(šu₂),X,"['𒌉', '𒈨𒌍', '𒋙']",𒌉𒈨𒌍𒋙,DUMU.MEŠ-šu₂,"['complete', 'complete', 'complete']",0.0,,,,,P528281,9,7,penalties for litigation: contravention
9588,P528281.10.1,X,[ub-ta-u-ni,X,"['𒌒', '𒋫', '𒌋', '𒉌']",𒌒𒋫𒌋𒉌,[ub-ta-u-ni],"['missing', 'missing', 'missing', 'missing']",1.0,,,,,P528281,10,1,penalties for litigation: contravention
9589,P528281.10.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,10,2,none
9590,P528281.10.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,10,3,none
9591,P528281.10.4,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528281,10,4,none
9592,P528281.10.5,X,KU₃.UD,X,"['𒆬', '𒌓']",𒆬𒌓,KU₃.UD,"['complete', 'complete']",0.0,,,,,P528281,10,5,penalties for litigation: penalty
9593,P528281.11.1,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,11,1,penalties for litigation: penalty
9594,P528281.11.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,11,2,penalties for litigation: penalty
9595,P528281.11.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,11,3,penalties for litigation: penalty
9596,P528281.11.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,11,4,penalties for litigation: penalty
9597,P528281.11.5,u,x]+x,u,"['X', 'X']",XX,[x]+x,"['missing', 'complete']",0.5,,,,,P528281,11,5,penalties for litigation: penalty
9598,P528281.11.6,X,šu-u₂,X,"['𒋗', '𒌑']",𒋗𒌑,šu-u₂,"['complete', 'complete']",0.0,,,,,P528281,11,6,penalties for litigation: penalty
9599,P528281.11.7,X,SUM,X,['𒋧'],𒋧,SUM,['complete'],0.0,,,,,P528281,11,7,penalties for litigation: penalty
9600,P528281.12.1,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,12,1,penalties for litigation: penalty
9601,P528281.12.2,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,12,2,penalties for litigation: penalty
9602,P528281.12.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,12,3,penalties for litigation: penalty
9603,P528281.12.4,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528281,12,4,penalties for litigation: penalty
9604,P528281.12.5,X,GUR,X,['𒄥'],𒄥,GUR,['complete'],0.0,,,,,P528281,12,5,penalties for litigation: penalty
9605,P528281.12.6,X,⸢an⸣,X,['𒀭'],𒀭,⸢an⸣,['damaged'],0.5,,,,,P528281,12,6,penalties for litigation: penalty
9606,P528281.12.7,u,[x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,12,7,penalties for litigation: penalty
9607,P528281.12.8,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528281,12,8,penalties for litigation: penalty
9608,P528281.14.1,X,ina,X,['𒀸'],𒀸,ina,['complete'],0.0,,,,,P528281,14,1,penalties for litigation: penalty
9609,P528281.14.2,X,de-[ni-šu₂,X,"['𒁲', '𒉌', '𒋙']",𒁲𒉌𒋙,de-[ni-šu₂],"['complete', 'missing', 'missing']",0.67,,,,,P528281,14,2,penalties for litigation: penalty
9610,P528281.14.3,X,DUG₄].⸢DUG₄-ma,X,"['𒅗', '𒅗', '𒈠']",𒅗𒅗𒈠,[DUG₄].⸢DUG₄-ma⸣,"['missing', 'damaged', 'damaged']",0.67,,,,,P528281,14,3,penalties for litigation: penalty
9611,P528281.14.4,X,la,X,['𒆷'],𒆷,⸢la⸣,['damaged'],0.5,,,,,P528281,14,4,penalties for litigation: penalty
9612,P528281.14.5,X,i-laq-qi⸣,X,"['𒄿', '𒋃', '𒆥']",𒄿𒋃𒆥,⸢i-laq-qi⸣,"['damaged', 'damaged', 'damaged']",0.5,,,,,P528281,14,5,penalties for litigation: penalty
9613,P528281.16.1,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,16,1,witness
9614,P528281.16.2,Šangu-Issar[1]PN,{m}SANGA-15,PN,"['𒁹', '𒋃', '𒌋𒐊']",𒁹𒋃𒌋𒐊,{m}SANGA-15,"['complete', 'complete', 'complete']",0.0,Šangu-Issar,Šangu-Issar,1,PN,P528281,16,2,witness
9615,P528281.16.3,X,GAL-um-ma-ni,X,"['𒃲', '𒌝', '𒈠', '𒉌']",𒃲𒌝𒈠𒉌,GAL-um-ma-ni,"['complete', 'complete', 'complete', 'complete']",0.0,,,,,P528281,16,3,witness
9616,P528281.17.1,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,17,1,witness
9617,P528281.17.2,X,{m}AD-PAB-la-maš-ši,X,"['𒁹', '𒀜', '𒉽', '𒆷', '𒈦', '𒅆']",𒁹𒀜𒉽𒆷𒈦𒅆,{m}AD-PAB-la-maš-ši,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,,,P528281,17,2,witness
9618,P528281.18.1,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,18,1,witness
9619,P528281.18.2,Nabu-šumu-iškun[1]PN,{m}{d}PA-MU-iš-kun,PN,"['𒁹', '𒀭', '𒉺', '𒈬', '𒅖', '𒆲']",𒁹𒀭𒉺𒈬𒅖𒆲,{m}{d}PA-MU-iš-kun,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Nabu-šumu-iškun,Nabu-šumu-iškun,1,PN,P528281,18,2,witness
9620,P528281.18.3,X,NAGAR,X,['𒉄'],𒉄,NAGAR,['complete'],0.0,,,,,P528281,18,3,witness
9621,P528281.19.1,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,19,1,witness
9622,P528281.19.2,X,{m}aš-šur-za-qip,X,"['𒁹', '𒀸', '𒋩', '𒍝', '𒄒']",𒁹𒀸𒋩𒍝𒄒,{m}aš-šur-za-qip,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,,,P528281,19,2,witness
9623,P528281.19.3,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,19,3,witness
9624,P528281.19.4,X,{m}ARAD-al-la-te,X,"['𒁹', '𒀴', '𒀠', '𒆷', '𒋼']",𒁹𒀴𒀠𒆷𒋼,{m}ARAD-al-la-te,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,,,P528281,19,4,witness
9625,P528281.20.1,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,20,1,witness
9626,P528281.20.2,Lu-šakin[1]PN,{m}lu-ša₂-kin₂,PN,"['𒁹', '𒇻', '𒃻', '𒄯']",𒁹𒇻𒃻𒄯,{m}lu-ša₂-kin₂,"['complete', 'complete', 'complete', 'complete']",0.0,Lu-šakin,Lu-šakin,1,PN,P528281,20,2,witness
9627,P528281.20.3,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,20,3,witness
9628,P528281.20.4,Qibit-Issar[1]PN,{m}qi₂-bit-15,PN,"['𒁹', '𒆠', '𒂍', '𒌋𒐊']",𒁹𒆠𒂍𒌋𒐊,{m}qi₂-bit-15,"['complete', 'complete', 'complete', 'complete']",0.0,Qibit-Issar,Qibit-Issar,1,PN,P528281,20,4,witness
9629,P528281.21.1,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,21,1,witness
9630,P528281.21.2,X,{m}du-gul-DINGIR,X,"['𒁹', '𒁺', '𒄢', '𒀭']",𒁹𒁺𒄢𒀭,{m}du-gul-DINGIR,"['complete', 'complete', 'complete', 'complete']",0.0,,,,,P528281,21,2,witness
9631,P528281.21.3,X,{lu₂}GAR.U.U,X,"['𒇽', '𒃻', '𒌋', '𒌋']",𒇽𒃻𒌋𒌋,{LU₂}GAR.U.U,"['complete', 'complete', 'complete', 'complete']",0.0,,,,,P528281,21,3,witness
9632,P528281.22.1,X,[IGI],X,['𒅆'],𒅆,[IGI],['missing'],1.0,,,,,P528281,22,1,witness
9633,P528281.22.2,Ilumma-lidgul[1]PN,{⸢m}DINGIR⸣-ma-lid-gul,PN,"['𒁹', '𒀭', '𒈠', '𒀖', '𒄢']",𒁹𒀭𒈠𒀖𒄢,{⸢m⸣}⸢DINGIR⸣-ma-lid-gul,"['damaged', 'damaged', 'complete', 'complete', 'complete']",0.2,Ilumma-lidgul,Ilumma-lidgul,1,PN,P528281,22,2,witness
9634,P528281.22.3,X,{⸢lu₂}HAL⸣,X,"['𒇽', '𒄬']",𒇽𒄬,{⸢LU₂⸣}⸢HAL⸣,"['damaged', 'damaged']",0.5,,,,,P528281,22,3,witness
9635,P528281.23.1,X,[IGI,X,['𒅆'],𒅆,[IGI],['missing'],1.0,,,,,P528281,23,1,witness
9636,P528281.23.2,u,{m}x]+x,u,"['𒁹', 'X', 'X']",𒁹XX,{[m]}[x]+x,"['missing', 'missing', 'complete']",0.67,,,,,P528281,23,2,witness
9637,P528281.23.3,u,x+[x,u,"['X', 'X']",XX,x+[x],"['complete', 'missing']",0.5,,,,,P528281,23,3,witness
9638,P528281.23.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,23,4,witness
9639,P528281.23.5,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,23,5,witness
9640,P528281.23.6,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528281,23,6,witness
9641,P528281.25.1,X,[IGI,X,['𒅆'],𒅆,[IGI],['missing'],1.0,,,,,P528281,25,1,witness
9642,P528281.25.2,x[1]PN,{m}x,PN,"['𒁹', 'X']",𒁹X,{[m]}[x],"['missing', 'missing']",1.0,x,x,1,PN,P528281,25,2,witness
9643,P528281.25.3,u,x]-a.a,u,"['X', '𒀀', '𒀀']",X𒀀𒀀,[x]-a.a,"['missing', 'complete', 'complete']",0.33,,,,,P528281,25,3,witness
9644,P528281.25.4,Ṭebeti[Tebet]MN,{iti}AB,MN,"['𒌗', '𒀊']",𒌗𒀊,{ITI}AB,"['complete', 'complete']",0.0,Ṭebeti,Ṭebetu,Tebet,MN,P528281,25,4,date
9645,P528281.25.5,X,lim-⸢mu⸣,X,"['𒅆', '𒈬']",𒅆𒈬,lim-⸢mu⸣,"['complete', 'damaged']",0.25,,,,,P528281,25,5,date
9646,P528281.25.6,x[1]PN,{[m}x,PN,"['𒁹', 'X']",𒁹X,{[m]}[x],"['missing', 'missing']",1.0,x,x,1,PN,P528281,25,6,date
9647,P528281.25.7,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,25,7,date
9648,P528281.25.8,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,25,8,date
9649,P528281.25.9,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528281,25,9,date
9650,P528281.26.1,X,[IGI,X,['𒅆'],𒅆,[IGI],['missing'],1.0,,,,,P528281,26,1,witness
9651,P528281.26.2,x[1]PN,{m}x,PN,"['𒁹', 'X']",𒁹X,{[m]}[x],"['missing', 'missing']",1.0,x,x,1,PN,P528281,26,2,witness
9652,P528281.26.3,x-Aššur[1]PN,x]-aš-šur,PN,"['X', '𒀸', '𒋩']",X𒀸𒋩,[x]-aš-šur,"['missing', 'complete', 'complete']",0.33,x-Aššur,x-Aššur,1,PN,P528281,26,3,witness
9653,P528281.26.4,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,26,4,witness
9654,P528281.26.5,u,{m}ki-x+[x,u,"['𒁹', '𒆠', 'X', 'X']",𒁹𒆠XX,{m}ki-x+[x],"['complete', 'complete', 'complete', 'missing']",0.25,,,,,P528281,26,5,witness
9655,P528281.26.6,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,26,6,witness
9656,P528281.26.7,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,26,7,witness
9657,P528281.26.8,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528281,26,8,witness
9658,P528281.27.1,X,[IGI,X,['𒅆'],𒅆,[IGI],['missing'],1.0,,,,,P528281,27,1,witness
9659,P528281.27.2,x[1]PN,{m}x,PN,"['𒁹', 'X']",𒁹X,{[m]}[x],"['missing', 'missing']",1.0,x,x,1,PN,P528281,27,2,witness
9660,P528281.27.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,27,3,witness
9661,P528281.27.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,27,4,witness
9662,P528281.27.5,u,x]+x-ni,u,"['X', 'X', '𒉌']",XX𒉌,[x]+x-ni,"['missing', 'complete', 'complete']",0.33,,,,,P528281,27,5,witness
9663,P528281.27.6,X,IGI,X,['𒅆'],𒅆,IGI,['complete'],0.0,,,,,P528281,27,6,witness
9664,P528281.27.7,x[1]PN,{[m}x,PN,"['𒁹', 'X']",𒁹X,{[m]}[x],"['missing', 'missing']",1.0,x,x,1,PN,P528281,27,7,witness
9665,P528281.27.8,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,27,8,witness
9666,P528281.27.9,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,27,9,witness
9667,P528281.27.10,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P528281,27,10,witness
9668,P528281.27.11,u,x],u,['X'],X,[x],['missing'],1.0,,,,,P528281,27,11,witness
