Unnamed: 0,ref,inst,frag,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,text,line,word,annotation
775,P514479.3.1,ina[in]PRP,[ina,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,ina,ina,in,,P514479,3,1,penalties for litigation: penalty
776,P514479.3.2,dēnīšu[lawsuit]N,de]-⸢ni⸣-šu₂,N,"['𒁲', '𒉌', '𒋙']",𒁲𒉌𒋙,[de]-⸢ni⸣-šu₂,"['missing', 'damaged', 'complete']",0.5,dēnīšu,dīnu,lawsuit,,P514479,3,2,penalties for litigation: penalty
777,P514479.3.3,idabbubma[contest]V,DUG₄.⸢DUG₄⸣-[ma,V,"['𒅗', '𒅗', '𒈠']",𒅗𒅗𒈠,DUG₄.⸢DUG₄⸣-[ma],"['complete', 'damaged', 'missing']",0.5,idabbubma,dabābu,contest,,P514479,3,3,penalties for litigation: penalty
778,P514479.3.4,lā[not]MOD,la₃,MOD,['𒉡'],𒉡,[la₃],['missing'],1.0,lā,lā,not,,P514479,3,4,penalties for litigation: penalty
779,P514479.3.5,ilaqqi[succeed]V,TI],V,['𒋾'],𒋾,[TI],['missing'],1.0,ilaqqi,leqû,succeed,,P514479,3,5,penalties for litigation: penalty
780,P514479.4.1,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P514479,4,1,witness
781,P514479.4.2,Bel-Harran-x[1]PN,{m}EN-KASKAL-⸢BAD₃⸣,PN,"['𒁹', '𒂗', '𒆜', '𒂦']",𒁹𒂗𒆜𒂦,{m}EN-KASKAL-⸢BAD₃⸣,"['complete', 'complete', 'complete', 'damaged']",0.12,Bel-Harran-x,Bel-Harran-x,1,PN,P514479,4,2,witness
782,P514479.4.3,u,[(x,u,['X'],X,[x],['missing'],1.0,,,,,P514479,4,3,witness
783,P514479.4.4,u,x)],u,['X'],X,[x],['missing'],1.0,,,,,P514479,4,4,witness
784,P514479.5.1,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P514479,5,1,witness
785,P514479.5.2,Ahu-x[1]PN,{m}PAB-[x,PN,"['𒁹', '𒉽', 'X']",𒁹𒉽X,{m}PAB-[x],"['complete', 'complete', 'missing']",0.33,Ahu-x,Ahu-x,1,PN,P514479,5,2,witness
786,P514479.5.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P514479,5,3,witness
787,P514479.5.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P514479,5,4,witness
788,P514479.5.5,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P514479,5,5,witness
789,P514479.5.6,u,(x)],u,['X'],X,[x],['missing'],1.0,,,,,P514479,5,6,witness
790,P514479.6.1,šību[witness]N,IGI,N,['𒅆'],𒅆,IGI,['complete'],0.0,šību,šību,witness,,P514479,6,1,witness
791,P514479.6.2,u,{m}[x,u,"['𒁹', 'X']",𒁹X,{m}[x],"['complete', 'missing']",0.5,,,,,P514479,6,2,witness
792,P514479.6.3,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P514479,6,3,witness
793,P514479.6.4,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P514479,6,4,witness
794,P514479.6.5,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P514479,6,5,witness
795,P514479.6.6,u,x,u,['X'],X,[x],['missing'],1.0,,,,,P514479,6,6,witness
796,P514479.6.7,u,(x)],u,['X'],X,[x],['missing'],1.0,,,,,P514479,6,7,witness
