Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
15392,P337049.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{[na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}[KIŠIB],"['missing', 'missing']",1.0,,P337049,2,1,,seal identification
15393,P337049.2.2,%akk-x-neoass:{1}x=,{1}x,"['𒁹', 'X']",𒁹X,{[1]}[x],"['missing', 'missing']",1.0,,P337049,2,2,,seal identification
15394,P337049.2.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,2,3,,seal identification
15395,P337049.2.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,2,4,,seal identification
15396,P337049.2.5,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,2,5,,seal identification
15397,P337049.2.6,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,2,6,,seal identification
15398,P337049.2.7,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P337049,2,7,,seal identification
15399,P337049.3.1,%akk-x-neoass:EN=,[EN,['𒂗'],𒂗,[EN],['missing'],1.0,,P337049,3,1,,seal identification
15400,P337049.3.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,3,2,,seal identification
15401,P337049.3.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,3,3,,seal identification
15402,P337049.3.4,%akk-x-neoass:ta-da-a-ni=,ta-da-a]-ni,"['𒋫', '𒁕', '𒀀', '𒉌']",𒋫𒁕𒀀𒉌,[ta-da-a]-ni,"['missing', 'missing', 'missing', 'complete']",0.75,,P337049,3,4,,seal identification
15403,P337049.9.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P337049,9,1,,none
15404,P337049.9.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,9,2,,none
15405,P337049.9.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,9,3,,none
15406,P337049.9.4,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,9,4,,none
15407,P337049.9.5,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,9,5,,none
15408,P337049.9.6,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,9,6,,none
15409,P337049.9.7,%akk-x-neoass:x-šu₂=,x]-šu₂,"['X', '𒋙']",X𒋙,[x]-šu₂,"['missing', 'complete']",0.5,,P337049,9,7,,none
15410,P337049.10.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P337049,10,1,,none
15411,P337049.10.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,10,2,,none
15412,P337049.10.3,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,,P337049,10,3,,none
15413,P337049.10.4,%akk-x-neoass:05=,05,['0₅'],0₅,⸢05⸣,['damaged'],0.5,,P337049,10,4,,none
15414,P337049.10.5,%akk-x-neoass:GIN₂=,GIN₂,['𒂆'],𒂆,⸢GIN₂⸣,['damaged'],0.5,,P337049,10,5,,none
15415,P337049.10.6,%akk-x-neoass:KU₃.BABBAR=,KU₃.BABBAR⸣,"['𒆬', '𒌓']",𒆬𒌓,⸢KU₃⸣.⸢BABBAR⸣,"['damaged', 'damaged']",0.5,,P337049,10,6,,none
15416,P337049.11.1,%akk-x-neoass:x=,[x,['X'],X,[x],['missing'],1.0,,P337049,11,1,,none
15417,P337049.11.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,11,2,,none
15418,P337049.11.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337049,11,3,,none
