Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
1635,P514301.2.1,u,⸢x⸣,,,,u,['X'],X,⸢x⸣,['damaged'],0.5,,P514301,2,1,none
1636,P514301.2.2,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514301,2,2,none
1637,P514301.3.1,lū[may]MOD,lu-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,P514301,3,1,penalties for litigation: contravention
1638,P514301.3.2,u,{m}[...],,,,u,"['𒁹', 'x']",𒁹x,{m}[x],"['complete', 'missing']",0.5,,P514301,3,2,penalties for litigation: contravention
1639,P514301.5.1,lū[may]MOD,lu-u,lū,lū,may,MOD,"['𒇻', '𒌋']",𒇻𒌋,lu-u,"['complete', 'complete']",0.0,,P514301,5,1,penalties for litigation: contravention
1640,P514301.5.2,mār[son]N,⸢DUMU⸣,mār,māru,son,N,['𒌉'],𒌉,⸢DUMU⸣,['damaged'],0.5,,P514301,5,2,penalties for litigation: contravention
1641,P514301.5.3,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514301,5,3,penalties for litigation: contravention
1642,P514301.6.1,ša[that]REL,ša,ša,ša,that,REL,['𒊭'],𒊭,ša,['complete'],0.0,,P514301,6,1,penalties for litigation: contravention
1643,P514301.6.2,dēnu[case]N,⸢de⸣-[e-nu,dēnu,dīnu,case,N,"['𒁲', '𒂊', '𒉡']",𒁲𒂊𒉡,⸢de⸣-[e-nu],"['damaged', 'missing', 'missing']",0.83,,P514301,6,2,penalties for litigation: contravention
1644,P514301.6.3,u,...],,,,u,['x'],x,[x],['missing'],1.0,,P514301,6,3,penalties for litigation: contravention
1645,P514301.7.1,issi[with]PRP,TA,issi,išti,with,PRP,['𒋫'],𒋫,TA,['complete'],0.0,,P514301,7,1,penalties for litigation: contravention
1646,P514301.7.2,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514301,7,2,penalties for litigation: contravention
1647,P514301.9.1,u[and]CNJ,⸢u₃⸣,u,u,and,CNJ,['𒅇'],𒅇,⸢u₃⸣,['damaged'],0.5,,P514301,9,1,penalties for litigation: contravention
1648,P514301.9.2,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514301,9,2,penalties for litigation: contravention
1649,P514301.10.1,mā[saying]PRP,ma-a,mā,mā,saying,PRP,"['𒈠', '𒀀']",𒈠𒀀,ma-a,"['complete', 'complete']",0.0,,P514301,10,1,penalties for litigation: contravention
1650,P514301.10.2,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514301,10,2,penalties for litigation: contravention
1651,P514301.13.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514301,13,1,none
1652,P514301.13.2,u,⸢x⸣,,,,u,['X'],X,⸢x⸣,['damaged'],0.5,,P514301,13,2,none
