Unnamed: 0,ref,inst,frag,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,text,line,word,annotation
1079,P514154.3.1,n,03,NUMBER,n,['0₃'],0₃,03,['complete'],0.0,,,,P514154,3,1,not sales document
1080,P514154.3.2,+dušû[untanned leather]N$duhšî,{kuš}duh-ši-i,,N,"['𒋢', '𒃮', '𒅆', '𒄿']",𒋢𒃮𒅆𒄿,{KUŠ}duh-ši-i,"['complete', 'complete', 'complete', 'complete']",0.0,duhšî,dušû,untanned leather,P514154,3,2,not sales document
1081,P514154.4.1,+iškāru[work assignment]N$iškāri,EŠ₂.GAR₃,,N,"['𒂠', '𒃼']",𒂠𒃼,EŠ₂.GAR₃,"['complete', 'complete']",0.0,iškāri,iškāru,work assignment,P514154,4,1,not sales document
1082,P514154.4.2,ša[of]DET,ša,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,P514154,4,2,not sales document
1083,P514154.4.3,bēt[house]N,E₂,,N,['𒂍'],𒂍,E₂,['complete'],0.0,bēt,bītu,house,P514154,4,3,not sales document
1084,P514154.4.4,rab[big one]N&ša-rēši[eunuch]N,GAL-SAG,,N,"['𒃲', '𒊕']",𒃲𒊕,GAL-SAG,"['complete', 'complete']",0.0,rab,rabû,big one,P514154,4,4,not sales document
1086,P514154.5.1,ša[of]DET,ša,,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,P514154,5,1,not sales document
1087,P514154.5.2,Duri-Aššur[1]PN,{m}BAD₃-aš-šur,PN,PN,"['𒁹', '𒂦', '𒀸', '𒋩']",𒁹𒂦𒀸𒋩,{m}BAD₃-aš-šur,"['complete', 'complete', 'complete', 'complete']",0.0,Duri-Aššur,Duri-Aššur,1,P514154,5,2,not sales document
1088,P514154.6.1,ina[at]PRP,ina,,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,at,P514154,6,1,not sales document
1089,P514154.6.2,pān[at the disposal of]'PRP,IGI,,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,at the disposal of,P514154,6,2,not sales document
1090,P514154.6.3,Aššur-mušezib[1]PN,{m}aš-šur-mu-še-zib,PN,PN,"['𒁹', '𒀸', '𒋩', '𒈬', '𒊺', '𒍦']",𒁹𒀸𒋩𒈬𒊺𒍦,{m}aš-šur-mu-še-zib,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Aššur-mušezib,Aššur-mušezib,1,P514154,6,3,not sales document
1091,P514154.7.1,mār[son]N,A,,N,['𒀀'],𒀀,A,['complete'],0.0,mār,māru,son,P514154,7,1,not sales document
1092,P514154.7.2,Urdaya[1]PN,{m}ARAD-a-a,PN,PN,"['𒁹', '𒀴', '𒀀', '𒀀']",𒁹𒀴𒀀𒀀,{m}ARAD-a-a,"['complete', 'complete', 'complete', 'complete']",0.0,Urdaya,Urdaya,1,P514154,7,2,not sales document
1093,P514154.8.1,Elulu[Elul]MN,{iti}KIN,MN,MN,"['𒌗', '𒆥']",𒌗𒆥,{ITI}KIN,"['complete', 'complete']",0.0,Eluli,Elulu,Elul,P514154,8,1,not sales document
1094,P514154.8.2,n,UD-18,NUMBER,n,"['𒌓', '𒌋𒐍']",𒌓𒌋𒐍,UD-18,"['complete', 'complete']",0.0,,,,P514154,8,2,not sales document
